"","control_rep1","control_rep2","control_rep3","exper_rep1","exper_rep2","exper_rep3","padj","log2FoldChange","pvalue","foldChange","log10padj"
"Pkp1","7.11904391969416","4.83696851349797","5.58040790921996","21.2140043609887","23.2101139967209","20.2459197861428","0.00100406663384979","2.00602925184535","0.000212191597639097","4.01675161511973","2.99823746472785"
"Hhipl2","19.9785341265549","9.9543278879073","15.2418466949249","29.1314960721463","31.8005967042386","30.9530037844302","0.024272142334038","1.07133947175954","0.00884990172877026","2.10138349356818","1.61489188980776"
"D330041H03Rik","13.6760391246717","9.32757869608513","10.594482773464","77.0110060242119","75.9571037652964","27.695915300833","8.0233698581393e-8","2.49067315517621","4.5132687239349e-9","5.62040134584251","7.09564318740031"
"Rmrp","17.335914684056","18.5179510991816","10.446100977133","18.5207620881521","39.5132577975792","41.9003313527052","0.0222275352393965","1.12861292027596","0.00798429518506774","2.18648419551466","1.65310869255409"
"AK172204","12.3765432468028","20.9108057681199","7.12104831724162","15.7851053244319","37.8714181963163","34.2430693927398","0.0367261659164711","1.14705707207442","0.0144853796134972","2.21461677603028","1.43502440811627"
"Dok1","25.4015939167946","16.6352383424996","23.0707308360477","47.0222311770022","49.4228077624671","37.5223284791122","0.00643136990260036","1.0613653426256","0.00184678737807414","2.08690560021687","2.19169651109236"
"Efcab4a","33.4374595936844","30.4807662308499","39.4835063695885","57.8023192092092","84.8717447941911","67.9151918677846","0.00110932905441101","1.03386395935069","0.00023788854446102","2.04750072023156","2.95493961226558"
"Ly6d","155.443239447752","119.057199560281","135.965206014539","308.668339124906","332.24633557331","379.194382902998","5.70855348790902e-14","1.32278587260568","4.90786961623227e-16","2.5014868574913","13.2434739253452"
"Pdlim2","21.0425662414023","25.306300040417","22.5339817620272","35.7457322782511","62.2044558971849","48.2641362377824","0.00425294015035579","1.09844010881488","0.00112478479371565","2.14123050140121","2.37131072886677"
"Uap1l1","131.190015995877","89.3549067815838","121.173725680552","199.334761480854","290.584280492103","271.683197313203","4.64174575327304e-8","1.16172875979273","2.41721960131143e-9","2.23725353786667","7.33331865125074"
