"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBgn0039155",1126.21118681026,1104.61194074653,1194.4254262234,149.359185920319,138.114220725639,149.656399595627,5.35181879654385e-08,-2.97037150800292,6.53377950988139e-12,0.127593654875637,7.27149859946171
"FBgn0003360",6474.33128538944,5978.53441041473,6561.98880695561,1161.27693479426,1320.01856548822,1302.92899776305,1.07117074744748e-07,-2.32970374152006,2.61548223036864e-11,0.198924966131819,6.97014129596208
"FBgn0040099",1292.87728410511,1222.80995564364,1329.26166284778,470.540559247399,431.611266459861,447.989900288177,7.41552831378378e-07,-1.50928428137463,4.13386442777933e-10,0.351285447843677,6.12985790254692
"FBgn0034897",1338.70230155079,1426.38523524038,1340.37185191344,464.618992465825,460.763467052995,408.629136599516,7.41552831378378e-07,-1.6216667668347,4.98423028229373e-10,0.324959816043714,6.12985790254692
"FBgn0029896",734.271070774877,787.104802042724,689.416630065906,197.745187376465,194.031398571266,194.355752954012,7.41552831378378e-07,-1.91329567384828,4.8331993043147e-10,0.265485381015275,6.12985790254692
"FBgn0035085",924.411870944509,968.327594114095,1035.82032080003,271.068281888112,232.080913611187,230.741572734275,7.41552831378378e-07,-1.9987370499355,6.1723367424311e-10,0.250218948389952,6.12985790254692
"FBgn0038832",387.669799725681,374.28427316922,391.799892219523,94.9243007081741,98.9098712970677,105.194937069146,7.41552831378378e-07,-1.94775861440001,6.33728460462538e-10,0.25921864298794,6.12985790254692
"FBgn0023479",4392.09893296121,4630.46853015345,4158.34569167444,1786.90728170862,1845.8012669265,1710.3529792469,1.07018376491761e-06,-1.30134997001763,1.12645147727255e-09,0.405746352302775,5.97054164171924
"FBgn0029167",4995.86679298006,5561.49677495379,5139.29706569848,1696.40979841039,1564.14491244208,1412.15296774803,1.07018376491761e-06,-1.75045380903342,1.17588253989238e-09,0.297208275264808,5.97054164171924
"FBgn0261552",9215.7695206407,9336.69053354573,7741.63850280519,3047.65848039651,3213.29632899219,3083.35645099002,2.18817552371931e-06,-1.48737116647056,4.00448283562339e-09,0.356661855162024,5.65991784416433
"FBgn0052407",256.744436839373,255.6052375685,259.962596622509,83.1735665796042,75.723040380669,81.0720307753431,2.18817552371931e-06,-1.68548774533785,4.14635920908214e-09,0.310897787447034,5.65991784416433
"FBgn0034736",343.111650494133,398.996520312314,338.343429241312,67.2578158995335,56.4869049729044,54.858286883448,2.18817552371931e-06,-2.59999351898338,4.27430208515554e-09,0.164939229801185,5.65991784416433
