"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBgn0085334",28.0252407468863,33.9646297290477,31.9592715375329,82.7518222944243,56.1877834196665,87.9702893357097,1.00220527792739e-05,1.8251204372471,1.26142892124278e-09,3.54336586686137,4.99904331445654
"FBgn0037223",5.00450727622969,10.9885566770448,12.9834540621227,37.8863764721461,32.107304811238,27.9905466068167,5.77599930500036e-06,2.51055463455255,7.26998024543784e-10,5.69839107004321,5.23837286769509
"FBgn0037239",548.493997474774,559.417430831373,538.31397996032,909.273035331506,905.024654366772,952.678247010584,2.95263534144757e-29,1.07453475789157,3.71634404209889e-33,2.10604280306206,28.5297901862812
"FBgn0261015",43.0387625755753,48.9490251977451,46.9401800707515,93.7189312732034,74.2481423759879,77.9736655475609,0.00104602428427621,1.18060451595523,1.31658185560253e-07,2.2667173682077,2.98045823286384
"FBgn0037635",137.123499368693,131.862680124538,129.834540621227,235.29433809017,241.808139359636,251.914919461351,1.8336131003064e-17,1.24846281173304,2.30788307149956e-21,2.37588138469233,16.7366922968711
"FBgn0037646",10.0090145524594,14.9843954686975,17.9770902398623,65.8026538726748,51.1710170429106,63.9783922441525,1.59190512927751e-16,2.97269491432729,2.00365655038076e-20,7.85001229889142,15.7980828179168
"FBgn0037683",1118.00692550971,976.982584559077,1119.5732310492,1677.96767375321,1593.32500125769,2059.30450035866,1.00242611673377e-08,1.04669546818557,1.26170688072217e-12,2.06579267073495,7.99894762696442
"FBgn0261552",2881.59528965305,3099.77194262455,2985.19570705268,8969.101124827,9212.78977427461,7626.42428797874,1.81576669217519e-76,2.19410115244068,2.28542063206443e-80,4.57604472421256,75.7409399547192
"FBgn0002868",34.0306494783619,48.9490251977451,52.9325434840389,157.527565331555,122.409099592845,140.952395412899,9.71205042745322e-20,2.34300098698123,1.22241037475811e-23,5.07356906824888,19.0126890712948
"FBgn0037754",68.0612989567237,95.900130999664,83.8930877860239,297.108952334198,284.952330199737,257.91289373424,1.46223274526461e-46,2.53195063736742,1.84044398397055e-50,5.78353128798025,45.8349834947248
"FBgn0042094",78.0703135091831,78.9178161351401,74.9045426660928,135.593347373996,139.466105273815,125.957459730675,1.86266309360129e-07,1.13244206180436,2.34444693971213e-11,2.1922951796905,6.72986569036488
"FBgn0261808",292.263224931814,273.714957228208,305.610534077658,491.525884230737,480.606218893219,510.827475574405,3.89616117139613e-20,1.09978532623148,4.90391588596115e-24,2.14322798791069,19.4093630860849
"FBgn0051337",655.590453186089,617.357093310337,722.079791301134,1210.37002729435,1105.69530943701,1343.5462371272,4.83796492901101e-18,1.25674824727942,6.08932023789932e-22,2.38956539013403,17.3153372842156
"FBgn0038237",5.00450727622969,11.987516374958,9.98727235547903,50.8475052652487,48.160957216857,35.9878456373358,2.00079008709076e-13,3.32182523140003,2.51830092774167e-17,9.99928703005523,12.6987984729831
"FBgn0263041",62.0558902252481,51.9459042914846,48.9376345418473,114.6561393236,108.362153737928,154.947668716307,5.21971768692171e-08,1.74283300224287,6.56981458391656e-12,3.34691752913633,7.28235298556626
"FBgn0038381",93.0838353378722,89.906372812185,86.8892694926676,162.512614867363,154.516404404083,182.938215323124,1.28732087379913e-10,1.27606321471942,1.62029059005554e-14,2.4217722806255,9.89031318864227
