ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBgn0261673,121.1255988,118.8178807,114.7660504,19.10986442,29.13415714,20.98949544,7.64E-43,-3.401033203,9.27E-47,0.094664466,42.11681713
FBgn0051092,254.1651909,275.5776056,277.4344522,85.49149873,76.35158423,67.96598524,8.78E-57,-2.62193394,1.06E-60,0.162449821,56.05674821
FBgn0033724,216.4375454,201.6908563,247.4954825,91.52619276,80.37008866,114.942475,3.36E-14,-1.759016689,4.07E-18,0.295449469,13.47416435
FBgn0259821,256.1508564,253.6112747,213.5646503,121.6996629,143.6615335,117.9409744,3.02E-11,-1.330487807,3.67E-15,0.39763377,10.51941434
FBgn0001225,578.8215089,573.1215421,676.6207144,291.676878,259.1935359,303.847934,1.00E-25,-1.591320847,1.22E-29,0.331867476,24.99805238
FBgn0063493,332.5989802,290.5546494,389.2066056,190.0928619,187.8650822,195.9019575,2.32E-08,-1.190167755,2.82E-12,0.438251898,7.634550642
FBgn0031049,601.6566628,541.1705154,509.9604499,294.694225,301.3878325,384.8074164,1.98E-07,-1.094391092,2.40E-11,0.468333748,6.703933098
FBgn0037678,45.67030774,60.90664472,52.89217974,23.13299377,23.10640049,12.99349718,1.88E-06,-2.063151626,2.29E-10,0.239292714,5.725129238
FBgn0041087,1642.145413,1751.315653,1812.30563,956.4990034,857.9506964,923.5377994,4.53E-40,-1.34625055,5.50E-44,0.393312911,39.3437094
FBgn0259935,81.4122877,81.87450602,71.85352719,42.2428582,52.24055763,37.98099175,0.002229556,-1.201703782,2.71E-07,0.434761537,2.651781531
FBgn0087041,227.3587059,204.686265,214.5626159,131.7574863,101.4672369,158.9204655,0.004234,-1.048507151,5.14E-07,0.483468181,2.373249167
FBgn0034067,179.7027326,186.7138125,196.5992341,109.6302748,107.4949936,111.9439757,5.19E-10,-1.125836336,6.30E-14,0.458236303,9.284896956
FBgn0051363,10146.75098,9519.409029,9841.937294,5545.883812,5815.780541,5334.330342,1.09E-36,-1.194852478,1.32E-40,0.436831114,35.96205776
FBgn0263232,1051.409911,940.5583496,825.317597,383.2030708,519.391698,428.7854069,1.33E-15,-1.56969782,1.62E-19,0.336878948,14.87550508
FBgn0264343,78.43378937,51.92041845,46.9043858,12.06938806,28.12953103,25.98699436,0.012191244,-2.052647071,1.48E-06,0.241041411,1.913951974
FBgn0035076,41.69897663,41.93572259,50.89624843,23.13299377,16.07401773,26.98649414,0.028061555,-1.478406652,3.41E-06,0.358884955,1.551888266
FBgn0261284,83.39795326,76.88215809,100.7945312,24.13877611,22.10177438,23.98799479,1.20E-18,-2.733953485,1.46E-22,0.150313502,17.92108266
FBgn0264303,365.3624619,380.4169121,370.2452582,215.2374203,209.9668566,195.9019575,4.77E-23,-1.228583186,5.79E-27,0.426736321,22.32164909
FBgn0032422,52.62013717,69.89287099,52.89217974,32.18503482,32.14803546,26.98649414,0.013843663,-1.363770126,1.68E-06,0.388565542,1.858748983
FBgn0010894,247.2153614,221.660248,211.5687189,120.6938806,136.6291507,132.9334711,3.06E-10,-1.165691672,3.71E-14,0.445750502,9.514759913
FBgn0266801,311.7494919,305.5316932,301.3856279,169.9772151,207.9576044,139.9299696,7.67E-08,-1.202566739,9.31E-12,0.43450156,7.115155142
FBgn0036560,32.76348164,19.96939171,36.92472925,7.040476366,10.04626108,9.994997829,0.000705462,-2.480912822,8.56E-08,0.17913103,3.151526663
FBgn0034354,502.3733851,496.239384,558.860767,311.7925248,270.2444231,351.8239236,3.64E-09,-1.072903944,4.41E-13,0.475361199,8.439179458
FBgn0033065,54.60580273,61.90511431,50.89624843,12.06938806,11.05088719,13.99299696,6.42E-17,-3.127830589,7.79E-21,0.114400829,16.19234893
FBgn0004108,817.1013754,878.6532353,897.1711242,526.0241628,516.3778196,538.730383,3.39E-24,-1.038394099,4.11E-28,0.486869119,23.46979846
FBgn0040271,1516.05565,1561.606432,1394.158021,843.8513816,884.0709753,866.5663118,4.60E-31,-1.142250935,5.58E-35,0.453052161,30.33720409
FBgn0259740,936.2413086,800.7726076,851.2647041,492.8333456,523.4102024,575.711875,5.88E-13,-1.020596395,7.14E-17,0.492912545,12.23042297
FBgn0037153,219.4160437,210.6770826,195.6012685,75.43367535,92.42560196,75.9619835,1.00E-27,-1.969206588,1.22E-31,0.255393447,26.99813984
FBgn0035710,27.79931775,27.9571484,28.94100401,9.052041042,8.037008866,9.994997829,0.000303169,-2.362385173,3.68E-08,0.194469368,3.518315854
FBgn0259741,45.67030774,45.92960094,37.92269491,17.09829975,23.10640049,19.98999566,0.00422179,-1.597287521,5.12E-07,0.330497778,2.374503385
FBgn0010395,1416.772373,1294.016583,1287.375695,613.5272262,749.4510767,671.6638541,1.68E-30,-1.415432004,2.04E-34,0.37489747,29.77414632
FBgn0031117,414.011268,450.3097831,506.9665529,270.5554489,221.0177438,262.8684429,6.52E-12,-1.251998594,7.91E-16,0.419866156,11.18568839
FBgn0039538,119.1399332,119.8163503,150.692814,85.49149873,82.37934088,70.96448459,0.005838237,-1.027021917,7.09E-07,0.490722077,2.233718313
FBgn0033113,612.5778233,654.9960481,619.736672,326.8792598,298.3739541,346.8264247,3.74E-32,-1.389395828,4.54E-36,0.381724627,31.42658078
FBgn0051642,169.7744048,197.6969779,162.6684018,58.3353756,71.32845369,44.97749023,1.45E-21,-2.3181716,1.77E-25,0.200521439,20.8372869
