ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBgn0003360,1145.729024,1321.973731,1303.343146,6480.255604,6000.631745,6532.730581,6.45E-211,3.35822528,7.83E-215,10.25478458,210.1902752
FBgn0035084,104.2474416,102.8423673,101.7924969,160.9251741,178.8234473,165.916964,6.29E-07,1.015616111,7.64E-11,2.021766116,6.201134644
FBgn0261584,70.49112716,74.88521892,64.8677676,214.231638,211.9761088,209.8949544,3.96E-43,2.292496014,4.81E-47,4.899029618,42.40183287
FBgn0033362,99.28327769,99.84695856,79.83725243,136.786398,162.7494295,156.9214659,0.000456733,1.014437928,5.54E-08,2.020115706,3.340337652
FBgn0010223,35.74197997,40.93725301,39.91862622,84.48571639,78.36083644,76.96148329,8.77E-07,1.488349519,1.06E-10,2.805678145,6.057128613
FBgn0036985,1044.460081,1274.047191,1215.522168,2870.502793,2630.111151,2505.745956,1.86E-40,1.692896499,2.26E-44,3.233051524,39.73034832
FBgn0004369,683.0689505,649.0052306,656.6614013,1054.05989,1170.389416,1016.491279,1.90E-19,1.006642948,2.30E-23,2.009230316,18.72237225
FBgn0027348,163.8174082,143.7796203,164.6643331,262.5091902,280.2906842,290.8544368,1.40E-13,1.17283749,1.70E-17,2.25454685,12.85445067
FBgn0036181,146.939251,148.7719683,136.7212948,260.4976255,277.2768059,255.8719444,3.24E-17,1.253578656,3.93E-21,2.384321294,16.48965753
FBgn0063498,194.5952243,166.7444208,189.6134745,375.1568121,407.8781999,366.8164203,2.05E-27,1.520922019,2.48E-31,2.869743949,26.6889738
FBgn0260429,44.67747496,57.91123596,49.89828277,136.786398,133.6152724,98.95047851,2.40E-09,1.828771642,2.91E-13,3.552344853,8.620571785
FBgn0000406,135.0252577,102.8423673,130.7335009,397.2840235,378.7440428,495.7518923,8.60E-33,2.567296185,1.04E-36,5.926975875,32.06535906
FBgn0039155,145.9464182,138.7872724,149.6948483,1127.482001,1110.11185,1187.405742,1.56E-298,4.286965692,1.89E-302,19.52114394,297.8067029
FBgn0040752,3879.990492,3958.931907,3695.466822,6431.978051,7627.121414,5679.157767,5.59E-11,1.108094746,6.78E-15,2.15560785,10.25294814
FBgn0036821,228.3515387,203.6877955,223.5443068,663.8163431,738.4001896,627.6858637,4.26E-67,2.341796253,5.17E-71,5.069334112,66.37040006
FBgn0053516,513.2945456,535.1796979,530.9177287,874.0248517,918.2282629,780.6093305,1.18E-16,1.005888584,1.44E-20,2.008179993,15.92687312
FBgn0032638,77.4409566,74.88521892,62.87183629,150.8673507,157.726299,155.9219661,5.56E-16,1.590068818,6.74E-20,3.010637101,15.25518647
