ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBgn0261673,121.7060596,118.6476987,116.6249368,20.02784192,29.2015013,20.99521718,1.93E-43,-3.384419982,2.36E-47,0.095760867,42.71454936
FBgn0051092,253.3880257,275.1828978,277.1088242,85.11832815,75.52112405,66.98474052,6.21E-56,-2.63650534,7.58E-60,0.160817316,55.20672584
FBgn0033724,217.4747622,202.3990154,248.2017885,92.12807282,79.54891733,114.9738084,3.48E-14,-1.766759523,4.25E-18,0.293868062,13.45846447
FBgn0259821,255.383207,252.2509897,214.3107813,122.1698357,145.0005582,116.9733529,6.73E-11,-1.320891981,8.22E-15,0.400287375,10.17181904
FBgn0001225,581.5953503,573.2977038,677.8201454,292.406492,259.7926667,303.930763,9.79E-26,-1.591326185,1.20E-29,0.331866248,25.00914703
FBgn0063493,335.1904592,293.1296086,389.7465836,192.2672824,189.3062843,197.9549048,2.18E-08,-1.180165723,2.66E-12,0.441300803,7.661605832
FBgn0031049,602.544754,541.3924403,510.3586977,295.4106683,301.0775479,382.9127705,1.17E-07,-1.098328445,1.43E-11,0.467057331,6.932186117
FBgn0037678,45.88917001,60.81940858,52.83009957,23.0320182,23.15981138,12.99703921,1.13E-06,-2.064566841,1.38E-10,0.239058094,5.948081895
FBgn0041087,1647.022167,1752.795414,1816.159272,957.3308436,855.9060726,919.7904669,1.42E-38,-1.352824141,1.74E-42,0.391524871,37.84665489
FBgn0259935,81.80243349,81.75723776,70.77239754,41.05707593,52.36131267,37.99134537,0.002113436,-1.210190025,2.58E-07,0.432211683,2.675010987
FBgn0034067,180.5639081,186.4463837,196.3684833,109.1517384,108.7504186,111.9744916,5.56E-10,-1.121019742,6.79E-14,0.459768731,9.254581187
FBgn0051363,10170.4367,9524.718199,9861.286322,5563.734485,5814.119603,5330.785619,2.14E-36,-1.195471506,2.61E-40,0.436643719,35.66981695
