ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBgn0003360,1157.205157,1319.083239,1299.819808,6478.005468,6012.488423,6552.507304,2.94E-223,3.359814809,3.59E-227,10.26608929,222.5321478
FBgn0035084,103.7494278,102.6950669,101.6730218,162.2255195,180.2437494,166.9619652,3.26E-07,1.037260862,3.98E-11,2.05232735,6.48659551
FBgn0261584,70.82893632,74.77796137,65.78842588,214.2979085,212.4660957,209.9521718,1.27E-42,2.284412877,1.54E-46,4.871658069,41.8978224
FBgn0033362,98.76147458,97.70986952,79.74354652,137.1907171,165.1395246,156.9642427,0.000139905,1.049004152,1.71E-08,2.069101118,3.854167287
FBgn0010223,35.91326349,40.87861888,39.87177326,84.11693605,78.54196901,76.98246299,8.72E-07,1.486818528,1.06E-10,2.802702333,6.059718899
FBgn0036985,1048.467776,1274.216462,1216.089084,2869.989747,2634.176807,2512.427656,4.79E-41,1.693993177,5.84E-45,3.235510091,40.32008939
FBgn0283531,19.95181305,17.94671073,15.9487093,36.05011545,45.31267443,35.99180088,0.015847722,1.605053055,1.93E-06,3.042069377,1.80003316
FBgn0004369,686.3423688,649.0727047,657.8842588,1053.464485,1170.073949,1020.767464,5.04E-18,1.005247928,6.15E-22,2.007288421,17.2975611
FBgn0027348,165.6000483,144.5707253,165.467859,262.3647291,279.9316331,290.9337238,7.75E-13,1.158188018,9.47E-17,2.231769478,12.11043566
FBgn0063498,195.5277679,166.505594,189.390923,374.5206438,408.8210182,367.9161868,7.21E-27,1.523003772,8.80E-31,2.873887867,26.14208541
FBgn0260429,44.89157936,56.83125064,48.84292224,137.1907171,133.9241266,99.97722466,2.56E-10,1.865899242,3.12E-14,3.644950551,9.591835173
FBgn0000406,135.6723287,102.6950669,131.5768518,397.5526621,378.6125686,496.8868066,9.38E-32,2.563161852,1.15E-35,5.910015246,31.02783279
FBgn0039155,148.6410072,137.5914489,148.5223554,1126.566108,1110.663998,1192.72829,2.36E-273,4.289661376,2.89E-277,19.55765341,272.6265108
FBgn0040752,3899.58186,3970.211229,3702.094147,6435.947,7641.730805,5691.7034,7.69E-11,1.105841726,9.39E-15,2.152244119,10.11389677
FBgn0036821,229.44585,203.3960549,222.2851359,662.9215675,738.093119,628.8567431,6.19E-67,2.344497826,7.56E-71,5.078835777,66.20814168
FBgn0053516,516.7519579,538.4013219,530.2945844,876.2180839,921.3577134,784.8212136,1.09E-15,1.006814678,1.33E-19,2.009469497,14.96373329
FBgn0032638,76.81448023,74.77796137,61.80124855,150.2088144,157.083938,156.9642427,4.30E-16,1.607851214,5.26E-20,3.047975305,15.36603119
FBgn0038381,130.6843755,116.6536197,120.6121141,216.3006927,222.5355789,250.9428339,8.02E-13,1.299185834,9.79E-17,2.460899658,12.09592024
FBgn0261015,1278.911216,1341.018107,1338.694787,2376.303443,2460.981696,2142.511925,2.27E-30,1.171985418,2.77E-34,2.253215682,29.64350334
