"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBgn0039155",145.936821499064,138.779238624174,149.683717982883,1127.54868048423,1110.30343621203,1187.37794200251,3.74371453325775e-08,2.96791591724902,4.54334288016717e-12,7.82405177508152,7.42669727461277
"FBgn0003360",1145.65368714231,1321.89720818998,1303.2462379043,6480.63884777866,6000.66255299389,6533.57711016027,1.42223863115329e-07,2.32865467853057,3.45203551250798e-11,5.02336699455612,6.8470275291349
"FBgn0040099",464.615186813346,429.317069125144,445.059588135773,1289.48921354218,1223.8457785577,1320.30830082939,5.93384423251924e-07,1.50956697227442,3.58745715903422e-10,2.84724565659775,6.22666385839755
"FBgn0034897",459.651349347392,460.2678345737,408.137604366662,1339.78130455396,1429.82967396355,1336.2999229439,5.93384423251924e-07,1.62185006635762,4.477687272036e-10,3.07769457096385,6.22666385839755
"FBgn0029896",194.582428665419,193.691887000646,192.59305047131,735.270370592301,789.77239897073,686.640274541855,5.93384423251924e-07,1.91681078321794,4.70740034883541e-10,3.77587441901623,6.22666385839755
"FBgn0035085",267.054455668355,230.633123181182,230.51292569364,923.362790976379,970.636307131966,1029.4606736217,5.93384423251924e-07,1.9981620265304,5.04088709073237e-10,3.99490730018969,6.22666385839755
"FBgn0038832",93.3201443599457,98.8427670776493,103.780711134799,387.249100790747,375.795009179457,387.796836276914,5.93384423251924e-07,1.94811853427462,4.91593906057478e-10,3.85870976345995,6.22666385839755
"FBgn0029167",1675.79152850626,1563.51286104645,1409.02273194554,4992.99879565005,5576.63716830477,5105.32536005793,1.09096242077709e-06,1.74831886482789,1.05918681628844e-09,3.35966844450391,5.96219020883442
"FBgn0023479",1757.19846294791,1840.07292650614,1696.41547047268,4394.5229126098,4650.21203872333,4136.8327457478,1.19814924547646e-06,1.30811167006244,1.30865815646701e-09,2.47617223937066,5.92148908140428
"FBgn0052407",81.4069344416547,75.8792959383975,80.829207710757,256.489664160105,256.223869895084,258.864382978662,1.88890346067686e-06,1.68364431706028,3.03915672082499e-09,3.21238390625021,5.72379023771962
"FBgn0034736",66.515422043791,55.911060165135,54.8840299270572,342.992060700376,400.914996424073,337.823017169064,1.88890346067686e-06,2.59298002854575,3.66777371005215e-09,6.03343678435432,5.72379023771962
"FBgn0261552",3038.86129665738,3224.87007738189,3081.48880754096,9236.64543522449,9377.79363816008,7723.95348130926,2.21495146534426e-06,1.48276683135266,4.56968142121996e-09,2.79484220426854,5.65463578572267
"FBgn0023549",120.1248666761,122.804650005564,122.740648745964,307.787596992126,317.516638771947,314.835060379453,2.50931413417506e-06,1.35175135655069,5.4815114581494e-09,2.55221763395966,5.60044496714334
"FBgn0259715",443.767069456337,428.31865733648,375.207186410428,1191.92255697931,1257.00416172059,1387.27321843391,2.52655409963431e-06,1.61357912916912,5.82579222003058e-09,3.06010070022767,5.59747139803089
