Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4998	5277	31	34	85	4539	6863	6547	3016.42	50	5983	123.057	6.943	24.545	4.90325614263365e-133	4.33717522096659e-129	0.0936	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.47	351	2919	8.337	3.06	21.753	6.49137491660406e-105	3.82796378832142e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.12	46	1350	28.719	4.844	21.376	2.22247097632006e-101	9.82943351051956e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2445	2072	77	118	116	1333	3357	2571	1262.03	104	2420	22.167	4.47	20.294	1.45623420176569e-91	5.15244785268738e-88	0.0283	0.0311	0.0297	0.0297	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1066	274	153	144	2813	1574	1323	1046.5	190	1903	9.959	3.316	19.4	7.7880746610133e-84	1.96826898325695e-80	0.0063	0.0322	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1126	1369	75	217	190	659	1546	1698	730.96	161	1301	8.233	3.041	17.843	3.28815250654488e-71	5.81707059932854e-68	0.003	0.0349	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1451	1093	172	141	128	2371	1992	1356	1026.78	147	1906	12.908	3.69	16.841	1.21627724958951e-63	1.65516621711446e-60	0.0285	0.0323	0.0303	0.0303	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.54	667	3442	5.176	2.372	14.293	2.43195086504525e-46	1.9556201251598e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.63	412	2825	6.896	2.786	14.256	4.09773355047064e-46	3.15186974962504e-43	0.0224	0.03	0.0259	0.0259	TRUE	NA
FBtr0301487	818	500	372	4779	3392	3782	423	749	524	2440	4658	4692	2247.75	565	3930	6.77	2.759	14.047	8.01714123806672e-45	5.90963523510993e-42	0.0247	0.0288	0.0267	0.0267	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.36	110	828	7.571	2.92	13.715	8.20939620045876e-43	5.18687243508271e-40	0.0093	0.0398	0.0271	0.0271	TRUE	NA
FBtr0342814	677	213	248	2927	1632	1739	350	319	349	1495	2241	2157	1151.98	339	1964	5.666	2.502	12.709	5.28806324909614e-37	2.9234727168675e-34	0.0213	0.0316	0.0261	0.0261	TRUE	NA
FBtr0081619	132	39	60	945	389	516	68	58	85	483	534	640	311.36	70	552	7.757	2.956	12.463	1.19019428407623e-35	6.31242298339699e-33	0.0142	0.0469	0.032	0.032	TRUE	NA
FBtr0347567	196	93	159	3728	1160	1341	101	139	224	1904	1593	1664	937.49	155	1720	11.49	3.522	12.031	2.44044247290529e-33	1.19927410522688e-30	0.0893	0.0329	0.0578	0.0578	TRUE	NA
FBtr0076772	948	252	301	3104	1006	1183	491	377	424	1585	1381	1468	954.36	431	1478	3.436	1.781	11.805	3.6717490915985e-32	1.70939245209129e-29	0.0014	0.0328	0.0147	0.0147	TRUE	NA
