Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0025111	705	282	289	5121	2307	2688	404	495	465	2994	3651	3731	1956.67	455	3459	7.586	2.923	6.19479715248134e-242	2.5404863122326e-238	0.0039	0.0049
FBgn0000071	204	72	84	1130	477	585	117	126	135	661	755	812	434.32	126	743	5.835	2.545	9.25103234163251e-110	1.08395667522957e-106	0.0048	0.0063
FBgn0262733	382	113	97	1503	473	478	219	198	156	879	749	663	477.34	191	764	4.002	2.001	4.39190323165257e-69	2.40149268706763e-66	0.0056	0.006
FBgn0001226	1493	470	654	4578	1692	2076	855	825	1051	2677	2678	2881	1827.99	910	2745	3.019	1.594	8.08997300745853e-61	3.49231361090394e-58	0.0057	0.0048
FBgn0011260	170	50	53	818	243	257	97	88	85	478	385	357	248.33	90	407	4.568	2.192	3.8953283881445e-57	1.45224924725278e-54	0.0065	0.0084
FBgn0035189	123	48	34	665	381	334	70	84	55	389	603	464	277.47	70	485	6.686	2.741	1.03920046973581e-55	3.70587924033613e-53	0.013	0.008
FBgn0029002	2372	620	788	5540	1748	2099	1359	1089	1267	3239	2767	2913	2105.55	1238	2973	2.4	1.263	5.00508629073717e-51	1.64206871026505e-48	0.0043	0.0049
FBgn0051092	124	39	37	514	214	245	71	68	59	301	339	340	196.38	66	327	4.77	2.254	1.34313628486191e-49	3.93442993158479e-47	0.0078	0.0099
FBgn0037290	28	10	12	309	92	104	16	18	19	181	146	144	87.25	18	157	9.407	3.234	8.65299941716701e-46	2.15066367332133e-43	0.0118	0.0156
FBgn0031150	1200	315	321	2871	753	909	687	553	516	1679	1192	1262	981.44	585	1378	2.354	1.235	3.00590145404074e-44	6.82555570631548e-42	0.0041	0.005
FBgn0261673	24	13	8	263	91	101	14	23	13	154	144	140	81.24	17	146	9.42	3.236	2.78198658406016e-43	5.85073178524651e-41	0.0123	0.0163
FBgn0283437	7097	2315	2578	17634	7581	7047	4065	4065	4144	10310	11998	9781	7394.1	4091	10696	2.613	1.385	3.35284251834771e-42	6.40599304108601e-40	0.007	0.007
