Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0013687	1	0	0	7	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0005088	10274	3376	3547	10798	3488	3753	6020	5698	5597	6347	5408	5205	5712.65	5772	5653	0.977	-0.034	0.842104492462371	0.965561257596777	0.021	0.0272
FBtr0006151	3	0	1	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070000	6	3	4	6	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070002	11	1	1	7	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070003	56	14	13	62	30	35	33	24	21	36	47	49	34.74	26	44	1.647	0.72	0.0719021510009285	0.348993269930515	0.0786	0.0929
FBtr0070006	184	157	108	171	116	121	108	265	170	101	180	168	165.24	181	150	0.842	-0.248	0.425834315073682	0.8006057398267	0.0625	0.0733
FBtr0070007	1120	352	402	1054	412	435	656	594	634	620	639	603	624.4	628	621	0.987	-0.019	0.926509802301602	0.985334472586935	0.027	0.0366
FBtr0070008	379	130	151	434	174	211	222	219	238	255	270	293	249.55	226	273	1.2	0.263	0.315434501723738	0.725394786247606	0.0446	0.0592
FBtr0070025	1807	1107	1135	1643	1149	1068	1059	1868	1791	966	1782	1481	1491.14	1573	1410	0.898	-0.155	0.387280090460331	0.775946883717433	0.0223	0.0265
FBtr0070026	673	271	304	681	350	382	394	457	480	400	543	530	467.37	444	491	1.098	0.135	0.536709482676289	0.867435688852933	0.0318	0.0424
FBtr0070027	640	239	263	817	325	295	375	403	415	480	504	409	431.12	398	464	1.17	0.226	0.331233868458579	0.737112753306246	0.0362	0.0442
FBtr0070028	124	27	40	226	22	26	73	46	63	133	34	36	64.06	61	68	0.962	-0.056	0.894428829307586	0.977563892600593	0.1022	0.0975
FBtr0070029	4	3	2	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070032	8	5	2	8	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070034	1	1	0	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070035	0	1	0	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1267	1416	1703	1328	1637	1789	1523.42	1462	1585	1.081	0.113	0.532568000514991	0.865720413957854	0.0226	0.0264
FBtr0070038	3378	967	923	4638	980	927	1979	1632	1457	2726	1520	1286	1766.57	1689	1844	1.046	0.065	0.73743040130979	0.940605542340655	0.0258	0.0256
FBtr0070040	13	28	9	49	23	33	8	47	14	29	36	46	29.89	23	37	1.872	0.905	0.0735061284588858	0.352774252528761	0.136	0.0879
FBtr0070041	1669	296	385	1545	323	374	978	500	608	908	501	519	668.8	695	643	0.923	-0.115	0.573436194693236	0.884000606012119	0.0279	0.0354
FBtr0070042	691	112	20	427	43	161	405	189	32	251	67	223	194.41	209	180	1.019	0.027	0.960259395754624	0.991092369510007	0.2023	0.0667
FBtr0070043	76	16	25	38	23	15	45	27	39	22	36	21	31.63	37	26	0.689	-0.538	0.194015290248262	0.592030979411279	0.0851	0.0907
FBtr0070044	667	284	382	1324	364	269	391	479	603	778	564	373	531.45	491	572	1.146	0.197	0.496442933670653	0.846761970880807	0.0557	0.0396
FBtr0070045	165	43	65	518	66	67	97	73	103	304	102	93	128.6	91	166	1.61	0.687	0.0826509446919853	0.378987916941022	0.0947	0.0807
FBtr0070046	458	111	119	681	94	110	268	187	188	400	146	153	223.68	214	233	0.996	-0.005	0.985978593263134	0.996987295307638	0.0564	0.0623
FBtr0070050	5	2	2	3	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070052	1465	348	551	1408	499	764	858	587	869	828	774	1060	829.37	771	887	1.149	0.201	0.376289298321632	0.768247953577471	0.0355	0.0322
FBtr0070053	10	4	4	6	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070054	5	3	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070055	671	263	415	971	343	564	393	444	655	571	532	782	562.79	497	628	1.277	0.353	0.152312924636833	0.527632239673167	0.0416	0.0386
FBtr0070056	5	1	1	4	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070057	6	1	2	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070058	8652	2961	3041	6300	3070	3579	5070	4998	4799	3703	4760	4964	4715.52	4956	4476	0.896	-0.159	0.369474938170768	0.764657679482868	0.0222	0.0262
FBtr0070059	383	83	116	137	112	99	224	140	183	81	174	137	156.51	182	131	0.688	-0.54	0.145357392041668	0.516832696961499	0.0864	0.0748
FBtr0070060	265	89	101	353	139	186	155	150	159	207	216	258	190.98	155	227	1.458	0.544	0.0556070400563792	0.302132069627679	0.0515	0.0679
FBtr0070061	401	123	173	365	114	152	235	208	273	215	177	211	219.61	239	201	0.843	-0.247	0.377499651895981	0.768899972932268	0.0509	0.0632
FBtr0070062	193	199	429	496	182	235	113	336	677	292	282	326	337.6	375	300	0.96	-0.059	0.88766811116503	0.975530145311186	0.1087	0.0506
FBtr0070063	1131	358	341	978	321	372	663	604	538	575	498	516	565.6	602	530	0.881	-0.184	0.381618085666492	0.770912839344644	0.0295	0.0384
FBtr0070064	570	120	151	606	159	199	334	203	238	356	247	276	275.59	258	293	1.142	0.191	0.465289900978636	0.825810962238218	0.0445	0.056
FBtr0070065	51	34	37	79	64	39	30	57	58	46	99	54	57.57	48	66	1.397	0.482	0.200190692327575	0.601228785346318	0.0811	0.0985
FBtr0070066	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070067	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070068	2	0	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070069	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070070	149	57	51	291	77	90	87	96	80	171	119	125	113.21	88	138	1.568	0.649	0.0526162511799958	0.293778170760525	0.0686	0.0854
FBtr0070071	489	111	171	702	202	229	287	187	270	413	313	318	297.86	248	348	1.4	0.485	0.0668149281911106	0.33418662128213	0.0459	0.0538
FBtr0070072	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070073	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070074	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070075	0	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070076	9	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070077	7	0	0	0	9	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070078	96	19	22	107	35	40	56	32	35	63	54	55	49.28	41	57	1.407	0.493	0.181482833200574	0.57689181808796	0.0719	0.0982
FBtr0070079	141	57	56	161	73	68	83	96	88	95	113	94	94.89	89	101	1.131	0.178	0.592286226089413	0.891432731772091	0.0671	0.0908
FBtr0070080	2	3	0	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070081	33	20	21	48	25	20	19	34	33	28	39	28	30.16	29	32	1.147	0.198	0.606922110616323	0.897661308721902	0.0685	0.0887
FBtr0070084	47	36	32	103	40	38	28	61	50	61	62	53	52.34	46	59	1.35	0.433	0.267316692869325	0.680781212134566	0.0851	0.0984
FBtr0070085	523	118	122	550	203	232	306	199	193	323	315	322	276.33	233	320	1.396	0.481	0.0769527951331156	0.363758381640329	0.0479	0.056
FBtr0070086	29	13	16	22	17	12	17	22	25	13	26	17	20.02	21	19	0.846	-0.242	0.541220990032678	0.868774595245761	0.0571	0.0761
FBtr0070087	37	32	28	58	33	32	22	54	44	34	51	44	41.59	40	43	1.153	0.206	0.584312938244554	0.888175506978521	0.0737	0.0957
FBtr0070088	322	104	99	304	141	198	189	176	156	179	219	275	198.73	174	224	1.271	0.346	0.243712877329188	0.654163211131232	0.0566	0.0666
FBtr0070089	44	42	48	139	83	18	26	71	76	82	129	25	67.96	58	79	1.511	0.596	0.274721644766741	0.687511844107545	0.1849	0.0975
FBtr0070090	107	16	22	49	33	25	63	27	35	29	51	35	39.84	42	38	0.915	-0.128	0.776237876116656	0.951240411361172	0.1089	0.0958
FBtr0070091	235	77	60	246	114	117	138	130	95	145	177	162	141	121	161	1.327	0.408	0.211722224652044	0.617543273272438	0.0677	0.0783
FBtr0070092	3415	1108	1440	2412	1129	1315	2001	1870	2272	1418	1751	1824	1855.94	2048	1664	0.807	-0.309	0.0807684641980725	0.37341598758861	0.0218	0.0255
FBtr0070093	122	54	81	147	87	42	71	91	128	86	135	58	95	97	93	0.982	-0.026	0.947140409419436	0.988174209851812	0.0983	0.0909
FBtr0070094	683	236	248	695	259	287	400	398	391	409	402	398	399.67	396	403	1.015	0.022	0.923493246182469	0.985052624507417	0.0352	0.0461
FBtr0070095	15	6	6	14	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070097	37	13	13	64	25	24	22	22	21	38	39	33	28.97	22	37	1.708	0.772	0.0406376745342103	0.24971111880905	0.0609	0.0885
FBtr0070098	832	317	255	665	291	444	488	535	402	391	451	616	480.47	475	486	1.01	0.015	0.951859879504873	0.988780612837701	0.0411	0.0418
FBtr0070099	0	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070100	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070101	1	1	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070102	1	1	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070103	1	1	1	5	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070106	78	18	24	28	17	5	46	30	38	16	26	7	27.29	38	16	0.429	-1.221	0.00747241834316943	0.0789387155473698	0.0996	0.087
FBtr0070107	23	9	5	26	20	26	13	15	8	15	31	36	19.82	12	27	1.981	0.986	0.0281442670175431	0.197627939300442	0.0807	0.076
FBtr0070108	77	33	34	193	43	37	45	56	54	113	67	51	64.32	52	77	1.472	0.558	0.160682695866998	0.542864972112162	0.0901	0.0977
FBtr0070109	13	7	7	14	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070110	2	1	1	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070115	688	254	271	674	274	313	403	429	428	396	425	434	419.1	420	418	0.996	-0.006	0.979700160721252	0.996017689587841	0.0344	0.0449
FBtr0070116	46	33	41	92	53	24	27	56	65	54	82	33	52.82	49	56	1.236	0.305	0.484502246336334	0.838712182031576	0.1126	0.0984
FBtr0070117	24	12	15	40	15	10	14	20	24	24	23	14	19.77	19	20	1.115	0.157	0.711317901807044	0.931502701021661	0.072	0.0766
FBtr0070118	139	41	46	97	34	73	81	69	73	57	53	101	72.37	74	70	0.929	-0.106	0.78297848356558	0.952805276901379	0.0889	0.0964
FBtr0070119	678	206	220	675	262	254	397	348	347	397	406	352	374.57	364	385	1.058	0.081	0.734255523967532	0.938911619807372	0.0381	0.0477
FBtr0070120	975	340	192	737	190	199	571	574	303	433	295	276	408.66	483	335	0.687	-0.543	0.0489356399542796	0.281039916176331	0.0511	0.0455
FBtr0070121	540	164	221	373	186	205	316	277	349	219	288	284	288.99	314	264	0.831	-0.267	0.311593228954884	0.722309281306656	0.0457	0.0548
FBtr0070122	967	266	365	1136	392	475	567	449	576	668	608	659	587.65	531	645	1.215	0.281	0.184579936383117	0.580651973700417	0.0303	0.0377
FBtr0070123	87	38	38	134	31	72	51	64	60	79	48	100	66.96	58	76	1.312	0.392	0.309075525170506	0.720295417400881	0.0887	0.0975
FBtr0070124	7	1	5	30	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070125	655	183	157	583	304	200	384	309	248	343	471	277	338.64	314	364	1.167	0.223	0.438092865637454	0.808531818250343	0.0554	0.0503
FBtr0070126	910	256	369	1173	312	351	533	432	582	690	484	487	534.61	516	554	1.062	0.086	0.706171943603589	0.930192807469735	0.0351	0.0395
FBtr0070127	184	32	72	103	63	63	108	54	114	61	98	87	86.84	92	82	0.869	-0.202	0.612771460705352	0.899396871492543	0.0988	0.0929
FBtr0070128	135	23	15	81	32	16	79	39	24	48	50	22	43.5	47	40	0.889	-0.17	0.703061627300001	0.929405985704693	0.1091	0.0973
FBtr0070129	3	3	3	18	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070130	116	45	38	116	50	45	68	76	60	68	78	62	68.67	68	69	1.019	0.028	0.936518094965106	0.98632217898182	0.0705	0.0972
FBtr0070131	272	102	74	228	95	107	159	172	117	134	147	148	146.34	149	143	0.955	-0.066	0.836568069187632	0.963441461723292	0.0652	0.0771
FBtr0070132	132	45	44	135	48	52	77	76	69	79	74	72	74.77	74	75	1.015	0.021	0.950669052645475	0.988780612837701	0.0677	0.0959
FBtr0070133	97	44	40	105	40	42	57	74	63	62	62	58	62.7	65	61	0.949	-0.076	0.825889901787836	0.961231166863618	0.0675	0.0981
FBtr0070134	682	252	306	657	255	350	400	425	483	386	395	485	429.14	436	422	0.969	-0.046	0.844242712931391	0.966035664631888	0.0362	0.0444
FBtr0070135	273	53	129	353	180	240	160	89	204	207	279	333	212.07	151	273	1.77	0.824	0.0165650041610952	0.13912427978826	0.0774	0.0644
FBtr0070136	381	168	39	324	68	100	223	284	62	190	105	139	167.15	190	145	0.756	-0.404	0.359928064762605	0.757870069586957	0.1317	0.0723
FBtr0070137	77	18	39	78	72	18	45	30	62	46	112	25	53.25	46	61	1.294	0.372	0.465808468592584	0.825979177491487	0.164	0.0984
FBtr0070138	7	1	1	6	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070139	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0070140	745	334	333	726	353	448	437	564	525	427	547	621	520.19	509	532	1.04	0.056	0.794753317303175	0.954869547875088	0.031	0.0401
