Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0003360	14882	3935	4763	1492	576	640	7496	6150	6787	761	806	784	3797.15	6811	784	0.115	-3.123	-33.909	4.98768820695069e-252	4.45400556880696e-248	0.0056	0.0052	0.0054	0.0054	TRUE	NA
FBgn0026562	102439	47109	59862	18039	10108	12172	51595	73623	85297	9199	14137	14919	41461.64	70172	12752	0.181	-2.464	-31.274	1.06702649237025e-214	3.17618219228879e-211	0.0041	0.0046	0.0044	0.0044	TRUE	NA
FBgn0039155	2490	751	893	81	37	54	1254	1174	1272	41	52	66	643.25	1233	53	0.041	-4.593	-27.598	1.18634621806161e-167	2.64851793182254e-164	0.0165	0.0086	0.0102	0.0102	TRUE	NA
FBgn0029167	10401	3816	3822	2347	937	924	5239	5964	5446	1197	1311	1133	3381.36	5550	1214	0.219	-2.191	-24.992	7.46879966112386e-138	1.33392761947672e-134	0.0044	0.0053	0.005	0.005	TRUE	NA
FBgn0035085	1895	671	787	314	133	150	954	1049	1121	160	186	184	609.08	1041	177	0.169	-2.562	-22.336	1.64890568824769e-110	2.45412129934197e-107	0	0.0088	0.0062	0.0062	TRUE	NA
FBgn0039827	767	320	331	46	14	28	386	500	472	23	20	34	239.23	453	26	0.058	-4.104	-19.367	1.45971953031434e-83	1.86218505795815e-80	0.0012	0.0154	0.0131	0.0131	TRUE	NA
FBgn0034897	2877	964	982	725	274	263	1449	1507	1399	370	383	322	905.02	1452	358	0.247	-2.017	-19.224	2.31448275321573e-82	2.58354137327706e-79	0.0025	0.0074	0.0061	0.0061	TRUE	NA
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.435	-18.672	8.32903385095803e-78	8.26425247656169e-75	0	0.0101	0.0081	0.0081	TRUE	NA
FBgn0023479	9584	3082	2984	3053	1145	1175	4827	4817	4252	1557	1601	1440	3082.34	4632	1533	0.331	-1.596	-18.449	5.29887803224529e-76	4.73189808279504e-73	0.0041	0.0054	0.0049	0.0049	TRUE	NA
FBgn0261552	22518	5916	5184	6734	1604	1703	11342	9246	7387	3434	2243	2087	5956.41	9325	2588	0.274	-1.867	-18.372	2.21996549826756e-75	1.80220835450266e-72	0.0116	0.005	0.0072	0.0072	TRUE	NA
FBgn0259715	2277	879	1073	492	294	283	1147	1374	1529	251	411	347	843.07	1350	336	0.245	-2.03	-17.651	9.95929201094393e-70	6.84126751213302e-67	0.0077	0.0076	0.0076	0.0076	TRUE	NA
FBgn0034736	712	282	257	51	25	28	359	441	366	26	35	34	210.14	389	32	0.08	-3.643	-17.368	1.45284850204612e-67	9.26709794519415e-65	0.0093	0.017	0.015	0.015	TRUE	NA
FBgn0027279	8234	2595	2639	3505	1242	1379	4147	4056	3760	1787	1737	1690	2862.94	3988	1738	0.436	-1.198	-15.851	1.37530476813172e-56	8.18764771961085e-54	8e-04	0.0054	0.0037	0.0037	TRUE	NA
FBgn0040099	3002	785	942	952	221	268	1512	1227	1342	485	309	328	867.35	1360	374	0.274	-1.87	-15.605	6.76307541213063e-55	3.77464146439541e-52	0	0.0075	0.0085	0.0085	TRUE	NA
FBgn0038832	853	252	289	129	52	65	430	394	412	66	73	80	242.24	412	73	0.174	-2.525	-15.123	1.1366231865907e-51	5.34212897697627e-49	0	0.0153	0.012	0.012	TRUE	NA
FBgn0035147	39912	16882	20966	17919	9336	10829	20102	26383	29874	9138	13058	13273	18638.04	25453	11823	0.463	-1.109	-14.999	7.43237549288256e-51	3.31855565757207e-48	0.0027	0.0047	0.0039	0.0039	TRUE	NA
FBgn0036821	1441	498	457	382	112	147	726	778	651	195	157	180	447.81	718	177	0.248	-2.009	-14.874	4.88912632926746e-50	2.07904276763612e-47	0.0072	0.0104	0.0095	0.0095	TRUE	NA
FBgn0039419	4979	1572	1589	2245	743	850	2508	2457	2264	1145	1039	1042	1742.41	2410	1075	0.447	-1.163	-14.15	1.86765816936334e-45	6.94924477183943e-43	0	0.006	0.0042	0.0042	TRUE	NA
FBgn0053307	3608	742	989	1277	301	374	1817	1160	1409	651	421	458	986.11	1462	510	0.348	-1.522	-14.011	1.33954526195836e-44	4.78485567571526e-42	0.0066	0.0072	0.007	0.007	TRUE	NA
FBgn0033913	13209	4465	4508	5371	2328	2614	6653	6978	6423	2739	3256	3204	4875.52	6685	3066	0.457	-1.131	-13.776	3.55600043940127e-43	1.22134938168667e-40	0.0038	0.0051	0.0046	0.0046	TRUE	NA
FBgn0040091	2714	899	1211	1002	388	416	1367	1405	1726	511	543	510	1010.16	1499	521	0.349	-1.518	-13.726	7.09037791356624e-43	2.34507684326469e-40	0.0083	0.0071	0.0075	0.0075	TRUE	NA
FBgn0043364	4460	906	977	1689	412	514	2246	1416	1392	861	576	630	1186.98	1685	689	0.412	-1.28	-13.705	9.44939212738417e-43	3.01368113205502e-40	0.0019	0.0067	0.0051	0.0051	TRUE	NA
