Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4679	4083	697	184	220	7585	7009	5751	356	253	273	3537.82	6782	294	0.043	-4.534	-27.73	3.010555933006e-169	5.32597450108092e-165	0.0097	0.0278	0.0174	0.0174	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.42	1366	88	0.063	-3.983	-19.487	1.40183205390904e-84	4.1333018109508e-81	0.0129	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.21	1163	49	0.043	-4.55	-19.242	1.66195839286202e-82	3.67521324101526e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.44	1224	53	0.042	-4.563	-19.043	7.45882330391762e-81	1.46615603410674e-77	0.0256	0.0361	0.0314	0.0314	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52481	70248	83924	9159	13774	15050	40772.69	68884	12661	0.183	-2.452	-17.282	6.40795430060307e-67	1.03057381392699e-63	0.0071	0.0261	0.0145	0.0145	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1053	2254	1603	76	117	87	864.95	1637	93	0.059	-4.091	-16.898	4.67652658822787e-64	6.89436932269494e-61	0.0401	0.0335	0.0367	0.0367	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.44	2851	254	0.087	-3.516	-16.531	2.20641318132245e-61	2.78811825648397e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1836	1387	340	181	211	1191.63	2139	244	0.116	-3.107	-16.076	3.7442835433164e-58	4.41600801098736e-55	0.018	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.081	-3.623	-16.042	6.53296334647993e-58	7.22341591016103e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2709	2389	1327	534	573	3798	4058	3365	678	733	711	2223.73	3740	707	0.189	-2.404	-15.911	5.31004841641606e-57	5.52588626675392e-54	0.0062	0.0289	0.0156	0.0156	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1622	1466	404	264	249	1015.02	1724	306	0.176	-2.51	-15.879	8.90539313177248e-57	8.75251721634372e-54	0.0044	0.0324	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.058	-4.103	-14.997	7.67131248082048e-51	7.1427994262208e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.1	1028	164	0.157	-2.667	-14.876	4.7201757767357e-50	4.17523148331157e-47	0	0.0369	0.0196	0.0196	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1558	1789	1675	288	347	390	1007.76	1674	342	0.203	-2.303	-14.872	5.04083600360005e-50	4.2465442733185e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	488	516	74	44	34	350	731	727	38	60	42	324.68	603	47	0.082	-3.609	-13.988	1.85180676749841e-44	1.31041254095258e-41	0.0252	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.081	-3.627	-13.902	6.18841472290657e-44	4.21074018703616e-41	0	0.0573	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.62	836	81	0.095	-3.403	-13.885	7.85339318928345e-44	5.14571773746717e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4849	5405	64	44	187	2724.41	5350	98	0.018	-5.809	-13.124	2.40693870412674e-39	1.46831560740366e-36	0.3267	0.0283	0.1359	0.1359	TRUE	NA
FBtr0089484	1395	442	447	213	51	49	722	662	630	109	70	61	375.54	671	80	0.118	-3.088	-12.872	6.45744775131805e-38	3.80795693895225e-35	0	0.0433	0.0339	0.0339	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3388	3376	3513	974	846	1011	2184.64	3426	944	0.276	-1.859	-12.824	1.19766062366683e-37	6.83477873977096e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5761	5086	1100	962	905	6984	8630	7164	562	1321	1123	4297.19	7593	1002	0.125	-3.005	-12.461	1.21317269479112e-35	6.31242298339699e-33	0.0559	0.0275	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2400	1164	483	449	5667	5641	3381	594	663	557	2750.65	4896	605	0.124	-3.01	-12.447	1.4588382257452e-35	7.37380201475954e-33	0.0544	0.0283	0.0412	0.0412	TRUE	NA
FBtr0332260	1986	872	973	561	304	315	1028	1306	1371	286	417	391	799.88	1235	365	0.294	-1.768	-12.017	2.90983252374873e-33	1.39129316696321e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	809	57	58	47	326.9	600	54	0.093	-3.422	-11.649	2.31742454647137e-31	1.05121942696474e-28	0.0591	0.0459	0.0522	0.0522	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1511	251	404	351	835.42	1335	335	0.247	-2.017	-11.43	2.95446154240269e-30	1.30668447866615e-27	0.0102	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.26	922	205	0.222	-2.17	-11.344	7.96051030089185e-30	3.35308066031137e-27	0.0107	0.0375	0.0233	0.0233	TRUE	NA
FBtr0335024	11505	3312	2192	1655	561	471	5954	4961	3088	845	770	584	2700.44	4668	733	0.159	-2.654	-11.169	5.77486242212743e-29	2.22093676325775e-26	0.0516	0.0284	0.0398	0.0398	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	377	407	66	71	81	240.65	408	73	0.176	-2.507	-11.112	1.091630615612e-28	4.10894408953018e-26	0.0063	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.36	274	33	0.117	-3.093	-11.039	2.48290287787027e-28	9.15104891925063e-26	0	0.0684	0.0394	0.0394	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1153	1303	477	294	328	847.67	1329	366	0.273	-1.875	-11.008	3.4788025704085e-28	1.25598971985912e-25	0.0081	0.0336	0.019	0.019	TRUE	NA
FBtr0085156	1670	905	987	223	29	44	864	1356	1390	114	40	55	636.41	1203	70	0.055	-4.189	-10.703	9.84126020486548e-27	3.4820346856855e-24	0.1963	0.0362	0.102	0.102	TRUE	NA
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.45	182	10	0.06	-4.062	-10.538	5.75312643358794e-26	1.9572799949347e-23	0.0161	0.0935	0.0597	0.0597	TRUE	NA
FBtr0334328	4054	1306	1560	879	484	482	2098	1956	2197	449	665	598	1327.2	2084	571	0.27	-1.89	-10.306	6.59420570428789e-25	2.12105623844649e-22	0.0168	0.0308	0.0231	0.0231	TRUE	NA
FBtr0072864	3477	897	1003	1324	385	448	1799	1344	1413	676	529	556	1052.74	1519	587	0.387	-1.369	-9.954	2.41505655151241e-23	7.4955728864572e-21	2e-04	0.0321	0.0123	0.0123	TRUE	NA
FBtr0087295	2017	574	676	724	218	235	1044	860	952	370	299	292	636.08	952	320	0.336	-1.574	-9.952	2.47276925885575e-23	7.54237257903741e-21	0	0.0362	0.0158	0.0158	TRUE	NA
FBtr0073423	3319	583	819	387	113	51	1718	873	1154	198	155	63	693.44	1248	139	0.11	-3.184	-9.938	2.84207228883549e-23	8.37985014363145e-21	0.1206	0.0353	0.0691	0.0691	TRUE	NA
FBtr0071934	2632	870	1155	680	347	348	1362	1303	1627	347	476	432	924.62	1431	418	0.29	-1.787	-9.926	3.22388903422821e-23	9.34980670566086e-21	0.013	0.033	0.0218	0.0218	TRUE	NA
FBtr0112878	1457	182	199	153	38	41	754	273	280	78	52	51	248.02	436	60	0.149	-2.748	-9.867	5.79022857392787e-23	1.62595132859298e-20	0.037	0.0522	0.0445	0.0445	TRUE	NA
FBtr0112851	2172	620	628	735	213	187	1124	929	885	375	292	232	639.53	979	300	0.304	-1.717	-9.638	5.50119926022854e-22	1.49725717096466e-19	0.0064	0.0361	0.0204	0.0204	TRUE	NA
FBtr0302938	672	245	279	175	49	55	348	367	393	89	67	68	222.11	369	75	0.205	-2.289	-9.623	6.3960190006832e-22	1.71442382031949e-19	0.0117	0.0553	0.0325	0.0325	TRUE	NA
FBtr0344980	3769	1765	1589	1402	539	520	1951	2644	2238	716	740	645	1488.97	2278	700	0.31	-1.691	-9.619	6.65037761923179e-22	1.75599746957955e-19	0.0143	0.0303	0.0213	0.0213	TRUE	NA
FBtr0334867	2134	498	661	115	48	111	1104	746	931	59	66	138	507.3	927	88	0.092	-3.44	-9.596	8.31802825822804e-22	2.13267011472916e-19	0.1527	0.0388	0.0861	0.0861	TRUE	NA
FBtr0077234	5787	2197	2095	2058	925	1043	2995	3291	2951	1051	1270	1294	2141.99	3079	1205	0.389	-1.361	-9.583	9.43031805250054e-22	2.38331080952553e-19	0.0045	0.029	0.0139	0.0139	TRUE	NA
FBtr0089963	1929	493	465	457	165	170	998	738	655	233	227	211	510.44	797	224	0.283	-1.823	-9.476	2.63348378298815e-21	6.4706891117838e-19	0.0116	0.0387	0.0236	0.0236	TRUE	NA
FBtr0333020	3063	1107	1433	1020	403	351	1585	1658	2019	521	553	435	1128.6	1754	503	0.288	-1.796	-9.469	2.82599936892329e-21	6.84859655282493e-19	0.0186	0.0317	0.0246	0.0246	TRUE	NA
FBtr0100375	843	511	549	253	96	101	436	765	773	129	132	125	393.56	658	129	0.204	-2.293	-9.396	5.69416581409454e-21	1.36129037050198e-18	0.0343	0.0425	0.0383	0.0383	TRUE	NA
FBtr0333662	1167	526	369	279	70	85	604	788	520	142	96	105	375.95	637	114	0.179	-2.478	-9.291	1.53101035097797e-20	3.563829489362e-18	0.0488	0.0433	0.0458	0.0458	TRUE	NA
FBtr0089361	1070	395	364	354	105	126	554	592	513	181	144	156	356.57	553	160	0.291	-1.781	-9.074	1.14781665082311e-19	2.53825304621395e-17	0	0.0442	0.0235	0.0235	TRUE	NA
FBtr0337056	1895	422	300	302	94	91	981	632	423	154	129	113	405.27	679	132	0.201	-2.318	-8.988	2.51086123394115e-19	5.48390692464851e-17	0.0436	0.042	0.0428	0.0428	TRUE	NA
FBtr0336616	936	502	401	267	133	125	484	752	565	136	183	155	379.21	600	158	0.265	-1.917	-8.974	2.85201463993419e-19	6.07891457771997e-17	0.0166	0.0431	0.0288	0.0288	TRUE	NA
FBtr0344554	450	60	65	15	5	4	233	90	92	8	7	5	72.3	138	7	0.047	-4.411	-8.968	3.02365462269928e-19	6.36803261073489e-17	0.0499	0.116	0.087	0.087	TRUE	NA
FBtr0073339	2093	490	684	675	197	192	1083	734	963	345	271	238	605.67	927	285	0.306	-1.709	-8.894	5.89252632069449e-19	1.22640803693419e-16	0.0137	0.0367	0.024	0.024	TRUE	NA
FBtr0080565	3579	732	977	1258	301	371	1852	1096	1376	642	413	460	973.48	1441	505	0.351	-1.51	-8.872	7.20943950432061e-19	1.48304877059228e-16	0.0093	0.0326	0.0193	0.0193	TRUE	NA
FBtr0303384	3045	1221	589	552	125	122	1576	1829	830	282	172	151	806.56	1412	202	0.139	-2.85	-8.837	9.8444944357103e-19	2.00182702370288e-16	0.1092	0.034	0.0717	0.0717	TRUE	NA
