Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4679	4083	697	184	220	7585	7009	5751	356	253	273	3537.82	6782	294	0.044	-4.522	-18.753	1.81615192747752e-78	1.7957202182934e-74	0.0242	0.09	0.0401	0.0401	TRUE	0.3106
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.44	1224	53	0.043	-4.556	-17.341	2.3251144142377e-67	1.53263791805168e-63	0.0132	0.0958	0.0398	0.0398	TRUE	0.4587
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.21	1163	49	0.043	-4.538	-16.342	4.98557486651651e-60	2.4647435746341e-56	0.0142	0.0962	0.0452	0.0452	TRUE	0.5273
FBtr0075753	7338	2709	2389	1327	534	573	3798	4058	3365	678	733	711	2223.73	3740	707	0.189	-2.404	-14.558	5.21689518253598e-48	1.71940170391082e-44	0.0051	0.0907	0.0188	0.0188	TRUE	0.0927
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.057	-4.124	-13.796	2.68806971325052e-43	7.59379693993273e-40	0.0105	0.1079	0.0443	0.0443	TRUE	0.4254
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.082	-3.612	-13.583	5.07309851134856e-42	1.25400653827397e-38	0.0206	0.1024	0.0402	0.0402	TRUE	0.1112
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.08	-3.635	-13.504	1.48521590392583e-41	3.26334938890371e-38	0	0.1106	0.0351	0.0351	TRUE	0.2863
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.44	2851	254	0.09	-3.48	-12.815	1.34494270211799e-37	2.65962419343833e-34	0.0364	0.0916	0.0509	0.0509	TRUE	1.056
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.62	836	81	0.095	-3.392	-12.681	7.52634465311851e-37	1.35303150468562e-33	0.0218	0.0986	0.0446	0.0446	TRUE	0.5392
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.1	1028	164	0.158	-2.661	-12.507	6.82848537216895e-36	9.64523558818864e-33	0.0097	0.0963	0.029	0.029	TRUE	0.2833
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.42	1366	88	0.065	-3.948	-12.341	5.45704755538945e-35	7.1942076938551e-32	0.0593	0.095	0.0676	0.0676	TRUE	0.5857
FBtr0290019	6546	2254	2494	1907	616	815	3388	3376	3513	974	846	1011	2184.64	3426	944	0.276	-1.859	-11.786	4.62535709894922e-32	4.81402298061689e-29	0.0026	0.0908	0.0172	0.0172	TRUE	0.0945
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.45	182	10	0.06	-4.058	-11.306	1.22393275110583e-29	1.15253667395799e-26	0	0.1359	0.0471	0.0471	TRUE	0.1915
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.36	274	33	0.117	-3.095	-11.28	1.64314989712445e-29	1.47696769161982e-26	0	0.1184	0.0371	0.0371	TRUE	0.399
FBtr0083967	853	252	289	129	52	65	441	377	407	66	71	81	240.65	408	73	0.176	-2.507	-11.265	1.96106412845705e-29	1.68608883218427e-26	0	0.1076	0.0275	0.0275	TRUE	0.0853
