Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.12	46	1350	28.384	4.827	18.944	4.94776370122407e-80	9.78420271917059e-76	0.0103	0.0952	0.0352	0.0352	TRUE	0.2442
FBtr0112994	60	23	60	8888	4998	5277	31	34	85	4539	6863	6547	3016.42	50	5983	121.401	6.924	15.665	2.63424249183322e-55	1.04184290552004e-51	0.1542	0.0902	0.1294	0.1294	TRUE	2.5913
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.36	110	828	7.571	2.92	12.624	1.55241713448947e-36	2.55825406954411e-33	0.0037	0.0984	0.0329	0.0329	TRUE	0.4013
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.47	351	2919	8.335	3.059	12.571	3.06643503924001e-36	4.66451945392086e-33	0.0231	0.0915	0.0409	0.0409	TRUE	0.3487
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.54	667	3442	5.147	2.364	12.33	6.22256351964194e-35	7.69069960005746e-32	0.0104	0.0909	0.0255	0.0255	TRUE	0.2552
FBtr0342810	333	94	91	4643	1451	1093	172	141	128	2371	1992	1356	1026.78	147	1906	12.899	3.689	12.158	5.17649376173178e-34	6.02148024342623e-31	0.0509	0.0931	0.0623	0.0623	TRUE	0.1128
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.63	412	2825	6.828	2.772	11.999	3.58279128362138e-33	3.93609431297849e-30	0.0214	0.0915	0.0369	0.0369	TRUE	0.4114
FBtr0081619	132	39	60	945	389	516	68	58	85	483	534	640	311.36	70	552	7.844	2.972	11.411	3.70292793496392e-30	3.66126999569558e-27	0.0172	0.1033	0.0402	0.0402	TRUE	0.18
FBtr0342806	149	79	82	2611	2445	2072	77	118	116	1333	3357	2571	1262.03	104	2420	23.487	4.554	11.027	2.83538374065573e-28	2.15652744121027e-25	0.1292	0.0923	0.1172	0.1172	TRUE	0.0957
FBtr0342814	677	213	248	2927	1632	1739	350	319	349	1495	2241	2157	1151.98	339	1964	5.776	2.53	10.394	2.64908216433062e-25	1.74618665998793e-22	0.0258	0.0926	0.0408	0.0408	TRUE	0.5369
FBtr0347567	196	93	159	3728	1160	1341	101	139	224	1904	1593	1664	937.49	155	1720	11.191	3.484	10.138	3.73287462159271e-24	2.23689683763624e-21	0.0812	0.0935	0.0812	0.0812	TRUE	1.5282
FBtr0080263	221	50	45	1679	1225	1528	114	75	63	857	1682	1896	781.31	84	1478	17.365	4.118	9.964	2.18478827485485e-23	1.27071141574279e-20	0.1268	0.0945	0.1161	0.1161	TRUE	0.4387
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.9	62	499	7.859	2.974	9.815	9.66510443787725e-23	5.46078400740065e-20	0.0345	0.1049	0.0565	0.0565	TRUE	0.6268
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.61	46	491	10.734	3.424	9.788	1.27188516590388e-22	6.98653587659699e-20	0.0563	0.1056	0.0752	0.0752	TRUE	0.6846
FBtr0078841	28	10	12	309	92	104	14	15	17	158	126	129	76.59	15	138	9.063	3.18	9.269	1.88675596091799e-20	9.3276497817883e-18	0	0.1482	0.0479	0.0479	TRUE	0.1932
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.932	2.793	9.241	2.43420163374185e-20	1.17405700749378e-17	0.0353	0.1074	0.0557	0.0557	TRUE	0.1024
FBtr0076772	948	252	301	3104	1006	1183	491	377	424	1585	1381	1468	954.36	431	1478	3.421	1.774	9.113	8.01469489074126e-20	3.68582770847461e-17	0.0089	0.0935	0.0257	0.0257	TRUE	0.1836
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3468	3631	9005	10410	8743	6488.21	3591	9386	2.613	1.386	8.826	1.0883601737819e-18	4.78273831923046e-16	0.0047	0.0894	0.0176	0.0176	TRUE	0.111
FBtr0077831	71	19	27	331	152	154	37	28	38	169	209	191	112.01	34	190	5.43	2.441	8.693	3.53486620863081e-18	1.48727615480158e-15	0	0.1294	0.039	0.039	TRUE	0.1061
