Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0000008	195	75	64	174	85	69	112	132	103	102	135	96	113.05	116	111	0.955	-0.066	0.796752455245205	0.955124764384854	0.0362	0.0495
FBgn0000014	8	2	5	21	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000015	12	4	4	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000017	285369	68062	49594	276128	36619	38709	163452	119518	79728	161450	57956	53728	105972.09	120899	91045	0.753	-0.409	0.298637084023127	0.723137063771055	0.1113	0.0399
FBgn0000018	792	241	294	798	285	305	454	423	473	467	451	423	448.41	450	447	0.994	-0.008	0.960872878362049	0.993177850161898	0.017	0.0214
FBgn0000022	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000024	14	4	3	20	9	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000028	25	7	4	41	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000032	1919	611	641	1983	674	759	1099	1073	1030	1159	1067	1053	1080.37	1067	1093	1.025	0.035	0.801901067567036	0.957290506361278	0.0129	0.0166
FBgn0000036	29	4	11	24	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000037	40	11	8	42	16	24	23	19	13	25	25	33	23.05	18	28	1.424	0.51	0.166707260264793	0.570911460831664	0.0495	0.0622
FBgn0000038	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039	1	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000042	137948	46027	50826	155693	73446	83437	79013	80825	81708	91033	116242	115810	94105.05	80515	107695	1.338	0.42	0.0623652168593549	0.341240499453255	0.0364	0.0394
FBgn0000043	44136	16052	17308	65571	29782	34401	25280	28188	27824	38339	47136	47748	35752.49	27097	44408	1.639	0.713	0.000793866035971178	0.0138243932633452	0.0322	0.0354
FBgn0000044	93	17	15	103	25	18	53	30	24	60	40	25	38.67	36	42	1.147	0.197	0.627004875498998	0.903812651817712	0.0924	0.0621
FBgn0000045	51	5	21	62	30	24	29	9	34	36	47	33	31.47	24	39	1.559	0.64	0.101185008872957	0.454252568569237	0.0726	0.0626
FBgn0000046	80	11	14	129	26	18	46	19	23	75	41	25	38.2	29	47	1.58	0.66	0.139811264668846	0.53212621476282	0.1163	0.0621
FBgn0000047	51	8	3	67	20	9	29	14	5	39	32	12	21.9	16	28	1.626	0.701	0.172029384334034	0.579082368355552	0.1432	0.0623
FBgn0000052	3951	1630	1858	3734	1775	1921	2263	2862	2987	2183	2809	2666	2628.52	2704	2553	0.944	-0.083	0.624070403225057	0.902468348054122	0.02	0.0209
FBgn0000053	3162	1292	1471	3922	1888	2087	1811	2269	2365	2293	2988	2897	2437.12	2148	2726	1.269	0.344	0.0428877241740593	0.269345416290685	0.0202	0.0203
FBgn0000055	7	0	5	6	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000056	8	1	2	8	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000057	1213	442	514	1136	531	588	695	776	826	664	840	816	769.67	766	773	1.009	0.014	0.931765624331488	0.988621849282546	0.0165	0.0173
FBgn0000061	2	1	3	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000063	766	213	234	795	306	334	439	374	376	465	484	464	433.61	396	471	1.182	0.241	0.156217088399758	0.555989464406189	0.018	0.0218
FBgn0000064	14102	5007	5231	15720	6619	7916	8077	8792	8409	9191	10476	10987	9322.26	8426	10218	1.213	0.278	0.132085696384965	0.516193324961849	0.0244	0.0299
FBgn0000071	204	72	84	1130	477	585	117	126	135	661	755	812	434.32	126	743	5.917	2.565	8.81841331152334e-41	8.03651399790161e-38	0.0195	0.0218
FBgn0000075	5	2	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000077	407	125	167	398	153	191	233	220	268	233	242	265	243.51	240	247	1.025	0.036	0.853849363948693	0.968975578609964	0.0219	0.0315
FBgn0000078	161	32	78	58	33	24	92	56	125	34	52	33	65.54	91	40	0.429	-1.221	0.000541451995165497	0.0100248064657955	0.0676	0.0589
FBgn0000079	763	395	389	263	150	217	437	694	625	154	237	301	408.06	585	231	0.392	-1.35	5.04843049800958e-08	2.79778560436991e-06	0.0392	0.0227
FBgn0000083	10582	3789	4560	10152	4554	5260	6061	6654	7331	5936	7208	7301	6748.26	6682	6815	1.02	0.028	0.876484290225534	0.975675981769364	0.0238	0.0281
FBgn0000084	4215	1961	2274	3754	2039	2293	2414	3444	3656	2195	3227	3183	3019.7	3171	2868	0.905	-0.145	0.470153402025314	0.849054059239227	0.0285	0.0221
FBgn0000092	15	8	8	32	13	13	9	14	13	19	21	18	15.47	12	19	1.722	0.784	0.0559145493213632	0.318479953842931	0.0441	0.0611
FBgn0000094	41	27	11	72	15	19	23	47	18	42	24	26	30.13	29	31	1.105	0.145	0.722896803287455	0.935851968109778	0.0821	0.0626
