Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0025111	705	282	289	5121	2307	2688	404	495	465	2994	3651	3731	1956.67	455	3459	7.645	2.934	3.82053717761468e-75	1.56680229653978e-71	0.0149	0.0188
FBgn0000071	204	72	84	1130	477	585	117	126	135	661	755	812	434.32	126	743	5.917	2.565	8.81841331152334e-41	8.03651399790161e-38	0.0195	0.0218
FBgn0035189	123	48	34	665	381	334	70	84	55	389	603	464	277.47	70	485	6.918	2.79	1.63577898279745e-30	1.03205070899267e-27	0.0305	0.0288
FBgn0001226	1493	470	654	4578	1692	2076	855	825	1051	2677	2678	2881	1827.99	910	2745	3.018	1.594	1.55219885446851e-27	7.95695937771921e-25	0.0139	0.0184
FBgn0262733	382	113	97	1503	473	478	219	198	156	879	749	663	477.34	191	764	3.966	1.988	3.37152381418605e-25	1.53629101799745e-22	0.0215	0.0207
FBgn0051092	124	39	37	514	214	245	71	68	59	301	339	340	196.38	66	327	4.857	2.28	4.80868498988614e-24	1.79276519486573e-21	0.0253	0.0362
FBgn0037290	28	10	12	309	92	104	16	18	19	181	146	144	87.25	18	157	9.077	3.182	9.4367648280194e-24	3.22501437997563e-21	0.0393	0.0542
FBgn0011260	170	50	53	818	243	257	97	88	85	478	385	357	248.33	90	407	4.486	2.165	1.31687248576213e-23	4.32039525128838e-21	0.0248	0.0308
FBgn0261673	24	13	8	263	91	101	14	23	13	154	144	140	81.24	17	146	9.221	3.205	3.87104694843704e-23	1.17593803966965e-20	0.0398	0.0556
FBgn0029002	2372	620	788	5540	1748	2099	1359	1089	1267	3239	2767	2913	2105.55	1238	2973	2.398	1.262	1.45679411215783e-18	3.62079554785411e-16	0.0137	0.0193
FBgn0032405	61	19	18	292	106	129	35	33	29	171	168	179	102.46	32	173	5.236	2.389	2.10227042248254e-18	4.92652057291479e-16	0.0332	0.0513
FBgn0001224	632	187	292	1741	636	858	362	328	469	1018	1007	1191	729.2	386	1072	2.776	1.473	1.55280336901374e-17	3.5378036757363e-15	0.0187	0.0175
FBgn0041087	1577	518	624	3169	1331	1578	903	910	1003	1853	2107	2190	1494.29	939	2050	2.183	1.127	4.89430464601836e-16	9.55787778729586e-14	0.0126	0.0173
FBgn0003748	1510	449	496	3127	1141	1242	865	788	797	1828	1806	1724	1301.46	817	1786	2.182	1.126	6.40176382799101e-16	1.22109923063214e-13	0.0126	0.0169
FBgn0010395	1151	428	409	3186	923	1046	659	752	658	1863	1461	1452	1140.64	690	1592	2.317	1.212	2.16463171610348e-14	3.48123712460406e-12	0.0164	0.0166
FBgn0283437	7097	2315	2578	17634	7581	7047	4065	4065	4144	10310	11998	9781	7394.1	4091	10696	2.614	1.386	3.44956776913946e-14	5.23951015601516e-12	0.023	0.0286
FBgn0033065	16	5	8	109	50	46	9	9	13	64	79	64	39.59	10	69	6.762	2.757	5.87114024748516e-14	8.4482618087497e-12	0.0436	0.0623
FBgn0260011	48	19	35	264	133	149	27	33	56	154	210	207	114.8	39	190	5.019	2.327	1.01617814690893e-13	1.41265985778763e-11	0.049	0.0492
FBgn0001225	428	158	210	1100	440	601	245	277	338	643	696	834	505.65	287	724	2.541	1.345	1.05377183639923e-13	1.44050610035774e-11	0.02	0.0201
FBgn0034718	644	214	246	1373	554	657	369	376	395	803	877	912	621.94	380	864	2.273	1.184	1.24169816895818e-13	1.66957514455655e-11	0.0157	0.0184
FBgn0033113	548	177	233	1221	496	531	314	311	375	714	785	737	539.2	333	745	2.241	1.164	2.19128818104268e-13	2.89886220337291e-11	0.0152	0.0195
FBgn0261284	32	11	14	166	60	92	18	19	23	97	95	128	63.31	20	107	5.357	2.421	2.26470424535986e-13	2.94842924133994e-11	0.0455	0.0592
FBgn0024491	1782	544	599	3852	1157	1357	1021	955	963	2252	1831	1884	1484.3	980	1989	2.031	1.022	4.0351931546522e-13	5.0917929622242e-11	0.0131	0.0173
FBgn0051642	77	43	27	331	156	144	44	76	43	194	247	200	133.89	54	214	4.011	2.004	5.12961432609635e-13	6.37471162161246e-11	0.0397	0.0455
FBgn0038198	46	19	8	198	75	117	26	33	13	116	119	162	78.24	24	132	5.379	2.427	5.574032906283e-13	6.82361461154226e-11	0.053	0.0564
FBgn0038149	1318	442	537	2644	1035	1378	755	776	863	1546	1638	1913	1248.5	798	1699	2.13	1.091	6.07291129592091e-13	7.32500271310931e-11	0.0151	0.0168
FBgn0265276	197	54	46	617	188	196	113	95	74	361	298	272	201.99	94	310	3.257	1.704	6.26486622898252e-13	7.4470192478427e-11	0.0315	0.0353
FBgn0031327	871	347	406	2096	823	902	499	609	653	1226	1303	1252	923.49	587	1260	2.157	1.109	1.75711399640264e-12	1.97422589020472e-10	0.0159	0.0167
FBgn0032598	451	135	163	913	374	393	258	237	262	534	592	545	404.78	252	557	2.198	1.136	8.56651750658652e-12	9.36834354520302e-10	0.0162	0.0227
FBgn0031150	1200	315	321	2871	753	909	687	553	516	1679	1192	1262	981.44	585	1378	2.347	1.231	1.3172506507702e-11	1.40312855033989e-09	0.0218	0.0166
FBgn0040271	1596	520	560	3239	1144	1146	914	913	900	1894	1811	1591	1337.1	909	1765	1.942	0.958	1.34885904616917e-11	1.41837716624097e-09	0.0132	0.0169
FBgn0050463	33	10	10	204	62	49	19	18	16	119	98	68	56.33	18	95	5.382	2.428	1.60346283345031e-11	1.66475976708347e-09	0.057	0.06
FBgn0034885	135	72	56	437	198	243	77	126	90	256	313	337	199.99	98	302	3.133	1.647	2.07290022537058e-11	2.09900341339376e-09	0.0338	0.0359
FBgn0037153	161	47	39	502	151	159	92	83	63	294	239	221	165.11	79	251	3.137	1.649	3.3012005250536e-11	3.22338651267734e-09	0.0341	0.04
FBgn0034438	73	21	28	272	95	89	42	37	45	159	150	124	92.77	41	144	3.495	1.805	5.87651001840627e-11	5.67048649070215e-09	0.0365	0.0532
FBgn0000116	719	302	276	1377	890	877	412	530	444	805	1409	1217	802.8	462	1144	2.476	1.308	1.23215539741243e-10	1.08668156662116e-08	0.027	0.0171
FBgn0038528	175	65	67	563	154	205	100	114	108	329	244	285	196.59	107	286	2.693	1.429	1.4018915080406e-10	1.19774105718219e-08	0.0275	0.036
FBgn0039479	172	76	75	456	217	242	99	133	121	267	343	336	216.42	118	315	2.708	1.437	1.52451419489589e-10	1.28907890995218e-08	0.0283	0.0341
FBgn0030598	32	8	12	143	55	47	18	14	19	84	87	65	47.93	17	79	4.481	2.164	1.73436955320874e-10	1.4515611301447e-08	0.046	0.0614
FBgn0264302	857	240	242	1549	557	616	491	421	389	906	882	855	657.27	434	881	2.019	1.014	2.95465647338804e-10	2.44788812067967e-08	0.0163	0.018
FBgn0039464	1060	382	439	1852	976	1098	607	671	706	1083	1545	1524	1022.54	661	1384	2.092	1.065	3.29382057550183e-10	2.7015916360266e-08	0.0189	0.0166
FBgn0001258	2009	704	848	3479	1607	1896	1151	1236	1363	2034	2543	2632	1826.56	1250	2403	1.923	0.943	3.42042498125392e-10	2.77765600952918e-08	0.0152	0.0184
FBgn0035968	360	122	156	836	286	366	206	214	251	489	453	508	353.45	224	483	2.171	1.118	4.03537069370744e-10	3.18251061824889e-08	0.0187	0.0246
FBgn0033775	37	11	19	165	63	62	21	19	31	96	100	86	58.88	24	94	4.024	2.009	4.27645783600348e-10	3.34052449246672e-08	0.0444	0.0599
FBgn0263232	916	281	235	2632	642	630	525	493	378	1539	1016	874	804.22	465	1143	2.457	1.297	1.07992295375057e-09	7.90850720237695e-08	0.0299	0.0171
FBgn0020248	30	12	9	110	44	57	17	21	14	64	70	79	44.3	17	71	4.025	2.009	1.51240541558146e-09	1.07867384509558e-07	0.0418	0.0619
FBgn0024984	127	43	55	306	147	173	73	76	88	179	233	240	148.06	79	217	2.753	1.461	2.07226167213196e-09	1.44039747752766e-07	0.0317	0.0431
FBgn0052625	174	41	76	587	155	181	100	72	122	343	245	251	188.93	98	280	2.862	1.517	2.17925622126349e-09	1.50203861569775e-07	0.0372	0.0368
FBgn0033367	20102	6412	6907	37030	21575	20189	11514	11260	11104	21651	34147	28022	19616.18	11293	27940	2.474	1.307	4.34358626223681e-09	2.92017168220216e-07	0.0345	0.0331
FBgn0266525	2352	755	791	3952	1406	1581	1347	1326	1272	2311	2225	2194	1779.16	1315	2243	1.706	0.77	4.51370886891908e-09	3.00987318234751e-07	0.0116	0.0182
FBgn0031689	372	116	136	787	257	318	213	204	219	460	407	441	323.95	212	436	2.061	1.043	5.39567823143284e-09	3.51232959160414e-07	0.0186	0.0259
FBgn0063667	8	1	4	42	20	25	5	2	6	25	32	35	17.28	4	31	6.572	2.716	6.09588895292371e-09	3.93688828282522e-07	0.0509	0.0614
FBgn0051195	1455	442	474	2337	891	1006	833	776	762	1366	1410	1396	1090.75	790	1391	1.756	0.812	6.20574384672413e-09	3.9765242992837e-07	0.0127	0.0166
FBgn0033724	123	47	81	416	156	222	70	83	130	243	247	308	180.24	94	266	2.864	1.518	7.99155890183114e-09	5.04205893175531e-07	0.0396	0.0383
FBgn0039113	597	240	248	1229	434	583	342	421	399	719	687	809	562.79	387	738	1.917	0.939	8.67224837783402e-09	5.42975428969424e-07	0.0165	0.0192
FBgn0035727	78	26	23	202	84	95	45	46	37	118	133	132	85.04	43	128	2.97	1.57	9.76353192944917e-09	6.06670370343501e-07	0.0357	0.055
FBgn0027515	667	206	250	1255	430	475	382	362	402	734	681	659	536.55	382	691	1.812	0.858	2.30655017701012e-08	1.38089960232387e-06	0.0144	0.0196
FBgn0039593	45	7	19	151	48	67	26	12	31	88	76	93	54.31	23	86	3.646	1.866	3.56557536181251e-08	2.03089229983238e-06	0.0523	0.0605
FBgn0033635	2626	1358	1490	7202	2786	3117	1504	2385	2395	4211	4409	4326	3205.14	2095	4315	2.064	1.045	4.1350434599192e-08	2.33900872125912e-06	0.0252	0.0226
FBgn0003137	6420	2268	2192	11300	4907	5052	3677	3983	3524	6607	7766	7012	5428.19	3728	7128	1.912	0.935	5.12488472955482e-08	2.82109426522205e-06	0.0206	0.0267
FBgn0038476	2004	697	757	3516	1232	1350	1148	1224	1217	2056	1950	1874	1578.03	1196	1960	1.641	0.714	5.48842360327835e-08	3.0010700262726e-06	0.0115	0.0176
FBgn0030805	417	162	187	771	382	446	239	284	301	451	605	619	416.4	275	558	2.037	1.026	5.68605179520221e-08	3.08854283604295e-06	0.0219	0.0223
FBgn0250904	30	12	12	100	44	50	17	21	19	58	70	69	42.51	19	66	3.464	1.792	6.27011026187803e-08	3.38338449788971e-06	0.0417	0.0621
FBgn0259224	455	149	156	996	293	330	261	262	251	582	464	458	379.53	258	501	1.953	0.966	6.37751473808894e-08	3.41884809685003e-06	0.0192	0.0235
FBgn0036299	766	321	371	1473	660	838	439	564	596	861	1045	1163	777.97	533	1023	1.926	0.946	7.1106330558832e-08	3.76267176286155e-06	0.02	0.0172
FBgn0032451	704	259	335	1318	570	706	403	455	539	771	902	980	674.88	466	884	1.904	0.929	7.57231097356195e-08	3.93089206361741e-06	0.0192	0.0179
FBgn0063492	955	262	325	1567	536	681	547	460	522	916	848	945	706.55	510	903	1.766	0.821	8.00530530270522e-08	4.12952918822567e-06	0.0148	0.0176
FBgn0037680	665	191	221	1237	389	440	381	335	355	723	616	611	503.54	357	650	1.818	0.862	8.46521724888481e-08	4.33948199220958e-06	0.0159	0.0201
FBgn0038805	1173	354	441	1955	707	843	672	622	709	1143	1119	1170	905.76	668	1144	1.713	0.777	9.72739521894448e-08	4.92494417196189e-06	0.0137	0.0168
FBgn0035266	411	156	212	800	438	512	235	274	341	468	693	711	453.63	283	624	2.206	1.142	9.81090334220847e-08	4.93675025845361e-06	0.0291	0.0213
FBgn0035761	866	268	318	1473	534	626	496	471	511	861	845	869	675.52	493	858	1.742	0.8	1.0596104730876e-07	5.29934457333199e-06	0.0142	0.0179
FBgn0031117	406	140	189	725	354	458	233	246	304	424	560	636	400.35	261	540	2.071	1.051	1.40909580703343e-07	7.00448715714434e-06	0.0247	0.0229
FBgn0003502	1921	637	701	3054	1121	1283	1100	1119	1127	1786	1774	1781	1447.74	1115	1780	1.597	0.675	1.94915784401715e-07	9.24103620614374e-06	0.0111	0.0172
FBgn0261238	1331	517	484	2169	904	1044	762	908	778	1268	1431	1449	1099.39	816	1383	1.696	0.762	2.61683592718663e-07	1.20580271206656e-05	0.0144	0.0166
FBgn0034391	77	30	23	195	76	88	44	53	37	114	120	122	81.7	45	119	2.664	1.414	3.03541169146698e-07	1.37549429245371e-05	0.0366	0.0557
FBgn0032436	13	6	4	62	31	18	7	11	6	36	49	25	22.45	8	37	4.554	2.187	3.34433661563756e-07	1.50715653414611e-05	0.058	0.0622
FBgn0038341	574	221	234	972	452	486	329	388	376	568	715	675	508.55	364	653	1.794	0.844	4.00030895356921e-07	1.79292535722266e-05	0.0171	0.0201
FBgn0063493	343	114	133	673	215	337	196	200	214	393	340	468	302	203	400	1.973	0.98	4.35811395699445e-07	1.93217571217668e-05	0.0223	0.0272
FBgn0036007	2033	669	683	3501	1226	1168	1164	1175	1098	2047	1940	1621	1507.63	1146	1869	1.633	0.707	5.05139990677694e-07	2.20380755507364e-05	0.0133	0.0174
FBgn0035811	1109	486	609	2226	1041	1204	635	853	979	1302	1648	1671	1181.32	822	1540	1.878	0.909	5.22030046919866e-07	2.26137737460032e-05	0.0221	0.0167
FBgn0004507	2873	907	999	4031	1943	2236	1646	1593	1606	2357	3075	3104	2229.98	1615	2845	1.76	0.815	5.30318093981013e-07	2.26545260772514e-05	0.0182	0.0197
FBgn0032089	168	50	55	325	122	160	96	88	88	190	193	222	146.27	91	202	2.201	1.138	5.28591253527959e-07	2.26545260772514e-05	0.0274	0.0432
FBgn0003076	2397	751	910	3500	1401	1772	1373	1319	1463	2046	2217	2460	1812.99	1385	2241	1.617	0.693	6.32164845214816e-07	2.686536818887e-05	0.0131	0.0183
FBgn0051363	11796	3226	3168	23066	6651	7898	6756	5665	5093	13487	10526	10962	8748.27	5838	11658	1.997	0.998	6.54211779203665e-07	2.75171539129665e-05	0.0283	0.0295
FBgn0015568	277	73	127	535	225	257	159	128	204	313	356	357	252.77	164	342	2.083	1.059	6.79863279887948e-07	2.84501970491885e-05	0.0268	0.0307
FBgn0034354	525	164	248	969	374	487	301	288	399	567	592	676	470.3	329	612	1.861	0.896	6.85417997811824e-07	2.85370478073735e-05	0.0203	0.0209
FBgn0004396	4362	1157	932	8252	2274	2578	2498	2032	1498	4825	3599	3578	3005.1	2009	4001	1.989	0.992	9.22146688924537e-07	3.7442807636431e-05	0.0285	0.0221
FBgn0260484	905	310	279	1364	586	617	518	544	449	798	927	856	682.1	504	860	1.704	0.769	9.61092443813929e-07	3.88319222865116e-05	0.0156	0.0178
FBgn0035710	20	3	5	61	22	25	11	5	8	36	35	35	21.66	8	35	3.806	1.928	9.69357514410043e-07	3.89738741823097e-05	0.0465	0.0622
FBgn0030037	1138	374	390	1721	683	765	652	657	627	1006	1081	1062	847.43	645	1050	1.625	0.7	1.02823469522784e-06	4.11394193671156e-05	0.0132	0.0169
FBgn0259740	1061	286	356	2197	546	666	608	502	572	1285	864	924	792.56	561	1024	1.828	0.87	1.08447580387584e-06	4.31789832203382e-05	0.021	0.0171
FBgn0261989	11	6	3	74	17	17	6	11	5	43	27	24	19.24	7	31	4.614	2.206	1.14627719023392e-06	4.54191570739064e-05	0.0653	0.062
FBgn0031049	613	162	244	1400	375	399	351	284	392	819	594	554	498.95	342	656	1.917	0.939	1.16860911675835e-06	4.60814037290961e-05	0.0239	0.0202
FBgn0036560	18	4	5	74	14	32	10	7	8	43	22	44	22.54	8	36	4.149	2.053	1.19158101363479e-06	4.6762428104462e-05	0.0617	0.0623
FBgn0262794	1603	434	561	3792	871	978	918	762	902	2217	1379	1357	1255.88	861	1651	1.92	0.941	1.35583250234476e-06	5.27039724371172e-05	0.0259	0.0168
FBgn0038436	985	354	374	1584	605	733	564	622	601	926	958	1017	781.36	596	967	1.626	0.701	1.53436719645551e-06	5.93626403081513e-05	0.0135	0.0172
FBgn0031516	1471	484	480	2280	824	930	843	850	772	1333	1304	1291	1065.36	822	1309	1.593	0.672	1.57213304292309e-06	6.01751119519868e-05	0.0128	0.0166
FBgn0267488	3534	1301	1246	6095	2184	2440	2024	2285	2003	3564	3457	3387	2786.47	2104	3469	1.65	0.722	1.57737735548368e-06	6.01751119519868e-05	0.0157	0.0214
FBgn0005640	2453	905	845	3755	1418	1740	1405	1589	1358	2196	2244	2415	1867.92	1451	2285	1.576	0.656	1.58597209538352e-06	6.02228848441466e-05	0.0126	0.0185
FBgn0036862	504	167	138	927	284	346	289	293	222	542	449	480	379.25	268	490	1.83	0.872	1.7735911873458e-06	6.70368429429042e-05	0.0203	0.0235
FBgn0037739	575	161	193	970	326	369	329	283	310	567	516	512	419.6	307	532	1.725	0.786	1.85701458989759e-06	6.95490121750686e-05	0.0164	0.0222
FBgn0004108	758	341	394	1436	685	802	434	599	633	840	1084	1113	783.88	555	1012	1.829	0.871	1.93538876659817e-06	7.21548121074465e-05	0.022	0.0172
