Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	14657	4679	4083	697	184	220	8588	7897	6443	410	285	305	3988.14	7643	333	0.043	-4.527	2.31064647256497e-108	2.06872178688742e-104	0.0217	0.0255
FBtr0084549	2490	751	893	81	37	54	1459	1268	1409	48	57	75	719.27	1379	60	0.043	-4.551	1.39150358043775e-67	4.98325262226367e-64	0.0323	0.0343
FBtr0300190	2405	797	746	111	24	47	1409	1345	1177	65	37	65	683.21	1310	56	0.043	-4.54	5.5855454908359e-67	1.66691295931513e-63	0.0325	0.0351
FBtr0100457	3087	886	832	236	55	53	1809	1495	1313	139	85	74	819.11	1539	99	0.064	-3.976	7.3327518710516e-64	1.875717928615e-60	0.0281	0.0324
FBtr0074337	2035	1505	1138	148	85	70	1192	2540	1796	87	132	97	974.04	1843	105	0.059	-4.08	7.70028159455792e-59	1.53201380257949e-55	0.0329	0.0302
FBtr0077645	5327	1953	2038	666	157	166	3121	3296	3216	391	243	230	1749.81	3211	288	0.088	-3.505	1.87059479691262e-56	2.79123920279312e-53	0.0275	0.0257
FBtr0111030	6171	1226	985	666	132	170	3616	2069	1554	391	205	236	1345.25	2413	277	0.117	-3.099	2.28329402406319e-49	3.14497406114427e-46	0.0253	0.0272
FBtr0073421	11202	3237	3837	126	32	151	6564	5463	6055	74	50	209	3069.22	6027	111	0.018	-5.802	6.9419504909181e-42	7.31191561708114e-39	0.0847	0.0249
FBtr0075753	7338	2709	2389	1327	534	573	4300	4572	3770	780	828	795	2507.44	4214	801	0.19	-2.396	9.05784772834754e-40	9.01054563465506e-37	0.0208	0.0248
FBtr0078144	10951	3766	2400	1164	483	449	6417	6356	3787	684	749	623	3102.7	5520	685	0.125	-3.003	2.0412090755324e-39	1.92367840560438e-36	0.0316	0.0249
FBtr0072956	13495	5761	5086	1100	962	905	7907	9723	8026	647	1492	1255	4841.7	8552	1131	0.125	-2.997	9.57942874873407e-38	8.16805957975392e-35	0.0329	0.0263
FBtr0089348	4028	1083	1041	791	192	201	2360	1828	1643	465	298	279	1145.38	1944	347	0.176	-2.503	9.19990827072912e-38	8.16805957975392e-35	0.0229	0.0285
FBtr0070985	1416	399	365	105	37	37	830	673	576	62	57	51	374.92	693	57	0.082	-3.606	1.35697354214632e-37	1.05643340198574e-34	0.0402	0.0476
FBtr0113470	1730	560	550	123	76	61	1014	945	868	72	118	85	516.92	942	92	0.095	-3.391	4.79369745452293e-37	3.4334378648275e-34	0.0382	0.0403
FBtr0085755	767	320	331	46	14	28	449	540	522	27	22	39	266.57	504	29	0.059	-4.091	5.74439093327517e-36	3.95611784812405e-33	0.0504	0.0573
FBtr0072393	1894	668	784	266	128	145	1110	1127	1237	156	198	201	671.73	1158	185	0.159	-2.656	5.70422375252416e-34	3.78295668565547e-31	0.0279	0.0354
FBtr0310637	676	488	516	74	44	34	396	824	814	43	68	47	365.48	678	53	0.083	-3.599	8.19928061534133e-34	5.06263167925179e-31	0.0455	0.0485
FBtr0302694	3011	1194	1189	564	253	314	1764	2015	1876	332	392	435	1135.86	1885	386	0.204	-2.294	3.42962283402947e-33	2.04702754887105e-30	0.0226	0.0286
FBtr0335024	11505	3312	2192	1655	561	471	6741	5590	3459	973	870	653	3047.73	5263	832	0.16	-2.646	1.68494343206217e-32	9.42831159203289e-30	0.031	0.0249
FBtr0071835	712	282	257	51	25	28	417	476	406	30	39	39	234.38	433	36	0.082	-3.609	2.35060512612341e-30	1.2379392761284e-27	0.0489	0.0613
FBtr0089484	1395	442	447	213	51	49	817	746	705	125	79	68	423.51	756	91	0.118	-3.08	4.01520201409991e-30	2.05417735041351e-27	0.04	0.0447
FBtr0085156	1670	905	987	223	29	44	979	1527	1558	131	45	61	716.77	1355	79	0.056	-4.161	1.02603693076674e-28	5.10339368953034e-26	0.0707	0.0344
FBtr0074916	835	373	574	112	42	38	489	630	906	66	65	53	368.05	675	61	0.094	-3.41	8.93420370427538e-28	4.32367166293932e-25	0.0522	0.0483
FBtr0073423	3319	583	819	387	113	51	1945	984	1292	227	175	71	782.44	1407	158	0.111	-3.173	2.26618892586051e-27	1.04047125401175e-24	0.0493	0.033
FBtr0290019	6546	2254	2494	1907	616	815	3836	3804	3936	1121	955	1130	2463.67	3859	1069	0.277	-1.852	5.59968543660354e-26	2.38733255780531e-23	0.0203	0.0248
FBtr0085094	101410	46896	59580	17936	10031	12131	59422	79151	94019	10543	15553	16825	45918.91	77531	14307	0.184	-2.444	3.84960781954381e-25	1.60304831666864e-22	0.0361	0.0456
FBtr0334867	2134	498	661	115	48	111	1250	841	1043	68	74	154	571.67	1045	99	0.092	-3.434	4.67132183016806e-25	1.90101565206794e-22	0.0607	0.0382
FBtr0299968	2277	879	1073	492	294	283	1334	1484	1693	289	456	392	941.43	1504	379	0.249	-2.008	1.04115876262026e-23	3.88395600072466e-21	0.0252	0.0306
FBtr0072087	1737	669	614	434	159	140	1018	1129	969	255	247	194	635.28	1039	232	0.223	-2.162	1.52431003168032e-22	5.50232921134979e-20	0.03	0.0363
FBtr0334282	323	123	139	24	5	10	189	208	219	14	8	14	108.66	205	12	0.061	-4.046	1.80080461870058e-22	6.32258970636324e-20	0.075	0.0871
FBtr0303384	3045	1221	589	552	125	122	1784	2061	929	324	194	169	910.33	1591	229	0.14	-2.84	6.33584091088224e-22	2.14055787453316e-19	0.0522	0.031
FBtr0334328	4054	1306	1560	879	484	482	2375	2204	2462	517	750	668	1496.18	2347	645	0.271	-1.881	8.18415314903056e-22	2.71380456086187e-19	0.0248	0.0265
FBtr0112532	266	48	85	11	1	1	156	81	134	6	2	1	63.4	124	3	0.028	-5.157	1.43778518478539e-21	4.59731812835129e-19	0.0968	0.0979
FBtr0308065	2958	770	925	935	214	264	1733	1300	1460	550	332	366	956.69	1498	416	0.274	-1.868	3.32129407685584e-21	1.04335248666984e-18	0.0247	0.0304
FBtr0344554	450	60	65	15	5	4	264	101	103	9	8	6	81.61	156	8	0.048	-4.383	7.28734970542928e-21	2.24978075561063e-18	0.0799	0.0936
FBtr0085735	202	73	73	7	6	4	118	123	115	4	9	6	62.62	119	6	0.05	-4.316	1.35837591767083e-20	4.0538465303023e-18	0.0782	0.0982
FBtr0076459	537	186	188	51	25	31	315	314	297	30	39	43	172.83	309	37	0.119	-3.075	1.97405518863644e-20	5.79466101765969e-18	0.0568	0.0714
FBtr0332260	1986	872	973	561	304	315	1164	1472	1535	330	471	437	901.48	1390	413	0.296	-1.759	5.19454654826167e-20	1.50021855634151e-17	0.0235	0.0311
FBtr0073269	6532	1621	1471	2434	291	365	3827	2736	2321	1431	451	506	1878.81	2961	796	0.239	-2.066	1.197451118003e-19	3.40342217761297e-17	0.033	0.0254
FBtr0344981	3763	509	490	273	116	118	2205	859	773	160	180	164	723.55	1279	168	0.147	-2.769	1.85002358420053e-19	5.17601910917104e-17	0.0542	0.0341
FBtr0071934	2632	870	1155	680	347	348	1542	1468	1823	400	538	483	1042.27	1611	474	0.292	-1.778	2.50382798294907e-19	6.89746828656708e-17	0.0252	0.0295
FBtr0112878	1457	182	199	153	38	41	854	307	314	90	59	57	280.11	492	69	0.15	-2.732	5.14155724131276e-19	1.34324652551419e-16	0.0508	0.0554
FBtr0333020	3063	1107	1433	1020	403	351	1795	1868	2261	600	625	487	1272.62	1975	571	0.29	-1.787	5.17614264830107e-19	1.34324652551419e-16	0.0262	0.0276
FBtr0344980	3769	1765	1589	1402	539	520	2208	2979	2507	824	836	721	1679.33	2565	794	0.311	-1.683	9.56875814995001e-19	2.44768833475721e-16	0.0239	0.0259
FBtr0333662	1167	526	369	279	70	85	684	888	582	164	109	118	424.05	718	130	0.181	-2.47	1.78018485039179e-18	4.48957604663596e-16	0.0471	0.0447
FBtr0083967	853	252	289	129	52	65	500	425	456	76	81	90	271.3	460	82	0.178	-2.492	1.83714466301387e-18	4.56887671332311e-16	0.046	0.0567
FBtr0337056	1895	422	300	302	94	91	1110	712	473	178	146	126	457.59	765	150	0.202	-2.309	7.12341151568892e-18	1.72367306216116e-15	0.0429	0.0428
FBtr0307289	1257	577	579	209	185	130	737	974	914	123	287	180	535.68	875	197	0.216	-2.208	8.96349584492147e-18	2.14000475465552e-15	0.0406	0.0396
FBtr0100375	843	511	549	253	96	101	494	862	866	149	149	140	443.4	741	146	0.205	-2.285	9.23493789455989e-18	2.1757999728946e-15	0.0425	0.0437
FBtr0088774	6303	3419	3042	2675	1023	1022	3693	5771	4800	1572	1586	1417	3140.05	4755	1525	0.325	-1.619	2.23438038065497e-17	5.19595001246856e-15	0.0244	0.0249
FBtr0080838	2191	714	503	467	182	189	1284	1205	794	275	282	262	683.58	1094	273	0.251	-1.997	2.63010995311979e-17	6.03778831032858e-15	0.0349	0.0351
FBtr0290077	1482	795	772	228	237	282	868	1342	1218	134	367	391	720.17	1143	297	0.239	-2.066	3.84268517654714e-17	8.70976212294343e-15	0.0375	0.0343
FBtr0330730	2611	1793	1706	979	495	381	1530	3026	2692	575	768	528	1519.95	2416	624	0.269	-1.896	6.92894905149758e-17	1.55087202145145e-14	0.0334	0.0264
FBtr0081958	118	26	37	3	3	1	69	44	58	2	5	1	29.87	57	3	0.042	-4.579	1.71371474515789e-16	3.74216783253624e-14	0.0826	0.0894
FBtr0077409	1633	576	600	160	144	194	957	972	947	94	223	269	577.04	959	195	0.187	-2.419	2.85965450287036e-16	6.16927391908395e-14	0.0523	0.0381
FBtr0308254	6184	1033	736	1052	322	287	3624	1744	1161	618	499	398	1340.7	2176	505	0.252	-1.986	5.2268027097417e-16	1.11418011095994e-13	0.0382	0.0272
FBtr0302692	3397	574	578	566	190	228	1990	969	912	333	295	316	802.49	1290	315	0.259	-1.952	6.03750727875313e-16	1.25706517829481e-13	0.0363	0.0326
FBtr0089963	1929	493	465	457	165	170	1130	832	734	269	256	236	576.07	899	254	0.285	-1.812	6.76368255497028e-16	1.39207471068158e-13	0.0314	0.0381
FBtr0087307	1934	837	913	707	302	247	1133	1413	1441	416	468	343	868.85	1329	409	0.31	-1.689	1.0432743551367e-15	2.09897422506491e-13	0.0286	0.0316
FBtr0112851	2172	620	628	735	213	187	1273	1046	991	432	330	259	721.97	1103	340	0.306	-1.709	1.0671126765708e-15	2.1230799540752e-13	0.0289	0.0342
FBtr0075077	914	253	196	203	28	49	536	427	309	119	43	68	250.43	424	77	0.176	-2.51	2.19708335826686e-15	4.18521006522621e-13	0.0572	0.059
FBtr0071240	288	93	117	41	10	15	169	157	185	24	16	21	95.13	170	20	0.121	-3.052	2.67726162020241e-15	5.04621542856256e-13	0.0728	0.0907
FBtr0302938	672	245	279	175	49	55	394	414	440	103	76	76	250.44	416	85	0.205	-2.285	2.9253300317549e-15	5.4563499529795e-13	0.0486	0.0592
FBtr0080565	3579	732	977	1258	301	371	2097	1235	1542	739	467	515	1099.18	1625	574	0.353	-1.502	3.52811108167442e-15	6.5128203122126e-13	0.0238	0.0289
FBtr0077234	5787	2197	2095	2058	925	1043	3391	3708	3306	1210	1434	1447	2415.92	3468	1364	0.392	-1.352	4.27997271583416e-15	7.82012157650271e-13	0.0201	0.0248
FBtr0073339	2093	490	684	675	197	192	1226	827	1079	397	305	266	683.55	1044	323	0.308	-1.699	4.515636849786e-15	8.09618500608184e-13	0.0299	0.0351
FBtr0310647	2609	1056	804	951	206	150	1529	1782	1269	559	319	208	944.38	1527	362	0.223	-2.163	4.52149279910747e-15	8.09618500608184e-13	0.0475	0.0306
FBtr0082139	749	168	148	94	30	41	439	284	234	55	47	57	185.77	319	53	0.169	-2.564	4.99612696368364e-15	8.77065190310974e-13	0.0587	0.0686
FBtr0273370	3630	1917	1451	958	712	629	2127	3236	2290	563	1104	872	1698.62	2551	846	0.323	-1.629	5.97958418859943e-15	1.03951878136953e-12	0.0289	0.0258
FBtr0078191	6756	1661	1732	1965	769	825	3959	2803	2733	1155	1192	1144	2164.49	3165	1164	0.373	-1.425	1.39389139308685e-14	2.3326186247302e-12	0.0229	0.025
FBtr0078083	3964	778	909	1152	286	424	2323	1313	1434	677	443	588	1129.82	1690	569	0.344	-1.538	1.90061767278158e-14	3.15115370822471e-12	0.0264	0.0287
FBtr0087295	2017	574	676	724	218	235	1182	969	1067	426	338	326	717.82	1073	363	0.338	-1.566	2.10315728631581e-14	3.45496645585055e-12	0.0269	0.0343
FBtr0336616	936	502	401	267	133	125	548	847	633	157	206	173	427.51	676	179	0.266	-1.908	2.93494131758927e-14	4.77755083934122e-12	0.0391	0.0445
FBtr0072864	3477	897	1003	1324	385	448	2037	1514	1583	778	597	621	1188.44	1711	665	0.389	-1.36	3.93119642052546e-14	6.12104374834163e-12	0.0213	0.0282
