Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0112994	60	23	60	8888	4998	5277	35	39	95	5224	7750	7319	3410.22	56	6764	123.672	6.95	1.16750146196709e-136	2.09052811779828e-132	0.0306	0.0251
FBtr0337020	105	24	35	2749	1051	969	62	41	55	1616	1630	1344	791.11	53	1530	28.901	4.853	1.21188607810879e-81	7.23334403820535e-78	0.0288	0.0328
FBtr0342806	149	79	82	2611	2445	2072	87	133	129	1535	3791	2874	1424.92	116	2733	22.272	4.477	4.61585254542081e-80	2.06628639195762e-76	0.0278	0.0268
FBtr0073426	549	268	262	4784	2222	2631	322	452	413	2812	3445	3649	1848.96	396	3302	8.378	3.067	7.97453472213621e-62	1.78490023418214e-58	0.0199	0.0255
FBtr0340240	529	102	102	5508	1146	1066	310	172	161	3238	1777	1478	1189.35	214	2164	10.012	3.324	3.90667117423913e-58	6.99528540459259e-55	0.0235	0.0282
FBtr0342810	333	94	91	4643	1451	1093	195	159	144	2729	2250	1516	1165.38	166	2165	12.985	3.699	1.72919568445121e-57	2.81481617507122e-54	0.0288	0.0284
FBtr0301964	145	145	135	1290	1126	1369	85	245	213	758	1746	1899	824.26	181	1468	8.269	3.048	2.27572780135472e-46	2.91065585793269e-43	0.0255	0.0323
FBtr0087258	963	265	242	5327	2285	2110	564	447	382	3131	3543	2926	1832.33	464	3200	6.933	2.794	2.42674167882099e-43	2.8968824333979e-40	0.0246	0.0255
FBtr0301487	818	500	372	4779	3392	3782	479	844	587	2809	5259	5245	2537.34	637	4438	6.804	2.766	1.32601137478542e-42	1.48397247980674e-39	0.025	0.0248
FBtr0089349	1500	393	451	6426	2612	2788	879	663	712	3777	4050	3867	2324.64	751	3898	5.208	2.381	1.33388469166761e-37	1.05643340198574e-34	0.0217	0.0249
FBtr0347567	196	93	159	3728	1160	1341	115	157	251	2191	1799	1860	1062.09	174	1950	11.568	3.532	3.25338580917509e-37	2.42729692912871e-34	0.0424	0.0293
FBtr0342814	677	213	248	2927	1632	1739	397	360	391	1721	2530	2412	1301.73	383	2221	5.698	2.51	6.07756636201455e-34	3.8866036885083e-31	0.0261	0.0275
FBtr0080263	221	50	45	1679	1225	1528	129	84	71	987	1899	2119	881.74	95	1668	16.792	4.07	4.82821850362394e-33	2.78884130728678e-30	0.0592	0.0314
FBtr0305073	191	92	67	1608	583	696	112	155	106	945	904	965	531.23	124	938	7.598	2.926	2.18298543104322e-32	1.18450112509878e-29	0.0343	0.0396
FBtr0472696	181	98	77	1067	587	912	106	165	122	627	910	1265	532.53	131	934	6.952	2.797	1.93205267311742e-27	9.10403556969485e-25	0.0383	0.0397
FBtr0089581	538	391	333	4770	1933	1811	315	660	525	2804	2997	2512	1635.56	500	2771	5.775	2.53	8.20559321842842e-27	3.67323380422948e-24	0.0342	0.026
FBtr0081619	132	39	60	945	389	516	77	66	95	555	603	716	352.02	79	625	7.805	2.964	4.55616625491213e-26	1.98982226732821e-23	0.0435	0.0493
FBtr0346714	149	13	13	1173	454	515	87	22	21	690	704	714	372.91	43	703	18.763	4.23	9.14288614249184e-25	3.63805598372131e-22	0.0817	0.0477
FBtr0088136	74	21	49	1084	309	399	43	35	77	637	479	553	304.3	52	556	10.807	3.434	2.21529641285843e-24	8.6232820801398e-22	0.0597	0.0532
FBtr0075699	733	89	205	3655	1245	1463	430	150	323	2148	1930	2029	1168.52	301	2036	6.99	2.805	2.39893753713682e-24	9.13944160424935e-22	0.0456	0.0283
FBtr0081614	153	41	33	875	333	479	90	69	52	514	516	664	317.65	70	565	7.995	2.999	1.53644845620177e-22	5.50232921134979e-20	0.0517	0.052
FBtr0332202	609	176	176	3059	697	748	357	297	278	1798	1081	1037	807.98	311	1305	4.114	2.04	2.72063637424089e-22	9.36840671483797e-20	0.0272	0.0325
