Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0342811	14657	4679	4083	697	184	220	8588	7897	6443	410	285	305	3988.14	7643	333	0.044	-4.514	3.702398193525e-36	3.31475710266294e-32	0.0688	0.0866
FBtr0084549	2490	751	893	81	37	54	1459	1268	1409	48	57	75	719.27	1379	60	0.043	-4.535	1.41419361412062e-31	6.33063771361093e-28	0.0762	0.0944
FBtr0300190	2405	797	746	111	24	47	1409	1345	1177	65	37	65	683.21	1310	56	0.043	-4.533	1.6654856247545e-30	5.96443711937083e-27	0.0793	0.0956
FBtr0073421	11202	3237	3837	126	32	151	6564	5463	6055	74	50	209	3069.22	6027	111	0.018	-5.767	1.8764254951389e-28	5.59987915265951e-25	0.1279	0.0855
FBtr0074337	2035	1505	1138	148	85	70	1192	2540	1796	87	132	97	974.04	1843	105	0.057	-4.135	2.07907246246046e-24	4.65348393910213e-21	0.0888	0.0891
FBtr0100457	3087	886	832	236	55	53	1809	1495	1313	139	85	74	819.11	1539	99	0.065	-3.937	7.95955117099038e-24	1.42523723267754e-20	0.0842	0.0918
FBtr0077645	5327	1953	2038	666	157	166	3121	3296	3216	391	243	230	1749.81	3211	288	0.09	-3.47	3.43377589134317e-23	5.58956282821735e-20	0.0715	0.0851
FBtr0085755	767	320	331	46	14	28	449	540	522	27	22	39	266.57	504	29	0.058	-4.106	8.00603830358657e-20	9.55707479093474e-17	0.1036	0.1309
FBtr0085156	1670	905	987	223	29	44	979	1527	1558	131	45	61	716.77	1355	79	0.06	-4.069	1.00461283301772e-18	1.12428733675095e-15	0.1159	0.0945
FBtr0078144	10951	3766	2400	1164	483	449	6417	6356	3787	684	749	623	3102.7	5520	685	0.124	-3.01	1.30296895559586e-18	1.37240953640585e-15	0.0717	0.0856
FBtr0070985	1416	399	365	105	37	37	830	673	576	62	57	51	374.92	693	57	0.082	-3.602	2.09691061018743e-18	2.03733631362471e-15	0.0935	0.1158
FBtr0113470	1730	560	550	123	76	61	1014	945	868	72	118	85	516.92	942	92	0.096	-3.374	2.16181112246563e-18	2.03733631362471e-15	0.0848	0.1036
FBtr0071835	712	282	257	51	25	28	417	476	406	30	39	39	234.38	433	36	0.082	-3.604	1.22854989234375e-16	1.04754354153844e-13	0.1013	0.1368
FBtr0074916	835	373	574	112	42	38	489	630	906	66	65	53	368.05	675	61	0.091	-3.455	8.01379005378444e-16	6.52249657741201e-13	0.1036	0.1167
FBtr0334867	2134	498	661	115	48	111	1250	841	1043	68	74	154	571.67	1045	99	0.094	-3.413	1.25873533383701e-15	9.79952821203714e-13	0.1048	0.1004
