Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0112994	60	23	60	8888	4998	5277	35	39	95	5224	7750	7319	3410.22	56	6764	122.249	6.934	3.97635225101462e-46	7.12005634066677e-42	0.0981	0.0859
FBtr0337020	105	24	35	2749	1051	969	62	41	55	1616	1630	1344	791.11	53	1530	28.738	4.845	1.06055900459054e-35	6.33012317873273e-32	0.074	0.0924
FBtr0342806	149	79	82	2611	2445	2072	87	133	129	1535	3791	2874	1424.92	116	2733	23.559	4.558	3.24332675811596e-26	8.29642984726063e-23	0.0966	0.0858
FBtr0342810	333	94	91	4643	1451	1093	195	159	144	2729	2250	1516	1165.38	166	2165	12.997	3.7	4.34033652660137e-24	8.63534064948046e-21	0.0756	0.0871
FBtr0080263	221	50	45	1679	1225	1528	129	84	71	987	1899	2119	881.74	95	1668	17.33	4.115	7.08980471331126e-22	1.05791702663793e-18	0.0994	0.0905
FBtr0073426	549	268	262	4784	2222	2631	322	452	413	2812	3445	3649	1848.96	396	3302	8.359	3.063	1.69276461582291e-20	2.33158793930192e-17	0.0659	0.085
FBtr0347567	196	93	159	3728	1160	1341	115	157	251	2191	1799	1860	1062.09	174	1950	11.267	3.494	3.57535088594904e-20	4.57287378312882e-17	0.083	0.0881
FBtr0087258	963	265	242	5327	2285	2110	564	447	382	3131	3543	2926	1832.33	464	3200	6.872	2.781	1.23658607706051e-17	1.10711551479228e-14	0.0657	0.085
FBtr0340240	529	102	102	5508	1146	1066	310	172	161	3238	1777	1478	1189.35	214	2164	10.031	3.326	1.8124398809172e-15	1.29814194030813e-12	0.1036	0.087
FBtr0305073	191	92	67	1608	583	696	112	155	106	945	904	965	531.23	124	938	7.569	2.92	1.98371604444327e-15	1.3661699804539e-12	0.0805	0.1027
FBtr0342814	677	213	248	2927	1632	1739	397	360	391	1721	2530	2412	1301.73	383	2221	5.799	2.536	5.00264070776844e-15	3.31767720419636e-12	0.0662	0.0863
FBtr0088136	74	21	49	1084	309	399	43	35	77	637	479	553	304.3	52	556	10.752	3.427	1.41415580771331e-14	7.91308559153579e-12	0.1105	0.1247
FBtr0089349	1500	393	451	6426	2612	2788	879	663	712	3777	4050	3867	2324.64	751	3898	5.181	2.373	4.74274582252896e-14	2.3589890749501e-11	0.0639	0.085
FBtr0081619	132	39	60	945	389	516	77	66	95	555	603	716	352.02	79	625	7.868	2.976	1.15326226138232e-13	5.29495232110558e-11	0.0941	0.1184
FBtr0301487	818	500	372	4779	3392	3782	479	844	587	2809	5259	5245	2537.34	637	4438	6.978	2.803	1.37722260256831e-13	6.16513698039704e-11	0.0895	0.0851
FBtr0346714	149	13	13	1173	454	515	87	22	21	690	704	714	372.91	43	703	15.541	3.958	4.82205807044805e-13	2.05580409070102e-10	0.1644	0.116
FBtr0081614	153	41	33	875	333	479	90	69	52	514	516	664	317.65	70	565	7.93	2.987	5.20117634521038e-13	2.16586659621714e-10	0.1002	0.1229
FBtr0075699	733	89	205	3655	1245	1463	430	150	323	2148	1930	2029	1168.52	301	2036	6.725	2.749	1.81815525243815e-12	7.23464176670167e-10	0.0948	0.0871
FBtr0089581	538	391	333	4770	1933	1811	315	660	525	2804	2997	2512	1635.56	500	2771	5.557	2.474	2.06931394913943e-12	8.05502947245449e-10	0.0789	0.0852
FBtr0472696	181	98	77	1067	587	912	106	165	122	627	910	1265	532.53	131	934	7.155	2.839	2.67001472727357e-12	9.96026743886678e-10	0.0996	0.1027
FBtr0113386	19	6	5	229	84	70	11	10	8	135	130	97	65.18	10	121	12.038	3.59	1.26763948716147e-11	4.28270804851193e-09	0.1319	0.1773
FBtr0072635	123	48	34	665	381	334	72	81	54	391	591	463	275.27	69	482	6.961	2.799	2.30825591373215e-11	7.65400562801628e-09	0.1036	0.1294
FBtr0301964	145	145	135	1290	1126	1369	85	245	213	758	1746	1899	824.26	181	1468	8.162	3.029	1.75352800908441e-10	5.41356422942507e-08	0.1363	0.0917
FBtr0078841	28	10	12	309	92	104	16	17	19	182	143	144	86.79	17	156	8.987	3.168	2.32810001334e-10	6.94782647314433e-08	0.1293	0.1728
