"","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0073120","2589.59547259337","2223.48627620762","2709.44542029744","1138.91430081487","1355.48542345387","1238.44885533872","1.20787825626179e-9","-1.43846635462144","7.71955171126598e-14","0.368959315161159","8.91797683665708"
"FBtr0337020","1108.07826865572","1194.41573714939","840.260336560133","44.9331087640699","140.369696579603","140.37662145727","3.00985373534604e-7","-4.70927572877567","1.92359796468719e-11","0.0382266946774518","6.52145460855085"
"FBtr0300272","142.222715122778","131.532563840907","154.516622665924","22.6909816284445","34.9707473994261","17.5055740254464","1.09394097501579e-7","-3.64710020082639","6.99137837934297e-12","0.0798203159233263","6.96100611028457"
"FBtr0087859","996.088908636673","945.884266531874","1085.50567473687","629.609532169086","614.944772280488","604.978153416816","0.0000824216645803694","-1.00626269852828","5.26756979487246e-9","0.49783421828592","4.08395861875138"
"FBtr0332167","81.3801038310649","107.886641109279","86.5453379684651","15.9233389309799","3.86734491979546","3.87393313281212","0.00299197014209463","-5.28703090083093","1.91216855761145e-7","0.0256120954018379","2.52404274476087"
"FBtr0075699","1454.72715306283","1527.21679821465","1549.88011249114","417.304228044633","320.332491895732","397.412581549805","7.0768538905852e-37","-2.86060714168642","4.52281836172123e-41","0.137680186161283","36.1501597707884"
"FBtr0302977","35.2922358752144","35.6826683734225","37.5044659397651","3.24795145646254","2.78770613365099","2.79447648410469","5.77197080818096e-9","-5.55379672235706","3.68886739194795e-13","0.0212882811269668","8.2386758740231"
"FBtr0080839","1043.36833241344","914.216328353544","1032.9826361096","439.757583480153","405.455340573363","548.549556434125","0.00000140596125448052","-1.5694997444488","8.98550044405012e-11","0.336925203021858","5.85202664745074"
"FBtr0340135","2065.86415392455","2036.36968818999","2241.44866172462","935.448299094513","1054.69334562551","823.182684318379","1.75488141340618e-13","-1.6717249129815","1.12154496926323e-17","0.313877841020858","12.7557522257756"
"FBtr0073359","5719.71968118171","6786.08329475304","6119.7150070063","3542.58507161351","3173.59507508554","2768.48815166415","6.07785576035103e-7","-1.38321752277569","3.8843585098428e-11","0.38336285891097","6.21624961080871"
"FBtr0077920","728.421234055963","772.866690795286","806.801343691645","445.579713321315","412.026078586723","403.1011457126","0.00000156664387969087","-1.23648188374812","1.00124233379617e-10","0.424406340884205","5.80502971359021"
"FBtr0072635","288.889051087115","397.991525879973","314.361623170441","108.01917562611","61.72623622385","47.6485938717014","0.000225066270720918","-3.1612568351135","1.43839886700913e-8","0.111780711242285","3.64768958512993"
"FBtr0075199","1351.47418797286","1193.27995606228","1228.68726588795","555.126624596491","737.691063065255","606.57460633439","0.00000247793116390552","-1.40905243606909","1.58364617109064e-10","0.376558930031448","5.60591076234705"
"FBtr0078841","111.246736848403","107.456761421641","110.229743757961","17.0369136411647","20.3934606685825","22.2526041978829","3.56896798105946e-10","-3.53927236545594","2.28092796130853e-14","0.0860147349007697","9.44745734829303"
"FBtr0075942","1117.70256482029","1118.70880173538","1111.34733102275","604.839416361516","720.555322295118","528.384760134807","0.00066745613715554","-1.21020177064255","4.26571315367508e-8","0.432208164196724","3.17557726931503"
"FBtr0087617","729.296351960715","958.99539836981","815.549615169221","188.547132427169","43.4490122097801","84.185616459517","0.00257208136967023","-4.28524921274579","1.64381758143429e-7","0.0512874903272996","2.58971529630777"
"FBtr0077008","1304.41410516859","1501.86979545078","1341.86477852897","805.678419469704","608.531701906199","852.982424830558","0.00959606520208361","-1.23686396733912","6.13284668120637e-7","0.424293955922032","2.01790680980707"
"FBtr0306254","1122.10992862944","1217.35869281661","1278.3022851601","722.428613044487","573.415743792111","652.920696882101","0.0000132901741275037","-1.26733472251429","8.49375223845065e-10","0.415426535687138","4.87646932890538"
"FBtr0302291","7508.48424085572","8739.51555536943","7287.64238927157","3684.49723539301","3278.14896926347","3405.8121268684","3.22222905007376e-16","-1.68505971316904","2.05932705954736e-20","0.310990041175834","15.4918435912764"
"FBtr0305917","1090.32655399868","1054.27190911994","1034.48421115799","582.369874761888","593.623780107781","699.135651645095","0.0000907670916185889","-1.07856583758317","5.80092615955703e-9","0.473499288323856","4.04207158010196"
"FBtr0310643","89.3907261872447","87.2102009246031","100.771751921743","24.2862351665776","18.4654437820116","18.4721465209955","0.00000181151949467338","-3.14459792112746","1.1577423753265e-10","0.113078932884067","5.74195698794271"
"FBtr0081614","404.342938777795","429.819497832902","534.008765135101","159.81939638674","116.347288425372","77.5016636900014","0.0000481199082976065","-2.79930607362721","3.07534404662916e-9","0.143656375486174","4.31767520896896"
"FBtr0301838","2000.68500782202","2311.70189452761","2053.07927523168","1282.03514970443","991.152972630109","1232.94910948227","0.000251207613484098","-1.2198866134797","1.60546822703456e-8","0.429316458396169","3.5999672023392"
"FBtr0301837","2537.36167216269","2802.90356442069","2668.25445471512","1459.40492363549","1705.99913996932","1151.27317413601","0.00576981293905751","-1.2657832840373","3.68748829747396e-7","0.41587351537595","2.23883826671463"
"FBtr0087258","2238.7318696757","2766.69299341522","2629.46251046954","756.850256544566","525.045701915053","327.624917673985","2.43297018337224e-7","-3.21798525406234","1.55491160182287e-11","0.107470659243666","6.61386321341865"
"FBtr0076427","1248.07265984151","1255.66841906181","1148.18217688058","718.81642926555","759.381525434553","750.976914350311","0.00000143056214159572","-1.00804844169282","9.14272474976493e-11","0.497218388843691","5.84449327231104"
