"","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0072393","242.229479496367","168.959883049669","161.82363249574","709.119498313014","792.026574191087","836.602035262451","5.71611470143941e-16","2.95267577873474","3.65316974591897e-20","7.74183617313332","15.2428990650976"
"FBtr0087390","281.468650861389","217.026174080831","210.859681469546","516.271030813562","566.455465858674","650.960154553121","0.00000297439812646489","1.88176133066525","1.90093827983951e-10","3.6852470329773","5.5266009011286"
"FBtr0079708","263.250817223462","209.593401268338","224.622982094273","452.017171042532","470.485083220269","544.781106670963","0.0000860857141498616","1.57055304455209","5.50173925671768e-9","2.97018551774528","4.06506891336228"
"FBtr0336736","236.373841308314","215.971111385985","184.621819696486","537.228237645612","644.930665507002","524.03888720789","1.58747951359551e-9","2.07556236413879","1.01455839048732e-13","4.21508686920137","8.79929187056502"
"FBtr0344277","253.369365455385","108.447415000252","150.610415697536","614.867041908471","757.655539953745","777.867626453552","0.0000702093157710896","3.0080620767157","4.48707840295837e-9","8.04483079113708","4.15360525938646"
"FBtr0088550","3262.55049444192","3163.224306261","3317.825388924","5188.04229906803","4841.15268977229","5706.04594588541","0.00000156706588522998","1.01879835739603","1.00151203759825e-10","2.02623057832556","5.80491274380563"
"FBtr0082183","367.143349616939","345.234112578188","562.48793485611","1171.28368478855","1126.61544992887","1151.79833011658","0.00000155161665298459","2.093076071954","9.91638430999292e-11","4.26656808952252","5.80921556790898"
"FBtr0087308","39.9521023320462","44.9566882305552","44.0171769586875","158.274709355565","144.891404312376","147.700407610797","7.65916353457619e-8","2.6451928381288","4.89497254079133e-12","6.25579327103878","7.11581865754152"
"FBtr0087307","530.237754779214","521.832771455118","320.30411702259","921.450261533371","1085.91670299121","1060.40278295435","0.00985359507556411","1.69507101146639","6.29743406120285e-7","3.23792823762092","2.00640528862711"
"FBtr0071835","62.2988401920482","38.596388355614","37.6945014906374","272.690066819911","335.372448093747","277.995261954468","1.93237548529747e-14","3.89646414165978","1.23498145669935e-18","14.8919847793999","13.7139084807423"
"FBtr0306917","10287.547241907","8573.6611200319","8908.87530012294","17065.1065760281","18349.7103908056","20906.2056238004","6.53360684402355e-10","1.49235374537463","4.17562909441015e-14","2.81347617288817","9.18484700249117"
"FBtr0070393","110.822404193607","98.8672763013223","103.382784267845","261.529433652991","276.981466111647","278.796493371998","8.09232031102436e-9","2.02438576251883","5.17180310029038e-13","4.06818634091682","8.0919269352738"
"FBtr0082790","551.831400737269","479.830620960045","567.698948088585","941.049127411929","885.119206359697","1107.49983907999","0.000111091448699647","1.28589513079426","7.09985611936136e-9","2.43833293979081","3.95431936973139"
