"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0076772",1446.60958754783,1480.66424512125,1509.49830028673,573.774058177632,555.630000697826,577.094510417566,0.000618945254373444,-1.38256045189948,1.97253879485765e-07,0.383537500074852,3.20834776257111
"FBtr0112994",4075.28900802053,4834.45795696217,4174.8297231752,482.288419785358,321.944458888091,345.66073945837,0.000931268439810702,-3.5303013180708,6.46957263695036e-07,0.0865512629651704,3.03092511480338
"FBtr0332202",1753.43636614397,1730.41484068388,1826.61149033387,419.640645668909,506.485830961015,388.371692897191,0.0010852503148842,-2.02706613783312,8.9185499042257e-07,0.245353517902261,2.96447007947917
"FBtr0089349",3141.04080396177,3610.48182394694,3420.08057303184,1132.63197966087,951.792185310897,972.419149223403,0.00133134135031102,-1.74087964449178,1.39598780622757e-06,0.299187199183795,2.87571057897315
"FBtr0347567",1654.11103076509,1652.12001112258,1653.7304677225,290.367460984174,321.944458888091,418.170032505672,0.00133134135031102,-2.28714200830971,1.61041208051752e-06,0.204880983936673,2.87571057897315
"FBtr0077247",1026.68960530247,961.341578157709,1006.66149737708,431.573555024423,459.347545703257,456.907873996696,0.00133134135031102,-1.15582456216505,1.86618959192133e-06,0.448809599165866,2.87571057897315
"FBtr0300889",643.156132057294,681.858768837633,654.972102807657,221.753232189969,236.694368528316,197.662319402918,0.00133134135031102,-1.59999841921843,2.01986171107304e-06,0.32987733914434,2.87571057897315
"FBtr0085155",1572.48724030522,1743.29879997877,1758.4469728471,713.985743104922,623.830072985646,716.153428590473,0.00208208019519135,-1.31007129670577,4.04537371182859e-06,0.403300948344409,2.68150254684358
"FBtr0075699",1661.97838406243,1708.61121726174,1749.55594882709,463.394646639127,379.112166541116,542.329780874339,0.00208208019519135,-1.90478363502207,4.47504435403666e-06,0.267056400198085,2.68150254684358
"FBtr0347200",702.161281787321,632.305079241874,710.294030043297,287.384233645296,286.841480504654,293.017006150055,0.00230031835344315,-1.23903966945619,5.7363554384679e-06,0.423654568179954,2.6382120554711
