Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.764	0	0
FBgn0267873	257	75.885	0	0
FBgn0267896	719	537.603	0.000253	0.001
FBgn0260225	1197	1015.28	0.02986	0.268
FBgn0040928	1085	903.284	3.6353	29
FBgn0262789	532	350.673	0.645795	2
FBgn0058461	391	209.8	0.643102	1.192
FBgn0042701	620	438.646	0.301755	1.169
FBgn0263493	352	170.82	0.000212	0
FBgn0265917	359	177.818	0	0
FBgn0262163	610	428.652	0.264157	1
FBgn0085831	237	55.975	0	0
FBgn0267108	321	139.832	0.000537	0.001
FBgn0051032	770	588.58	13.4666	70
FBgn0266102	391	209.8	2.28343	4.231
FBgn0053867	526	344.677	0.016131	0.049
FBgn0267026	323	141.831	0.000128	0
FBgn0267519	2689	2507.28	1852.98	41030.6
FBgn0058005	1227	1045.28	0.100386	0.927
FBgn0039979	803	621.554	7.77568	42.683
FBgn0053318	523	341.68	0.331396	1
FBgn0053805	440	258.745	0.003961	0.009
FBgn0267419	780	598.573	0	0
FBgn0267892	760	578.583	0.00026	0.001
FBgn0267902	582	400.662	0	0
FBgn0262964	777	595.574	0.190121	1
FBgn0085790	1041	859.284	0.486036	3.688
FBgn0267879	601	419.658	0	0
FBgn0085291	1130	948.284	0.081191	0.68
FBgn0263093	1194.61	1012.9	29.7633	266.244
FBgn0267952	1290	1108.28	0	0
FBgn0030117	636	454.624	0.067867	0.272
FBgn0058182	291	109.852	0	0
FBgn0052518	75	25.677	0	0
FBgn0027934	1345	1163.28	0	0
FBgn0085340	423	241.764	0	0
FBgn0263744	845	663.535	0	0
FBgn0263210	221	41.375	0	0
FBtr0346869	123	49.982	2.67306	1.18
FBgn0267427	697	515.609	0	0
FBgn0263975	1131	949.284	2.50489	21
FBgn0267869	420	238.767	0.000321	0.001
FBgn0037560	964.075	782.528	46.1591	319
FBgn0263212	220	40.561	0	0
FBgn0085732	1474.53	1292.81	80.6206	920.48
FBgn0267593	610	428.652	0	0
FBgn0058100	394	212.798	5.17117	9.718
FBgn0264888	465	283.724	0	0
FBgn0037143	1446	1264.28	0.089562	1
FBgn0262510	501	319.695	1.7172	4.848
FBgn0263771	276	94.867	0	0
FBgn0053315	421	239.766	0	0
FBgn0050029	480	298.724	0	0
FBgn0085791	1041	859.284	0.036008	0.273
FBgn0085804	252	70.892	0	0
FBgn0267876	766	584.581	0.00026	0.001
FBgn0267494	656	474.614	0	0
FBgn0085792	1211	1029.28	1.42807	12.981
FBgn0053013	2636	2454.28	0	0
FBgn0266211	1668	1486.28	1.75224	23
FBgn0265141	1303	1121.28	0	0
FBgn0051292	440.621	259.366	0.018734	0.043
FBgn0053294	1989.74	1808.03	2.69296	43
FBgn0000280	166	13.232	0	0
FBgn0262885	102	39.387	0	0
FBgn0011812	456	274.729	0	0
FBgn0265533	384.5	203.293	0	0
FBgn0052496	778	596.574	1.73515	9.142
FBgn0052009	2998.19	2816.47	0.817112	20.324
FBtr0347033	1076	894.284	0	0
FBgn0262688	493	311.699	0	0
FBgn0053222	541.068	359.738	3.18073	10.106
FBgn0266940	581	399.662	0	0
FBgn0262565	802	620.554	0.182468	1
FBgn0263002	361	179.817	0	0
FBgn0084049	531	349.673	15.9573	49.278
FBgn0263211	352	170.82	0.00093	0.001
FBgn0267872	775	593.576	0.000261	0.001
FBgn0262031	330	148.828	39.8909	52.431
FBgn0267014	274	92.869	7.50124	6.152
FBgn0039987	184	16.578	0	0
FBgn0261640	810	628.551	0.619297	3.438
FBgn0052761	71	23.789	0	0
FBgn0267863	274	92.869	0	0
FBgn0052034	74	25.177	0	0
FBgn0262795	735	553.592	0	0
FBgn0261856	450	268.735	0.007019	0.017
FBgn0051485	73	24.688	0	0
FBgn0267610	864	682.503	0	0
FBgn0262851	1188	1006.28	9.18403	81.618
FBgn0053416	143	54.774	0	0
FBgn0267520	357	175.818	1.60306	2.489
FBgn0085765	30	11.086	0	0
FBgn0267424	659	477.614	0	0
FBgn0030116	1305	1123.28	0	0
FBgn0031135	363	181.816	0	0
FBgn0263213	224	43.887	0	0
FBgn0267878	266	84.877	0	0
FBgn0058441	177	13.592	0	0
FBgn0267864	485	303.707	0.00015	0
FBgn0085500	687	505.612	0	0
FBgn0085784	479	297.713	0.003545	0.009
FBgn0262848	1188	1006.28	9.24353	82.147
FBgn0063924	307	125.838	1.52371	1.693
FBgn0262616	554	372.668	0	0
FBgn0267891	718	536.603	0.00051	0.002
FBgn0053491	369	187.814	0.002315	0.004
FBgn0050374	600	418.659	1.62277	6
FBtr0347034	740	558.588	0	0
FBgn0267898	414	232.774	0.000301	0.001
FBgn0260469	919.053	737.54	0.556859	3.627
FBgn0267874	253	71.89	0	0
FBgn0030243	4715.1	4533.38	34.6934	1389
FBgn0032269	1866.98	1685.26	0.06719	1
FBgn0266369	2930	2748.28	20.6004	500
FBgn0032596	776.497	595.072	186.857	982
FBgn0033770	673	491.616	0	0
FBgn0259237	2786	2604.28	0	0
FBgn0013685	525	343.678	1.97681	6
FBgn0031021	768	586.581	59.2621	307
FBgn0033491	3329	3147.28	6.02873	167.57
FBgn0051141	961	779.452	0	0
FBgn0284082	778	596.574	0	0
FBgn0036396	1352	1170.28	8.46849	87.525
FBgn0036641	882.806	701.298	39.0733	242
FBgn0027594	4471.82	4290.1	133.103	5043
FBgn0261954	7820.41	7638.69	48.1149	3245.88
FBgn0029987	639	457.623	0.989735	4
FBgn0031660	1138.35	956.637	151.506	1280
FBgn0038619	938.054	756.534	20.2056	135
FBgn0001341	3680	3498.28	8.22139	254
FBgn0037541	7050.11	6868.39	27.7837	1685.3
FBgn0016701	1149	967.364	61.8031	528
FBgn0039110	1769.52	1587.8	67.1771	942
FBgn0038839	2837.5	2655.78	0	0
FBgn0264307	3337.68	3155.96	9.39235	261.782
FBgn0263355	3558.1	3376.38	38.9588	1161.69
FBgn0032482	2176.61	1994.89	155.581	2741
FBgn0050082	843	661.536	0	0
FBgn0033698	5896	5714.28	20.1127	1015
FBgn0032240	530	348.674	141.857	436.822
FBgn0029925	1070	888.284	25.2394	198
FBgn0039017	1757	1575.28	7.97867	111
FBgn0259711	908	726.49	12.6247	81
FBgn0051140	5736.29	5554.57	7.6037	373.001
FBgn0036813	1221	1039.28	49.0281	450
FBgn0004379	2915.55	2733.83	24.8511	600
FBgn0036158	782	600.569	0	0
FBgn0031816	1999.28	1817.57	12.6465	203
FBgn0034923	1674.67	1492.96	30.983	408.512
FBgn0039582	1151	969.284	0	0
FBgn0051635	6335.7	6153.98	9.86223	536
FBgn0263117	5200.04	5018.33	0.052921	2.345
FBgn0030259	717	535.603	0.211409	1
FBgn0029858	2037.75	1856.03	12.5718	206.071
FBgn0260745	2912.76	2731.04	180.355	4350
FBgn0015791	1154.69	972.975	136.277	1171
FBgn0051453	1564.84	1383.12	67.8672	829
FBgn0025574	2069.47	1887.75	21.2937	355
FBgn0039637	3177.63	2995.91	77.8961	2061
FBgn0023095	4718.25	4536.53	1.49759	60
FBgn0014022	1444	1262.28	16.4157	183
FBgn0035134	1243	1061.28	1.17362	11
FBgn0044826	3595.89	3414.17	70.1773	2116
FBgn0030937	1405	1223.28	0	0
FBgn0085213	715	533.603	0.212201	1
FBgn0039875	2415.73	2234.02	69.8947	1379
FBgn0037736	4032.31	3850.59	0.23525	8
FBgn0024732	2153	1971.28	21.0232	366
FBgn0053700	1116	934.284	0	0
FBgn0260747	999.567	817.985	230.62	1666
FBgn0038011	1767	1585.28	0	0
FBgn0066365	2783.6	2601.88	0.04352	1
FBgn0039863	5863.4	5681.68	36.6099	1837
FBgn0037721	843.324	661.86	1.36864	8
FBgn0036459	2408	2226.28	0	0
FBgn0038291	1731	1549.28	14.9096	204
FBgn0001114	3262.38	3080.67	1023.67	27850.9
FBgn0262894	324	142.831	0	0
FBgn0015772	4933.21	4751.49	13.2975	558
FBgn0030873	1712.46	1530.75	96.4584	1304
FBgn0086675	7201.91	7020.2	0.126197	7.823
FBgn0038223	4231.16	4049.45	10.9281	390.817
FBgn0027081	2317.86	2136.14	233.074	4397
FBgn0043458	3245.12	3063.41	58.5673	1584.51
FBgn0262010	471	289.72	0	0
FBgn0259963	337	155.825	0	0
FBgn0010238	2156	1974.28	115.222	2009
FBgn0034184	3038	2856.28	34.965	882
FBgn0000018	1794	1612.28	21.4203	305
FBgn0032809	910	728.49	1.24346	8
FBgn0036605	513	331.686	0.588333	1.723
FBgn0052280	1130.99	949.277	41.7486	350
FBgn0000055	1194.27	1012.55	0.178471	1.596
FBgn0033657	3918	3736.28	0.121223	4
FBgn0035421	1684	1502.28	21.632	287
FBgn0030666	1632.47	1450.75	0.709706	9.093
FBgn0011202	4117.09	3935.37	37.0881	1289
FBgn0050091	1681	1499.28	0.075524	1
FBgn0033260	3382.63	3200.91	33.9951	961
FBgn0283427	8586.5	8404.78	838.109	62210
FBgn0033740	2221.35	2039.63	18.7643	338
FBgn0011725	2758.8	2577.08	27.6325	628.899
FBgn0034377	761	579.582	0.586102	3
FBgn0284248	680.993	499.606	810.244	3575
FBgn0040674	712.5	531.084	0	0
