Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.688	0.000000	0.000
FBtr0300738	2350	2168.284	0.160130	3.066
FBtr0300739	2172	1990.284	0.266936	4.692
FBtr0300737	2184	2002.284	0.248409	4.393
FBtr0300736	2338	2156.284	0.168713	3.213
FBtr0078628	2467	2285.284	0.146427	2.955
FBtr0300740	2479	2297.284	0.139771	2.836
FBtr0078627	2301	2119.284	0.215676	4.037
FBtr0300741	2313	2131.284	0.203187	3.824
FBtr0072762	889	707.493	71.320273	445.624
FBtr0346821	1270	1088.284	4.047178	38.898
FBtr0331460	900	718.490	2.477877	15.723
FBtr0303848	5005	4823.284	8.304540	353.746
FBtr0086122	1465	1283.284	0.617649	7.000
FBtr0335147	3125	2943.284	2.213735	57.543
FBtr0081459	3019	2837.284	18.905417	473.721
FBtr0305321	6523	6341.284	1.273082	71.296
FBtr0083716	5665	5483.284	18.021575	872.704
FBtr0078184	1305	1123.284	0.604823	6.000
FBtr0081691	765	583.581	0.000000	0.000
FBtr0085263	1228	1046.284	0.000000	0.000
FBtr0086342	492	310.700	0.000000	0.000
FBtr0086343	495	313.698	0.000000	0.000
FBtr0091847	1023	841.284	1.424490	10.584
FBtr0072393	1393	1211.284	13.586050	145.336
FBtr0343502	867	685.501	0.770430	4.664
FBtr0343753	3569	3387.284	4.056660	121.354
FBtr0433525	3725	3543.284	0.164719	5.154
FBtr0113895	961	779.452	24.710226	170.098
FBtr0345179	887	705.494	46.529105	289.902
FBtr0334135	4703	4521.284	0.280143	11.186
FBtr0334137	4561	4379.284	0.444953	17.209
FBtr0334141	5321	5139.284	0.200374	9.094
FBtr0334139	4203	4021.284	0.500837	17.787
FBtr0334140	5704	5522.284	0.165395	8.066
FBtr0344148	4894	4712.284	0.263102	10.949
FBtr0334142	5071	4889.284	0.216241	9.337
FBtr0334138	5563	5381.284	0.176720	8.399
FBtr0334136	3862	3680.284	1.014469	32.973
FBtr0085105	995	813.421	9.465865	68.000
FBtr0346720	2745	2563.284	0.000000	0.000
FBtr0076089	442	260.744	0.000000	0.000
