ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBtr0072393,246.8138219,225.9649358,226.2333902,909.9063641,961.8401586,1035.976394,6.58E-47,2.958450558,4.16E-51,7.772887083,46.18205369
FBtr0087390,334.3294799,312.1883982,310.2064826,726.9306581,722.1323402,825.4040106,1.54E-15,1.794534448,9.75E-20,3.469035123,14.81161289
FBtr0343633,51.13274399,36.66974836,35.56507444,179.9924065,183.5419698,171.8350106,1.36E-08,3.041537425,8.61E-13,8.23368026,7.86599096
FBtr0079708,277.2968039,247.76857,273.6534894,550.9159844,559.6525636,623.7710213,1.48E-09,1.605942445,9.33E-14,3.043945325,8.830843472
FBtr0078384,15.733152,29.7322284,40.50466811,182.975706,163.4827381,135.0841702,0.000115812,3.57482759,7.32E-09,11.91599559,3.936248255
FBtr0333671,2.949965999,3.96429712,3.951674937,23.86639644,19.05627009,22.84511702,0.026513686,3.683581858,1.68E-06,12.84897934,1.576529896
FBtr0088550,3653.041229,3505.429728,3807.438802,5769.701338,5547.380519,6585.353298,1.83E-07,1.013125538,1.16E-11,2.018278883,6.736739794
FBtr0082183,587.0432339,515.3586256,694.5068702,1345.468099,1392.110678,1380.639681,3.14E-13,1.719079323,1.99E-17,3.292262393,12.50270861
FBtr0087307,524.1106259,499.5014371,332.9286135,1061.060208,1270.752326,1248.535308,7.68E-07,2.010777877,4.86E-11,4.029994521,6.114465204
FBtr0071835,63.91592999,56.49123396,54.33553039,336.1184165,399.1787103,340.6902234,1.60E-26,3.771467336,1.01E-30,13.65604049,25.79707154
FBtr0306917,12571.77177,11798.7393,12013.09181,21756.20922,23201.51031,26349.35932,3.73E-16,1.392971064,2.36E-20,2.626189577,15.42864904
FBtr0070393,118.981962,121.9021364,122.5019231,302.3076882,315.9328988,316.8518404,2.04E-09,1.958831946,1.29E-13,3.887471089,8.689743109
FBtr0082790,646.0425539,607.5285336,726.1202697,1204.258587,1100.248857,1371.700287,3.92E-06,1.281355869,2.48E-10,2.430673083,5.406874509
FBtr0080391,6878.337388,5603.533979,7845.062669,11894.41532,13454.72964,13071.38,7.64E-06,1.317908649,4.83E-10,2.493044525,5.116626132
FBtr0336467,9.833219998,5.94644568,5.927512406,36.79402784,34.10069384,53.6363617,0.006900448,3.598150454,4.36E-07,12.11019721,2.161122724
FBtr0086975,3032.565047,3044.580188,2963.756203,4654.941738,4701.883904,5363.63617,4.27E-09,1.007335966,2.70E-13,2.010195709,8.369327155
FBtr0073378,1563.48198,1443.004152,1638.95718,2617.348142,2411.119647,2863.585755,1.46E-07,1.096026191,9.24E-12,2.13765079,6.835220245
FBtr0080617,839.7569878,784.9308298,837.7550867,1260.941278,1289.808596,1632.929234,0.001388661,1.095782876,8.78E-08,2.137290299,2.85740367
FBtr0089963,231.0806699,289.3936898,275.6293269,805.4908797,794.3455742,699.259234,5.29E-18,2.20036458,3.34E-22,4.595954704,17.2767255
FBtr0087008,693.2420098,592.6624194,728.0961072,1142.603729,1234.645709,1235.622851,2.97E-07,1.208771426,1.88E-11,2.311407176,6.527204093
FBtr0339643,2165.275044,1309.209124,1569.802869,4095.075855,4923.538414,4594.848319,2.57E-07,2.057001809,1.62E-11,4.161206285,6.590299521
FBtr0300190,79.64908198,100.0985023,129.4173542,1009.349683,1084.201472,906.8518191,4.64E-47,4.722133353,2.93E-51,26.39391312,46.33354949
FBtr0071935,10765.40925,11400.32744,11631.75518,21654.77703,19580.819,23614.89814,1.36E-15,1.34973086,8.61E-20,2.548645751,14.86583676
FBtr0305668,308.7631079,381.5635978,291.4360266,720.964059,725.1412249,673.4343191,6.48E-08,1.594384603,4.10E-12,3.019656829,7.188317822
FBtr0333119,29.49965999,50.54478828,42.48050558,149.1649777,170.5034692,122.1717128,0.002279487,2.65919818,1.44E-07,6.316818761,2.642162884
FBtr0074916,169.131384,53.51801112,56.31136786,502.1887583,643.9013366,780.7070425,0.003261741,4.006989886,2.06E-07,16.07770841,2.486550462
FBtr0345114,364.8124619,441.0280546,344.7836383,704.0586949,729.1530712,618.8046915,0.005127885,1.196678305,3.24E-07,2.292113214,2.290061686
FBtr0075389,1225.219212,1102.074599,1158.828675,1888.428618,1924.683279,2293.451096,6.63E-07,1.159156153,4.19E-11,2.233267633,6.178242353
FBtr0080838,309.7464299,420.2154947,397.1433312,1083.932171,1280.781942,870.1009787,3.94E-09,2.187556039,2.49E-13,4.55533148,8.404389433
FBtr0085755,75.71579398,42.61619404,54.33553039,374.9013107,447.3208663,428.0976276,3.40E-20,4.107494637,2.15E-24,17.23769106,19.46806654
FBtr0073187,10.816542,3.96429712,3.951674937,32.8162951,42.12438651,41.71717021,0.016585009,3.761098613,1.05E-06,13.55824568,1.7802843
FBtr0071105,2546.803979,3019.803331,2240.599689,4612.181111,4689.848365,4375.336542,3.07E-05,1.159616229,1.94E-09,2.233979936,4.512433107
FBtr0304933,513.2940839,599.5999394,495.9352046,999.4053507,1272.75825,877.0538404,0.002885127,1.390145506,1.82E-07,2.621051147,2.53983509
FBtr0085249,258.6136859,272.545427,276.6172456,499.2054588,549.6229478,442.0033511,0.000830461,1.26788616,5.25E-08,2.408084737,3.080680715
FBtr0301414,377.5956479,370.6617807,376.3970378,647.3760033,666.9694531,706.2120957,1.71E-07,1.211924036,1.08E-11,2.316463637,6.76713863
FBtr0088370,16.716474,18.83041132,23.71004962,92.48228619,90.26654252,97.34006383,3.07E-06,3.216374393,1.94E-10,9.294481547,5.51335775
FBtr0112851,320.5629719,386.5189692,286.496433,900.9564654,804.37519,842.2895319,1.21E-12,1.952385154,7.65E-17,3.870138384,11.91711401
FBtr0333662,47.19945599,92.16990804,70.14223014,525.0607216,497.4689454,448.9562128,1.21E-18,4.048714072,7.63E-23,16.54948103,17.91811117
FBtr0081008,155.364876,154.6075877,160.042835,384.8456425,311.9210525,363.5353404,9.99E-06,1.685695711,6.31E-10,3.216954902,5.000448465
FBtr0087004,235.9972799,198.214856,245.9917649,438.5450345,536.5844472,489.680117,1.52E-05,1.588303161,9.61E-10,3.006954758,4.818313803
FBtr0100457,73.74914998,152.6254391,161.0307537,1200.280854,1150.396936,1030.016798,1.19E-18,4.502985076,7.50E-23,22.67428378,17.92598925
FBtr0089484,29.49965999,69.3751996,70.14223014,505.1720579,428.2645962,462.8619362,7.06E-13,4.38711143,4.46E-17,20.92435766,12.15125912
FBtr0308034,158.314842,160.5540334,167.9461848,356.0070802,435.2853273,344.6632872,3.71E-06,1.75530016,2.34E-10,3.375965498,5.43082896
FBtr0310647,481.8277799,449.9477231,322.0615074,1357.401297,1680.963614,1303.164936,7.18E-14,2.575795917,4.54E-18,5.961998105,13.14378039
FBtr0087621,5808.483053,6135.740867,5136.1895,14539.6076,17796.55034,12319.47767,9.26E-13,1.992385117,5.85E-17,3.978942683,12.03360503
FBtr0112532,3.933287999,14.8661142,13.83086228,108.3932171,77.22804193,117.205383,0.000105046,4.613256939,6.64E-09,24.47533904,3.978622099
FBtr0087431,370.7123939,416.2511976,313.1702388,626.4929064,702.0731085,675.420851,0.001786472,1.240226837,1.13E-07,2.362356731,2.748003843
FBtr0303756,128.815182,131.8128792,115.5864919,287.3911904,318.9417836,253.2828191,0.000298625,1.711069994,1.89E-08,3.274035567,3.524874527
FBtr0085715,439.5449339,379.5814492,424.8050558,689.1421971,691.0405311,782.6935744,0.000184815,1.143615393,1.17E-08,2.209339904,3.733262778
FBtr0070457,766.0078378,737.3592643,719.2048386,1440.933685,1619.782957,1395.53867,2.93E-15,1.44006467,1.85E-19,2.71333028,14.53282297
FBtr0306255,610.6429619,556.9837454,587.8116469,1217.186218,1353.998138,1252.508372,2.74E-20,1.612477924,1.73E-24,3.057765825,19.56193517
FBtr0075753,1402.217172,1454.897043,1306.028567,4115.958952,4782.12083,4016.767532,3.78E-43,2.348579796,2.39E-47,5.093226215,42.42227936
FBtr0333020,231.0806699,103.0717251,97.8039547,782.6189165,764.2567267,1114.444404,5.13E-06,3.771782178,3.24E-10,13.659021,5.289884391
FBtr0332148,854.5068178,857.2792522,1036.326752,1486.677611,1514.471991,1489.898936,2.34E-05,1.015587653,1.48E-09,2.021726235,4.631548208
FBtr0100361,202.564332,223.9827873,241.0521712,429.5951358,422.2468267,368.5016702,0.009611189,1.248402541,6.08E-07,2.37578213,2.017222865
FBtr0082208,476.9111699,395.4386377,404.0587623,757.7580868,969.8638513,777.7272447,0.000119708,1.394894874,7.57E-09,2.629693893,3.921876179
FBtr0089877,272.3801939,267.5900556,316.133995,621.5207405,616.8213739,594.9663085,5.27E-10,1.577670073,3.33E-14,2.984874083,9.278003048
FBtr0075927,465.1113059,555.9926711,530.5123603,1048.132577,1133.346589,969.4275744,1.61E-10,1.46743953,1.02E-14,2.765306761,9.792565427
FBtr0111030,276.3134819,536.1711855,577.9324596,2423.433671,2272.710948,1815.69017,7.65E-09,3.208986405,4.83E-13,9.247006512,8.116438217
FBtr0111029,234.0306359,243.8042729,285.5085142,589.6988786,539.5933319,430.0841596,0.002939246,1.479900297,1.86E-07,2.78929456,2.531764072
