ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBtr0087533,2250.131059,2160.70571,2173.117547,4372.18,4484.109369,4680.678162,0.002722995,1.036061909,1.01E-06,2.05062247,2.564953164
FBtr0089348,307.4591612,324.7990252,339.1170694,1291.984681,1382.033708,1173.656636,0.002722995,1.978871523,9.88E-07,3.941846297,2.564953164
FBtr0086255,348.584272,358.4672169,325.2755564,875.6341311,873.0212934,901.6632049,0.002722995,1.356763037,1.04E-06,2.561099027,2.564953164
FBtr0300190,87.14606799,70.30710607,94.91323225,868.6450331,942.0229764,846.8659935,0.002722995,3.395091392,4.38E-07,10.5202085,2.564953164
FBtr0084549,141.0003797,100.014334,111.7207838,927.5531445,946.0230739,1036.165451,0.002722995,3.048747736,9.33E-07,8.274933602,2.564953164
FBtr0075927,399.5010757,398.0768541,370.7548135,870.6419182,924.0225373,906.6447695,0.002794054,1.205334839,1.74E-06,2.305907815,2.553765237
FBtr0302694,417.1261232,479.2766104,389.539724,1342.905252,1435.035001,1298.195752,0.002891712,1.66416682,2.32E-06,3.169305693,2.538845002
FBtr0083967,83.22939078,83.18023817,86.01511673,330.4844896,322.0078539,349.7058397,0.002794054,1.978966739,1.66E-06,3.942106461,2.553765237
FBtr0072956,1500.087373,1122.933215,1227.939942,5935.741059,7148.174347,5834.408539,0.002959392,2.297204923,3.78E-06,4.915046014,2.528797438
FBtr0070985,145.8962262,140.6142121,132.4830533,574.1044759,653.0159274,544.9831746,0.002891712,2.070275716,3.22E-06,4.199669264,2.538845002
FBtr0308065,394.6052292,338.6623983,349.9925439,970.4861749,984.0240008,1087.973723,0.003072597,1.486557507,4.32E-06,2.802195297,2.51249437
FBtr0100457,73.43769774,106.9460205,102.8226683,871.6403608,931.0227081,773.1388364,0.002891712,3.190471597,2.81E-06,9.129093414,2.538845002
FBtr0077645,308.4383305,233.6968596,167.0868359,1937.977022,2122.051758,2117.164984,0.003072597,3.159735887,4.25E-06,8.936660928,2.51249437
