target_id	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	0	0	0	8.70952	0	0
FBtr0300739	0	0	23.9691	0	5.60903	38.9643
FBtr0300737	0	24	0.0309357	24.855	0	0.0357235
FBtr0300736	0	0	0	0	2.55039	0
FBtr0078628	0	0	0	0	5.27215	0
FBtr0300740	0	0	0	9.06903	0	0
FBtr0078627	38.957	0	0	0	11.5684	0
FBtr0300741	0.0430278	0	0	24.3664	0	0
FBtr0072762	238.339	350.459	338.141	294.33	271.577	352.237
FBtr0346821	525.661	42.2031	21.2198	595.91	20.7194	33.3073
FBtr0331460	0	0	0	18.7602	8.93185	0
FBtr0303848	325.572	175.226	117.232	341.853	138.119	120.379
FBtr0086122	12	6	5	23	4	9
FBtr0335147	303.642	0	0	193.226	0	0
FBtr0081459	722.358	439.761	426.405	1056.77	462.011	478.827
FBtr0305321	96.8202	40.0777	52.4953	141.288	25.8667	0
FBtr0083716	1616.18	770.922	665.505	1600.71	757.133	637
FBtr0078184	7	5	5	10	1	3
FBtr0081691	0	0	0	0	0	0
FBtr0085263	1	0.5	0	1.5	0	1
FBtr0086342	0	0	0	0.999998	0	0
FBtr0086343	0	0	0	2.19577e-6	0	0
FBtr0091847	25.2535	3.35964	5.91432	12.9551	5.21979	4.31719
FBtr0072393	186.137	115.143	102.691	1239	626.609	683.551
FBtr0343502	10.8631	0	0	0	0	0
FBtr0343753	198.758	71.9122	63.0796	161.63	71.9979	97.6931
FBtr0433525	0	0	0	0	0	0
FBtr0113895	1626.97	149.02	65	1528	63.4958	128.152
FBtr0345179	350.027	308.98	337	1.90912e-8	311.504	286.848
FBtr0334135	17.0961	0	0	0	0	0
FBtr0334137	21.2059	8.37574	17.6605	41.339	18.5319	20.2536
FBtr0334141	0	0	0	0	0	0
FBtr0334139	0	0	0	0	0	0
FBtr0334140	0	0	0	0	0	0
FBtr0344148	0	0	0	0	0	0
FBtr0334142	0	0	0	0	0	0
FBtr0334138	0	0	0	0	0	0
FBtr0334136	137.698	84.6243	69.3395	176.661	89.4681	107.604
FBtr0085105	119	57	47	53	17	24
FBtr0346720	0	0	0	0	0	0
FBtr0076089	0	0	0	0	0	0
FBtr0087500	255	112	101	273	100	81
FBtr0073094	674.567	74.1343	41.4532	563.745	120.924	71.0758
FBtr0073093	876.433	705.866	779.547	1131.26	753.076	833.924
FBtr0343515	19.2487	0	0	45.3797	0	0
FBtr0072451	169.751	50	56	155.62	69	54
FBtr0071607	78	39	50	94	37	45
FBtr0081516	26	3	5	18	5	3
FBtr0300749	0	6.15287	16.7975	46.4579	23.0966	16.5391
FBtr0346532	80.8197	3.31697	3.88852	54.9574	0	0
FBtr0073076	750.18	340.53	320.314	708.585	335.903	326.461
FBtr0089289	119.153	106.916	12.6071	139.599	13.8793	14.2061
FBtr0100448	213.367	21.2478	16.162	23.195	64.7975	57.5909
FBtr0089290	404.709	0.00610529	0	272.614	0.381215	0.520428
FBtr0089288	1044.83	303.103	327.383	1272.94	408.154	261.97
FBtr0100447	7.60957	62.4971	71.1055	0	32.5003	41.3774
FBtr0329933	196.277	0.821067	0	1.09613	70.1359	56.0128
FBtr0336949	59.3853	359.409	424.108	192.756	375.152	376.323
FBtr0088786	421.998	634.587	670.59	901.127	635.114	625.625
FBtr0088785	1816.51	206.413	140.23	1764.72	157.662	184.805
FBtr0303077	1	0	0	0	0	0
FBtr0339716	143.257	0	0	83.8669	0	0
FBtr0085459	389.743	209	194	409.133	167	211
FBtr0070973	12	5	7	7	2	1
FBtr0089252	122.296	69.3056	54.9853	128.798	92.8703	55.0087
FBtr0334488	5.68707e-6	20.2632	23.0338	64.7733	0	0
