Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.653	0.000000	0.000
FBtr0300738	2350	2172.143	0.182712	2.669
FBtr0300739	2172	1994.143	0.305393	4.096
FBtr0300737	2184	2006.143	0.215931	2.913
FBtr0300736	2338	2160.143	0.245655	3.569
FBtr0078628	2467	2289.143	0.256857	3.954
FBtr0300740	2479	2301.143	0.193588	2.996
FBtr0078627	2301	2123.143	0.317106	4.528
FBtr0300741	2313	2135.143	0.228065	3.275
FBtr0072762	889	711.430	61.066165	292.176
FBtr0346821	1270	1092.143	4.215432	30.962
FBtr0331460	900	722.429	2.117526	10.288
FBtr0303848	5005	4827.143	7.686556	249.536
FBtr0086122	1465	1287.143	0.462085	4.000
FBtr0335147	3125	2947.143	2.862599	56.738
FBtr0081459	3019	2841.143	21.773826	416.044
FBtr0305321	6523	6345.143	1.220550	52.085
FBtr0083716	5665	5487.143	21.188574	781.915
FBtr0078184	1305	1127.143	0.131920	1.000
FBtr0081691	765	587.518	0.000000	0.000
FBtr0085263	1228	1050.143	0.000000	0.000
FBtr0086342	492	314.668	0.000000	0.000
FBtr0086343	495	317.665	0.000000	0.000
FBtr0091847	1023	845.143	1.962222	11.153
FBtr0072393	1393	1215.143	81.762594	668.180
FBtr0343502	867	689.437	0.592201	2.746
FBtr0343753	3569	3391.143	3.166286	72.212
FBtr0433525	3725	3547.143	0.250063	5.965
FBtr0113895	961	783.394	14.494295	76.364
FBtr0345179	887	709.430	66.364962	316.636
FBtr0334135	4703	4525.143	0.327677	9.972
FBtr0334137	4561	4383.143	0.991679	29.233
FBtr0334141	5321	5143.143	0.225516	7.800
FBtr0334139	4203	4025.143	0.523728	14.177
FBtr0334140	5704	5526.143	0.202873	7.540
FBtr0344148	4894	4716.143	0.287194	9.109
FBtr0334142	5071	4893.143	0.257854	8.485
FBtr0334138	5563	5385.143	0.201238	7.288
FBtr0334136	3862	3684.143	1.154237	28.599
FBtr0085105	995	817.360	3.274516	18.000
FBtr0346720	2745	2567.143	0.000000	0.000
FBtr0076089	442	264.709	0.000000	0.000
FBtr0087500	1417	1239.143	12.359591	103.000
FBtr0073094	1694	1516.143	12.956058	132.107
FBtr0073093	1577	1399.143	82.350850	774.893
FBtr0343515	1092	914.143	0.889334	5.468
FBtr0072451	975	797.375	11.847352	63.532
FBtr0071607	2252	2074.143	2.724163	38.000
FBtr0081516	4704	4526.143	0.197111	6.000
FBtr0300749	931	753.423	2.660171	13.479
FBtr0346532	1185	1007.143	0.179945	1.219
FBtr0073076	880	702.432	75.211097	355.302
FBtr0089289	4677	4499.143	1.164430	35.233
FBtr0100448	4590	4412.143	2.707847	80.350
FBtr0089290	4681	4503.143	1.735428	52.557
FBtr0089288	4037	3859.143	12.975340	336.761
FBtr0100447	4417	4239.143	2.116831	60.350
FBtr0329933	4663	4485.143	1.838345	55.452
FBtr0336949	2826	2648.143	21.409680	381.297
FBtr0088786	1378	1200.143	80.389448	648.849
