target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	335.676	0	0
FBtr0300738	2350	2176.68	0	0
FBtr0300739	2172	1998.68	0	0
FBtr0300737	2184	2010.68	24	1.75815
FBtr0300736	2338	2164.68	0	0
FBtr0078628	2467	2293.68	0	0
FBtr0300740	2479	2305.68	0	0
FBtr0078627	2301	2127.68	0	0
FBtr0300741	2313	2139.68	0	0
FBtr0072762	889	715.676	350.459	72.1287
FBtr0346821	1270	1096.68	42.2031	5.66831
FBtr0331460	900	726.676	0	0
FBtr0303848	5005	4831.68	175.226	5.34179
FBtr0086122	1465	1291.68	6	0.684204
FBtr0335147	3125	2951.68	0	0
FBtr0081459	3019	2845.68	439.761	22.7624
FBtr0305321	6523	6349.68	40.0777	0.929691
FBtr0083716	5665	5491.68	770.922	20.6773
FBtr0078184	1305	1131.68	5	0.650782
FBtr0081691	765	591.676	0	0
FBtr0085263	1228	1054.68	0.5	0.0698295
FBtr0086342	492	318.676	0	0
FBtr0086343	495	321.676	0	0
FBtr0091847	1023	849.676	3.35964	0.582407
FBtr0072393	1393	1219.68	115.143	13.9053
FBtr0343502	867	693.676	0	0
FBtr0343753	3569	3395.68	71.9122	3.11935
FBtr0433525	3725	3551.68	0	0
FBtr0113895	961	787.676	149.02	27.8666
FBtr0345179	887	713.676	308.98	63.7702
FBtr0334135	4703	4529.68	0	0
FBtr0334137	4561	4387.68	8.37574	0.281175
FBtr0334141	5321	5147.68	0	0
FBtr0334139	4203	4029.68	0	0
FBtr0334140	5704	5530.68	0	0
FBtr0344148	4894	4720.68	0	0
FBtr0334142	5071	4897.68	0	0
FBtr0334138	5563	5389.68	0	0
FBtr0334136	3862	3688.68	84.6243	3.37919
FBtr0085105	995	821.676	57	10.2179
FBtr0346720	2745	2571.68	0	0
FBtr0076089	442	268.676	0	0
FBtr0087500	1417	1243.68	112	13.2647
FBtr0073094	1694	1520.68	74.1343	7.18076
FBtr0073093	1577	1403.68	705.866	74.0701
FBtr0343515	1092	918.676	0	0
FBtr0072451	975	801.676	50	9.18669
FBtr0071607	2252	2078.68	39	2.76354
FBtr0081516	4704	4530.68	3	0.0975317
FBtr0300749	931	757.676	6.15287	1.19614
FBtr0346532	1185	1011.68	3.31697	0.482934
FBtr0073076	880	706.676	340.53	70.9779
FBtr0089289	4677	4503.68	106.916	3.49673
FBtr0100448	4590	4416.68	21.2478	0.708607
FBtr0089290	4681	4507.68	0.00610529	0.000199499
FBtr0089288	4037	3863.68	303.103	11.5552
FBtr0100447	4417	4243.68	62.4971	2.16923
FBtr0329933	4663	4489.68	0.821067	0.0269371
FBtr0336949	2826	2652.68	359.409	19.9569
FBtr0088786	1378	1204.68	634.587	77.5905
FBtr0088785	1869	1695.68	206.413	17.93
FBtr0303077	607	433.676	0	0
FBtr0339716	615	441.676	0	0
FBtr0085459	600	426.676	209	72.1499
FBtr0070973	1218	1044.68	5	0.704979
FBtr0089252	2767	2593.68	69.3056	3.93586
FBtr0334488	2840	2666.68	20.2632	1.11924
FBtr0334489	2902	2728.68	20.2124	1.09107
FBtr0100600	3804	3630.68	76.2188	3.09216
FBtr0300305	309	135.706	0	0
FBtr0077162	567	393.676	0	0
FBtr0072277	713	539.676	214	58.4075
FBtr0344898	1082	908.676	0	0
FBtr0086817	1175	1001.68	0	0
FBtr0333271	5146	4972.68	0	0
FBtr0072639	5149	4975.68	54	1.59856
FBtr0340000	824	650.676	9.83422	2.22619
FBtr0087390	427	253.689	174.166	101.123
FBtr0070472	3021	2847.68	2.46954	0.127736
FBtr0331752	4499	4325.68	547.403	18.6398
FBtr0070475	3174	3000.68	137.687	6.75868
FBtr0070474	3218	3044.68	40.7296	1.97041
FBtr0302185	2166	1992.68	6.11187	0.451778
FBtr0070471	4805	4631.68	235.171	7.47883
FBtr0112828	2903	2729.68	91.2256	4.92259
FBtr0301966	3182	3008.68	35.7111	1.7483
FBtr0070468	3055	2881.68	264.678	13.5288
FBtr0070476	2745	2571.68	0	0
FBtr0070470	3110	2936.68	0	0
FBtr0331751	4750	4576.68	18.7127	0.602247
FBtr0070469	4244	4070.68	376.563	13.6257
FBtr0070467	2929	2755.68	0	0
FBtr0331753	5004	4830.68	16.7535	0.510841
FBtr0070466	2847	2673.68	84.2406	4.64088
FBtr0070473	3091	2917.68	0	0
FBtr0076265	1575	1401.68	484	50.8611
FBtr0331935	1030	856.676	0	0
FBtr0088237	816	642.676	396	90.7593
FBtr0081705	1363	1189.68	0	0
FBtr0088524	1299	1125.68	669	87.5388
FBtr0074540	843	669.676	119	26.174
FBtr0074494	1357	1183.68	5	0.622193
FBtr0085714	3349	3175.68	2776.34	128.773
FBtr0085713	3440	3266.68	19291.6	869.863
FBtr0076256	334	160.698	2	1.83318
FBtr0339552	1718	1544.68	125.244	11.9428
FBtr0078950	1533	1359.68	289.756	31.3895
FBtr0070990	1321	1147.68	6.84126	0.87802
FBtr0100409	805	631.676	2.61516	0.609807
FBtr0343330	706	532.676	367.619	101.654
FBtr0304902	1617	1443.68	1	0.102028
FBtr0304901	2286	2112.68	0	0
FBtr0078872	1228	1054.68	0	0
FBtr0077839	2112	1938.68	236.338	17.9562
FBtr0077837	2331	2157.68	0	0
FBtr0077838	2235	2061.68	35.1556	2.51167
FBtr0077836	2325	2151.68	289.507	19.8184
FBtr0075133	4018	3844.68	12.6193	0.483462
FBtr0332862	2190	2016.68	30.3807	2.21896
FBtr0087988	1754	1580.68	1976.86	184.213
FBtr0087987	1948	1774.68	5561.87	461.625
FBtr0074688	1633	1459.68	499	50.3537
FBtr0086864	3503	3329.68	285	12.6075
FBtr0083361	1283	1109.68	0	0
FBtr0392904	4164	3990.68	303.734	11.2107
FBtr0084588	2385	2211.68	1175.24	78.2696
FBtr0303161	2639	2465.68	247.259	14.7708
FBtr0079257	1918	1744.68	184	15.5343
FBtr0307341	906	732.676	0	0
FBtr0084989	527	353.676	1	0.416469
FBtr0306309	750	576.676	0	0
FBtr0344570	539	365.676	6	2.41681
FBtr0078090	1219	1045.68	231	32.5389
FBtr0087439	546	372.676	54	21.3427
FBtr0070960	2096	1922.68	2	0.153219
