Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.800	0.000000	0.000
FBtr0300738	2350	2176.439	0.185158	3.099
FBtr0300739	2172	1998.439	0.182320	2.802
FBtr0300737	2184	2010.439	0.228843	3.538
FBtr0300736	2338	2164.439	0.151964	2.529
FBtr0078628	2467	2293.439	0.136247	2.403
FBtr0300740	2479	2305.439	0.163413	2.897
FBtr0078627	2301	2127.439	0.159429	2.608
FBtr0300741	2313	2139.439	0.195441	3.215
FBtr0072762	889	715.620	75.688603	416.474
FBtr0346821	1270	1096.439	5.143950	43.367
FBtr0331460	900	726.618	0.331175	1.850
FBtr0303848	5005	4831.439	9.515987	353.513
FBtr0086122	1465	1291.439	0.604230	6.000
FBtr0335147	3125	2951.439	2.517750	57.138
FBtr0081459	3019	2845.439	19.632607	429.539
FBtr0305321	6523	6349.439	1.436470	70.130
FBtr0083716	5665	5491.439	20.269661	855.870
FBtr0078184	1305	1131.439	0.459784	4.000
FBtr0081691	765	591.679	0.108284	0.493
FBtr0085263	1228	1054.439	0.123340	1.000
FBtr0086342	492	318.808	0.000000	0.000
FBtr0086343	495	321.806	0.000000	0.000
FBtr0091847	1023	849.439	1.021065	6.669
FBtr0072393	1393	1219.439	13.629586	127.796
FBtr0343502	867	693.624	0.883008	4.709
FBtr0343753	3569	3395.439	4.016694	104.867
FBtr0433525	3725	3551.439	0.253476	6.922
FBtr0113895	961	787.596	28.402205	172.001
FBtr0345179	887	713.620	58.683106	321.999
FBtr0334135	4703	4529.439	0.290537	10.119
FBtr0334137	4561	4387.439	0.443017	14.945
FBtr0334141	5321	5147.439	0.206159	8.160
FBtr0334139	4203	4029.439	0.459997	14.252
FBtr0334140	5704	5530.439	0.193870	8.244
FBtr0344148	4894	4720.439	0.264620	9.605
FBtr0334142	5071	4897.439	0.228185	8.593
FBtr0334138	5563	5389.439	0.183401	7.600
FBtr0334136	3862	3688.439	1.251715	35.500
FBtr0085105	995	821.563	11.081082	70.000
FBtr0346720	2745	2571.439	0.000000	0.000
FBtr0076089	442	268.843	0.000000	0.000
FBtr0087500	1417	1243.439	12.864882	123.000
FBtr0073094	1694	1520.439	6.572697	76.840
FBtr0073093	1577	1403.439	72.481508	782.160
FBtr0343515	1092	918.439	0.234659	1.657
FBtr0072451	975	801.580	9.141485	56.343
FBtr0071607	2252	2078.439	2.815791	45.000
FBtr0081516	4704	4530.439	0.114827	4.000
FBtr0300749	931	757.610	0.687304	4.004
FBtr0346532	1185	1011.439	0.580511	4.515
FBtr0073076	880	706.620	67.451441	366.482
FBtr0089289	4677	4503.439	3.386901	117.279
FBtr0100448	4590	4416.439	1.563643	53.099
FBtr0089290	4681	4507.439	1.338030	46.374
FBtr0089288	4037	3863.439	7.612228	226.131
FBtr0100447	4417	4243.439	1.409298	45.983
FBtr0329933	4663	4489.439	1.299058	44.843
FBtr0336949	2826	2652.439	21.588338	440.291
FBtr0088786	1378	1204.439	75.287655	697.242
FBtr0088785	1869	1695.439	19.149481	249.640
FBtr0303077	607	433.762	0.000000	0.000
FBtr0339716	615	441.753	0.079849	0.271
FBtr0085459	600	426.764	79.151244	259.729
FBtr0070973	1218	1044.439	0.622604	5.000
FBtr0089252	2767	2593.439	2.429076	48.439
FBtr0334488	2840	2666.439	1.600485	32.814
FBtr0334489	2902	2728.439	1.625904	34.110
FBtr0100600	3804	3630.439	3.354398	93.637
FBtr0300305	309	135.944	0.000000	0.000
FBtr0077162	567	393.774	0.000000	0.000
FBtr0072277	713	539.701	57.833930	240.000
FBtr0344898	1082	908.439	0.000000	0.000
FBtr0086817	1175	1001.439	0.000000	0.000
FBtr0333271	5146	4972.439	0.743409	28.423
FBtr0072639	5149	4975.439	0.931616	35.640
FBtr0340000	824	650.653	1.987787	9.945
FBtr0087390	427	253.860	99.928209	195.055
FBtr0070472	3021	2847.439	2.881432	63.087
FBtr0331752	4499	4325.439	16.740837	556.778
FBtr0070475	3174	3000.439	6.802724	156.943
FBtr0070474	3218	3044.439	1.635564	38.287
FBtr0302185	2166	1992.439	1.431728	21.934
FBtr0070471	4805	4631.439	10.441950	371.854
FBtr0112828	2903	2729.439	4.814670	101.045
FBtr0301966	3182	3008.439	1.376141	31.833
FBtr0070468	3055	2881.439	7.682433	170.209
FBtr0070476	2745	2571.439	0.522010	10.321
FBtr0070470	3110	2936.439	1.833260	41.392
FBtr0331751	4750	4576.439	1.207941	42.506
FBtr0070469	4244	4070.439	12.013212	375.989
FBtr0070467	2929	2755.439	0.599097	12.693
FBtr0331753	5004	4830.439	0.639869	23.766
FBtr0070466	2847	2673.439	2.482687	51.035
FBtr0070473	3091	2917.439	2.615522	58.673
FBtr0076265	1575	1401.439	47.792165	514.998
FBtr0331935	1030	856.439	0.174324	1.148
FBtr0088237	816	642.656	97.917233	483.852
FBtr0081705	1363	1189.439	0.000000	0.000
FBtr0088524	1299	1125.439	87.015819	753.000
FBtr0074540	843	669.637	26.801832	138.000
FBtr0074494	1357	1183.439	0.659372	6.000
FBtr0085714	3349	3175.439	103.559668	2528.537
FBtr0085713	3440	3266.439	866.877341	21772.440
FBtr0076256	334	160.932	1.616264	2.000
FBtr0339552	1718	1544.439	12.333582	146.465
FBtr0078950	1533	1359.439	28.368798	296.535
FBtr0070990	1321	1147.439	1.329493	11.730
FBtr0100409	805	631.661	1.537732	7.469
FBtr0343330	706	532.702	107.138778	438.840
FBtr0304902	1617	1443.439	0.000000	0.000
FBtr0304901	2286	2112.439	0.061566	1.000
FBtr0078872	1228	1054.439	0.000000	0.000
FBtr0077839	2112	1938.439	13.671966	203.778
FBtr0077837	2331	2157.439	3.195248	53.005
FBtr0077838	2235	2061.439	3.694528	58.560
FBtr0077836	2325	2151.439	18.658253	308.656
FBtr0075133	4018	3844.439	0.588469	17.395
FBtr0332862	2190	2016.439	2.102908	32.605
FBtr0087988	1754	1580.439	164.738237	2001.921
FBtr0087987	1948	1774.439	473.979088	6466.885
FBtr0074688	1633	1459.439	52.309109	587.000
FBtr0086864	3503	3329.439	13.320129	341.000
FBtr0083361	1283	1109.439	0.000000	0.000
FBtr0392904	4164	3990.439	10.296276	315.919
FBtr0084588	2385	2211.439	78.459780	1334.126
FBtr0303161	2639	2465.439	17.345707	328.822
FBtr0079257	1918	1744.439	15.208960	204.000
FBtr0307341	906	732.615	0.058536	0.330
FBtr0084989	527	353.787	0.435968	1.186
FBtr0306309	750	576.686	0.032154	0.143
FBtr0344570	539	365.782	2.438170	6.857
FBtr0078090	1219	1045.439	32.842063	264.000
FBtr0087439	546	372.781	21.979215	63.000
FBtr0070960	2096	1922.439	0.069635	1.029
FBtr0302357	2296	2122.439	0.060924	0.994
FBtr0302356	2428	2254.439	0.056327	0.976
FBtr0340571	3830	3656.439	0.017784	0.500
FBtr0340572	3825	3651.439	0.017809	0.500
FBtr0080267	3305	3131.439	0.000000	0.000
FBtr0077141	787	613.674	0.000000	0.000
FBtr0306593	981	807.574	0.000000	0.000
FBtr0081719	1938	1764.439	80.047602	1086.000
FBtr0071549	1655	1481.439	33.359919	380.000
FBtr0308832	1068	894.439	8.111410	55.786
FBtr0308833	2043	1869.439	26.720005	384.081
FBtr0074921	2263	2089.439	8.846919	142.134
FBtr0073011	1996	1822.439	0.071363	1.000
FBtr0112378	450	276.839	0.000000	0.000
FBtr0342602	1596	1422.439	0.234523	2.565
FBtr0080326	1217	1043.439	92.553167	742.563
FBtr0085405	675	501.710	181.455426	700.000
FBtr0339295	331	157.934	0.000000	0.000
FBtr0300316	205	34.223	0.000000	0.000
FBtr0300904	2130	1956.439	0.033252	0.500
FBtr0081633	2196	2022.439	0.032139	0.500
FBtr0300905	2052	1878.439	0.000000	0.000
FBtr0335279	1234	1060.439	0.302851	2.469
FBtr0335281	1199	1025.439	0.355689	2.805
FBtr0290216	733	559.694	0.013660	0.059
FBtr0335280	740	566.691	0.013688	0.060
FBtr0077120	1711	1537.439	18.680343	220.830
FBtr0081676	887	713.620	0.000000	0.000
FBtr0076639	2093	1919.439	0.271026	4.000
FBtr0079280	1148	974.439	0.000000	0.000
FBtr0304827	5797	5623.439	0.080102	3.464
FBtr0433494	6405	6231.439	0.179802	8.615
FBtr0333832	6581	6407.439	0.106239	5.234
FBtr0433497	5654	5480.439	0.155366	6.547
FBtr0333833	6118	5944.439	0.067766	3.097
FBtr0433496	5848	5674.439	0.078972	3.446
FBtr0304826	8410	8236.439	0.080917	5.125
FBtr0433495	8302	8128.439	0.078001	4.875
FBtr0433493	8251	8077.439	0.078779	4.893
FBtr0300808	2019	1845.439	0.000000	0.000
FBtr0300809	4061	3887.439	0.000000	0.000
FBtr0301700	4064	3890.439	0.000000	0.000
FBtr0072287	5108	4934.439	30.362658	1152.000
FBtr0343633	2816	2642.439	5.255445	106.780
FBtr0074281	2640	2466.439	66.044883	1252.519
FBtr0343632	2730	2556.439	2.234822	43.929
FBtr0074279	3898	3724.439	36.433187	1043.357
FBtr0074280	3895	3721.439	3.206426	91.750
FBtr0072238	1035	861.439	0.000000	0.000
FBtr0308073	1317	1143.439	1.358923	11.948
FBtr0082360	764	590.679	87.425225	397.067
FBtr0082361	1024	850.439	0.150757	0.986
