target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	331.175	0	0
FBtr0300738	2350	2172.12	0	0
FBtr0300739	2172	1994.12	5.60903	0.43863
FBtr0300737	2184	2006.12	0	0
FBtr0300736	2338	2160.12	2.55039	0.184115
FBtr0078628	2467	2289.12	5.27215	0.359154
FBtr0300740	2479	2301.12	0	0
FBtr0078627	2301	2123.12	11.5684	0.849692
FBtr0300741	2313	2135.12	0	0
FBtr0072762	889	711.115	271.577	59.5544
FBtr0346821	1270	1092.12	20.7194	2.95848
FBtr0331460	900	722.115	8.93185	1.92884
FBtr0303848	5005	4827.12	138.119	4.46196
FBtr0086122	1465	1287.12	4	0.484622
FBtr0335147	3125	2947.12	0	0
FBtr0081459	3019	2841.12	462.011	25.3585
FBtr0305321	6523	6345.12	25.8667	0.635714
FBtr0083716	5665	5487.12	757.133	21.5174
FBtr0078184	1305	1127.12	1	0.138354
FBtr0081691	765	587.153	0	0
FBtr0085263	1228	1050.12	0	0
FBtr0086342	492	314.175	0	0
FBtr0086343	495	317.175	0	0
FBtr0091847	1023	845.115	5.21979	0.963158
FBtr0072393	1393	1215.12	626.609	80.4155
FBtr0343502	867	689.115	0	0
FBtr0343753	3569	3391.12	71.9979	3.31084
FBtr0433525	3725	3547.12	0	0
FBtr0113895	961	783.115	63.4958	12.6439
FBtr0345179	887	709.115	311.504	68.5027
FBtr0334135	4703	4525.12	0	0
FBtr0334137	4561	4383.12	18.5319	0.659323
FBtr0334141	5321	5143.12	0	0
FBtr0334139	4203	4025.12	0	0
FBtr0334140	5704	5526.12	0	0
FBtr0344148	4894	4716.12	0	0
FBtr0334142	5071	4893.12	0	0
FBtr0334138	5563	5385.12	0	0
FBtr0334136	3862	3684.12	89.4681	3.787
FBtr0085105	995	817.115	17	3.24434
FBtr0346720	2745	2567.12	0	0
FBtr0076089	442	264.19	0	0
FBtr0087500	1417	1239.12	100	12.5849
FBtr0073094	1694	1516.12	120.924	12.4377
FBtr0073093	1577	1399.12	753.076	83.9355
FBtr0343515	1092	914.115	0	0
FBtr0072451	975	797.115	69	13.4986
FBtr0071607	2252	2074.12	37	2.78182
FBtr0081516	4704	4526.12	5	0.172268
FBtr0300749	931	753.115	23.0966	4.78242
FBtr0346532	1185	1007.12	0	0
FBtr0073076	880	702.115	335.903	74.6048
FBtr0089289	4677	4499.12	13.8793	0.481063
FBtr0100448	4590	4412.12	64.7975	2.29019
FBtr0089290	4681	4503.12	0.381215	0.0132013
FBtr0089288	4037	3859.12	408.154	16.4929
FBtr0100447	4417	4239.12	32.5003	1.19556
FBtr0329933	4663	4485.12	70.1359	2.43852
FBtr0336949	2826	2648.12	375.152	22.0918
FBtr0088786	1378	1200.12	635.114	82.5257
FBtr0088785	1869	1691.12	157.662	14.5383
FBtr0303077	607	429.153	0	0
FBtr0339716	615	437.153	0	0
FBtr0085459	600	422.153	167	61.6889
FBtr0070973	1218	1040.12	2	0.299854
FBtr0089252	2767	2589.12	92.8703	5.59353
FBtr0334488	2840	2662.12	0	0
FBtr0334489	2902	2724.12	20.1786	1.15512
FBtr0100600	3804	3626.12	66.951	2.87923
FBtr0300305	309	131.201	0	0
FBtr0077162	567	389.153	0	0
FBtr0072277	713	535.153	190	55.3651
FBtr0344898	1082	904.115	0	0
FBtr0086817	1175	997.115	0	0
FBtr0333271	5146	4968.12	23.3569	0.733134
FBtr0072639	5149	4971.12	10.6431	0.333869
FBtr0340000	824	646.153	6.51097	1.57134
FBtr0087390	427	249.19	463.489	290.047
FBtr0070472	3021	2843.12	0.0272862	0.00149661
FBtr0331752	4499	4321.12	825.847	29.8033
FBtr0070475	3174	2996.12	146.966	7.64924
FBtr0070474	3218	3040.12	3.85585	0.197784
FBtr0302185	2166	1988.12	18.9955	1.48994
FBtr0070471	4805	4627.12	263.171	8.86927
FBtr0112828	2903	2725.12	127.035	7.26942
FBtr0301966	3182	3004.12	22.4606	1.16591
FBtr0070468	3055	2877.12	377.495	20.4604
FBtr0070476	2745	2567.12	0	0
FBtr0070470	3110	2932.12	0	0
FBtr0331751	4750	4572.12	8.0041	0.272996
FBtr0070469	4244	4066.12	450.409	17.2738
FBtr0070467	2929	2751.12	0	0
FBtr0331753	5004	4826.12	38.7281	1.25138
FBtr0070466	2847	2669.12	0.990998	0.0578983
FBtr0070473	3091	2913.12	0	0
FBtr0076265	1575	1397.12	524	58.487
FBtr0331935	1030	852.115	0	0
FBtr0088237	816	638.153	360	87.9707
FBtr0081705	1363	1185.12	0	0
FBtr0088524	1299	1121.12	535	74.4156
FBtr0074540	843	665.153	103	24.1477
FBtr0074494	1357	1179.12	3	0.396758
FBtr0085714	3349	3171.12	2515.7	123.711
FBtr0085713	3440	3262.12	24674.2	1179.52
FBtr0076256	334	156.201	2	1.99667
FBtr0339552	1718	1540.12	108.224	10.958
FBtr0078950	1533	1355.12	277.776	31.9653
FBtr0070990	1321	1143.12	7.51615	1.02534
FBtr0100409	805	627.153	0	0
FBtr0343330	706	528.153	332.527	98.1811
FBtr0304902	1617	1439.12	1	0.108359
FBtr0304901	2286	2108.12	0	0
FBtr0078872	1228	1050.12	0	0
FBtr0077839	2112	1934.12	132.206	10.6593
FBtr0077837	2331	2153.12	18.7714	1.35953
FBtr0077838	2235	2057.12	109.995	8.33824
FBtr0077836	2325	2147.12	237.028	17.2149
FBtr0075133	4018	3840.12	8.40288	0.341228
FBtr0332862	2190	2012.12	99.5971	7.71888
FBtr0087988	1754	1576.12	1760.12	174.147
FBtr0087987	1948	1770.12	3877.83	341.624
FBtr0074688	1633	1455.12	467	50.0472
FBtr0086864	3503	3325.12	268	12.5687
FBtr0083361	1283	1105.12	0	0
FBtr0392904	4164	3986.12	179.793	7.03368
FBtr0084588	2385	2207.12	960.903	67.8914
FBtr0303161	2639	2461.12	613.162	38.8511
FBtr0079257	1918	1740.12	219	19.6258
FBtr0307341	906	728.115	0	0
FBtr0084989	527	349.175	1.82658	0.81575
FBtr0306309	750	572.153	1	0.272551
FBtr0344570	539	361.175	0	0
FBtr0078090	1219	1041.12	251	37.5955
FBtr0087439	546	368.175	51	21.6011
FBtr0070960	2096	1918.12	6	0.487795
FBtr0302357	2296	2118.12	0	0
FBtr0302356	2428	2250.12	0	0
FBtr0340571	3830	3652.12	0	0
FBtr0340572	3825	3647.12	0	0
FBtr0080267	3305	3127.12	0	0
FBtr0077141	787	609.153	0	0
FBtr0306593	981	803.115	0	0
FBtr0081719	1938	1760.12	764	67.6882
FBtr0071549	1655	1477.12	289	30.5101
FBtr0308832	1068	890.115	52.7653	9.24406
FBtr0308833	2043	1865.12	401.935	33.6055
FBtr0074921	2263	2085.12	85.3002	6.37941
FBtr0073011	1996	1818.12	2	0.171541
FBtr0112378	450	272.175	0	0
FBtr0342602	1596	1418.12	0	0
FBtr0080326	1217	1039.12	544	81.6386
FBtr0085405	675	497.153	603	189.142
FBtr0339295	331	153.201	0	0
FBtr0300316	205	33.1677	0	0
FBtr0300904	2130	1952.12	0	0
FBtr0081633	2196	2018.12	0	0
FBtr0300905	2052	1874.12	0	0
FBtr0335279	1234	1056.12	0	0
FBtr0335281	1199	1021.12	2	0.305433
FBtr0290216	733	555.153	0	0
FBtr0335280	740	562.153	0	0
FBtr0077120	1711	1533.12	195.362	19.8713
FBtr0081676	887	709.115	0	0
FBtr0076639	2093	1915.12	1	0.0814265
FBtr0079280	1148	970.115	0	0
FBtr0304827	5797	5619.12	0	0
FBtr0433494	6405	6227.12	0.000103105	2.58197e-06
FBtr0333832	6581	6403.12	6.16706	0.150192
FBtr0433497	5654	5476.12	0	0
FBtr0333833	6118	5940.12	18.3897	0.482771
FBtr0433496	5848	5670.12	0	0
