target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	310	0	0
FBtr0300738	2350	2151	0	0
FBtr0300739	2172	1973	0	0
FBtr0300737	2184	1985	0	0
FBtr0300736	2338	2139	0	0
FBtr0078628	2467	2268	0	0
FBtr0300740	2479	2280	0	0
FBtr0078627	2301	2102	38.957	1.41426
FBtr0300741	2313	2114	0.0430278	0.00155318
FBtr0072762	889	690	238.339	26.3586
FBtr0346821	1270	1071	525.661	37.4536
FBtr0331460	900	701	0	0
FBtr0303848	5005	4806	325.572	5.16941
FBtr0086122	1465	1266	12	0.723311
FBtr0335147	3125	2926	303.642	7.91889
FBtr0081459	3019	2820	722.358	19.547
FBtr0305321	6523	6324	96.8202	1.16829
FBtr0083716	5665	5466	1616.18	22.563
FBtr0078184	1305	1106	7	0.48297
FBtr0081691	765	566	0	0
FBtr0085263	1228	1029	1	0.0741587
FBtr0086342	492	293	0	0
FBtr0086343	495	296	0	0
FBtr0091847	1023	824	25.2535	2.33869
FBtr0072393	1393	1194	186.137	11.8961
FBtr0343502	867	668	10.8631	1.24095
FBtr0343753	3569	3370	198.758	4.50061
FBtr0433525	3725	3526	0	0
FBtr0113895	961	762	1626.97	162.931
FBtr0345179	887	688	350.027	38.8231
FBtr0334135	4703	4504	17.0961	0.289652
FBtr0334137	4561	4362	21.2059	0.370978
FBtr0334141	5321	5122	0	0
FBtr0334139	4203	4004	0	0
FBtr0334140	5704	5505	0	0
FBtr0344148	4894	4695	0	0
FBtr0334142	5071	4872	0	0
FBtr0334138	5563	5364	0	0
FBtr0334136	3862	3663	137.698	2.86859
FBtr0085105	995	796	119	11.408
FBtr0346720	2745	2546	0	0
FBtr0076089	442	243	0	0
FBtr0087500	1417	1218	255	15.9761
FBtr0073094	1694	1495	674.567	34.4319
FBtr0073093	1577	1378	876.433	48.5341
FBtr0343515	1092	893	19.2487	1.64485
FBtr0072451	975	776	169.751	16.6928
FBtr0071607	2252	2053	78	2.89923
FBtr0081516	4704	4505	26	0.440409
FBtr0300749	931	732	0	0
FBtr0346532	1185	986	80.8197	6.25486
FBtr0073076	880	681	750.18	84.0613
FBtr0089289	4677	4478	119.153	2.03048
FBtr0100448	4590	4391	213.367	3.70801
FBtr0089290	4681	4482	404.709	6.89046
FBtr0089288	4037	3838	1044.83	20.774
FBtr0100447	4417	4218	7.60957	0.137667
FBtr0329933	4663	4464	196.277	3.35523
FBtr0336949	2826	2627	59.3853	1.72503
FBtr0088786	1378	1179	421.998	27.3133
FBtr0088785	1869	1670	1816.51	83.0037
FBtr0303077	607	408	1	0.187033
FBtr0339716	615	416	143.257	26.2784
FBtr0085459	600	401	389.743	74.1672
FBtr0070973	1218	1019	12	0.898637
FBtr0089252	2767	2568	122.296	3.63408
FBtr0334488	2840	2641	5.68707e-06	1.64323e-07
FBtr0334489	2902	2703	60.0667	1.69576
FBtr0100600	3804	3605	347.637	7.35866
FBtr0300305	309	110	0	0
FBtr0077162	567	368	2	0.414724
FBtr0072277	713	514	396	58.7908
FBtr0344898	1082	883	0	0
FBtr0086817	1175	976	0	0
FBtr0333271	5146	4947	0.000602237	9.28973e-06
FBtr0072639	5149	4950	99.9994	1.54159
