ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBtr0073120,2459.288321,2828.525995,3284.829792,1337.512634,1461.315027,1413.417457,1.18E-10,-1.485138692,7.47E-15,0.357214193,9.927764872
FBtr0085085,982.3386778,1219.021364,1202.2971,698.0920957,565.6703331,602.9124362,0.000106714,-1.255959838,6.75E-09,0.4187149,3.971776699
FBtr0339391,617.5262159,696.7252188,497.9110421,131.2651804,159.4708918,94.36026596,9.21E-13,-3.230214137,5.82E-17,0.106563543,12.03552574
FBtr0337020,1175.06979,1252.71789,999.7737591,53.69939198,123.3642748,122.1717128,1.41E-19,-5.081689712,8.90E-24,0.029529695,18.85150436
FBtr0083467,245.8304999,216.054193,246.9796836,95.46558574,115.3405821,110.2525213,0.002168916,-1.654905078,1.37E-07,0.317558639,2.663757211
FBtr0073974,63.91592999,71.35734816,56.31136786,16.90536414,18.0533085,21.85185106,0.02070634,-2.527747425,1.31E-06,0.173409228,1.683896652
FBtr0084465,223.214094,227.9470844,181.7770471,82.53795434,70.20731085,96.34679787,0.003883134,-1.94637507,2.45E-07,0.259467353,2.410817674
FBtr0080389,2715.935363,2572.828831,2774.075806,1752.191272,1359.012946,1365.740691,5.05E-06,-1.231117004,3.19E-10,0.425987498,5.296910334
FBtr0333326,58.01599799,72.34842244,58.28720533,17.89979733,9.026654252,8.939393617,0.00168148,-3.443412648,1.06E-07,0.091924125,2.77430829
FBtr0080171,50.14942199,70.36627388,27.66172456,1.98886637,5.014807918,4.966329787,0.000933214,-5.187451503,5.90E-08,0.027442362,3.030018961
FBtr0076545,770.9244478,1066.395925,915.8006667,485.2833942,415.2260956,355.5892128,5.99E-05,-1.638937734,3.79E-09,0.32109281,4.222700093
FBtr0300272,115.048674,141.723622,100.7677109,34.80516147,42.12438651,21.85185106,0.030373517,-2.679682141,1.92E-06,0.156075702,1.517504916
FBtr0075699,1661.81418,1708.612059,1749.604079,463.4058641,379.1194786,542.3232128,2.29E-29,-2.727671299,1.44E-33,0.150969467,28.64097157
FBtr0302977,32.44962599,32.70545124,35.56507444,6.961032294,5.014807918,3.97306383,0.000177495,-3.802111938,1.12E-08,0.071688626,3.750813556
FBtr0086676,738.4748218,731.4128186,813.0571184,487.2722606,438.294212,490.673383,0.000663826,-1.000220802,4.20E-08,0.499923482,3.177946017
FBtr0080839,1146.553452,1039.63692,1122.275682,521.0829888,420.2409035,570.1346596,2.61E-09,-1.637208338,1.65E-13,0.321477943,8.582830813
FBtr0340135,2547.787301,2562.918088,2838.290524,1219.175085,1403.143255,1196.885479,3.95E-18,-1.532661882,2.50E-22,0.345639048,17.40314623
FBtr0073359,6847.854406,8133.746616,7172.290011,4032.426564,3687.889743,3610.521755,1.70E-15,-1.40213793,1.07E-19,0.378368022,14.77045566
FBtr0301413,1132.786944,1207.128473,1227.982987,682.1811648,744.197495,692.3063723,3.11E-09,-1.091661658,1.97E-13,0.469220627,8.507300107
FBtr0077920,1029.538134,1082.253114,1047.193858,544.9493853,553.6347941,585.0336489,3.86E-14,-1.316655484,2.44E-18,0.401464553,13.41366924
FBtr0072635,345.1460219,472.7424316,372.4453628,116.3486826,88.26061935,65.55555319,5.46E-09,-3.090423567,3.45E-13,0.117405869,8.262980151
FBtr0075199,1512.349236,1479.6739,1416.675465,656.325902,817.4136906,765.8080532,1.25E-11,-1.41737599,7.90E-16,0.374392648,10.90325288
FBtr0076453,676.5255359,608.5196079,720.1927573,317.224186,330.9773226,339.6969574,3.87E-09,-1.480260911,2.44E-13,0.358423985,8.412713781
FBtr0078841,131.765148,123.884285,125.4656793,18.89423051,28.08292434,28.80471277,6.84E-08,-3.361761135,4.32E-12,0.097276752,7.165114237
FBtr0334586,2192.80806,2378.578272,2152.674922,1365.356763,1557.599339,1178.013426,0.001051056,-1.036511245,6.64E-08,0.487504944,2.978374012
FBtr0301824,78.66575998,46.58049116,116.5744107,9.944331848,14.04146217,7.946127659,0.003313354,-4.200394135,2.09E-07,0.054394548,2.479732147
FBtr0075942,1284.218532,1267.584004,1273.427249,704.0586949,851.5143844,656.5487979,3.20E-05,-1.147391388,2.02E-09,0.451440767,4.495372894
FBtr0087617,791.5742098,1294.34301,851.585949,270.4858263,160.4738534,93.367,0.000291161,-3.590577752,1.84E-08,0.083009614,3.535867048
FBtr0077008,1675.580688,1889.978652,1617.222968,936.7560601,803.3722284,1049.882117,3.80E-06,-1.295677548,2.40E-10,0.407344816,5.41992489
FBtr0306254,1348.134462,1503.459683,1513.491501,860.1847049,702.0731085,767.7945851,4.03E-09,-1.31269777,2.55E-13,0.402567394,8.394902005
FBtr0073839,245.8304999,221.0095644,225.2454714,85.52125389,86.25469619,124.1582447,0.028795655,-1.774192663,1.82E-06,0.292357871,1.540673041
FBtr0302291,8502.785332,10002.91271,8327.167012,4208.441238,3932.612369,4004.84834,3.06E-22,-1.656635153,1.93E-26,0.317178052,21.51423294
FBtr0305917,1512.349236,1306.235901,1294.173542,718.9751926,800.3633437,920.7575425,0.001826339,-1.094494654,1.15E-07,0.468300131,2.738418514
FBtr0310643,105.215454,86.22346236,111.634817,25.85526281,21.06219325,20.85858511,1.08E-05,-3.115416082,6.83E-10,0.115389505,4.966577956
FBtr0075928,296.9632439,176.4112218,366.5178504,5.966599109,35.10365542,33.77104255,0.007331483,-5.032213016,4.63E-07,0.030559971,2.134808177
FBtr0081614,472.9778819,519.3229227,612.5096153,174.0258073,139.4116601,112.2390532,6.54E-12,-2.766665249,4.14E-16,0.146943633,11.18421421
FBtr0301838,2212.4745,2450.926694,2271.22517,1460.822348,1121.31105,1412.424191,5.83E-05,-1.154453888,3.69E-09,0.449236206,4.233981278
FBtr0301837,2889.983357,3549.036997,3259.143905,1559.271234,1987.869859,1491.885468,6.54E-06,-1.369688538,4.13E-10,0.386974783,5.184555197
FBtr0087258,2798.534411,3522.277991,3231.48218,975.5389543,783.3129968,636.6834787,4.28E-21,-2.884662394,2.71E-25,0.135403563,20.36831196
FBtr0310064,219.280806,196.2327074,221.2937965,82.53795434,99.29319677,79.46127659,0.00054585,-1.860177486,3.45E-08,0.275442391,3.262926507
FBtr0077310,401.1953759,443.0102032,504.8264732,266.5080935,212.6278557,257.255883,0.042969638,-1.265419129,2.72E-06,0.4159785,1.366838304
FBtr0346711,1193.752908,1188.298062,1162.78035,592.6821782,693.0464542,573.1144574,9.00E-11,-1.351021934,5.69E-15,0.392014267,10.04568729
FBtr0089263,208.464264,211.0988216,179.8012096,97.45445211,99.29319677,87.40740425,0.037718407,-1.559665402,2.38E-06,0.339229749,1.423446654
FBtr0308232,376.6123259,429.1351632,402.0829249,228.7196325,217.6426636,213.5521808,0.00079995,-1.264313482,5.06E-08,0.416297419,3.096937328
FBtr0304914,392.3454779,422.1976433,406.0345998,71.59918931,34.10069384,108.2659894,7.39E-05,-3.626985881,4.67E-09,0.08094098,4.131487123
FBtr0329949,36.38291399,48.56263972,38.52883064,5.966599109,3.008884751,2.979797872,1.32E-06,-4.807401714,8.36E-11,0.035713127,5.878738493
FBtr0072102,211.41423,238.8489015,246.9796836,95.46558574,90.26654252,82.44107447,7.23E-06,-1.99348268,4.57E-10,0.25113192,5.14079701
FBtr0335183,20.649762,28.74115412,24.69796836,3.977732739,0,0,0.001448358,-5.912551444,9.16E-08,0.016601398,2.839124217
FBtr0335180,1919.444544,2541.114454,2105.254823,1191.330955,1099.245896,804.5454255,0.000350636,-1.571545177,2.22E-08,0.336447854,3.455143569
FBtr0088663,20286.91618,27345.72153,22813.01941,13000.22503,10231.21111,10151.17808,7.05E-07,-1.56035135,4.46E-11,0.339068496,6.151951057
FBtr0308644,47.19945599,58.47338252,35.56507444,2.983299554,5.014807918,4.966329787,1.63E-06,-4.925608575,1.03E-10,0.03290365,5.78767028
FBtr0070392,162.24813,186.3219646,191.6562345,85.52125389,70.20731085,79.46127659,0.016189337,-1.735068887,1.02E-06,0.300394669,1.790770936
FBtr0071537,1240.952364,1273.53045,1261.572224,664.2813675,641.8954135,672.4410532,3.06E-18,-1.351963715,1.94E-22,0.391758446,17.51384981
FBtr0330729,41.29952399,48.56263972,41.49258684,5.966599109,5.014807918,4.966329787,2.49E-07,-4.353143878,1.57E-11,0.048929764,6.604365957
FBtr0081348,577.2100139,558.9658939,614.4854528,358.9903797,279.8262818,359.5622766,0.013227322,-1.175094888,8.36E-07,0.442854631,1.878528071
FBtr0081635,3958.854371,3863.207543,3683.94896,2129.081449,2064.094939,2306.363553,2.99E-15,-1.196058219,1.89E-19,0.436466182,14.5239045
FBtr0346276,860.4067498,782.9486812,814.0450371,492.2444265,518.5311387,514.5117659,2.78E-05,-1.000020442,1.76E-09,0.499992915,4.556276395
