target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	310	0	0
FBtr0300738	2350	2151	8.70952	0.270365
FBtr0300739	2172	1973	0	0
FBtr0300737	2184	1985	24.855	0.836084
FBtr0300736	2338	2139	0	0
FBtr0078628	2467	2268	0	0
FBtr0300740	2479	2280	9.06903	0.265597
FBtr0078627	2301	2102	0	0
FBtr0300741	2313	2114	24.3664	0.769634
FBtr0072762	889	690	294.33	28.4828
FBtr0346821	1270	1071	595.91	37.1525
FBtr0331460	900	701	18.7602	1.78696
FBtr0303848	5005	4806	341.853	4.74955
FBtr0086122	1465	1266	23	1.21308
FBtr0335147	3125	2926	193.226	4.4095
FBtr0081459	3019	2820	1056.77	25.0225
FBtr0305321	6523	6324	141.288	1.4918
FBtr0083716	5665	5466	1600.71	19.5542
FBtr0078184	1305	1106	10	0.603729
FBtr0081691	765	566	0	0
FBtr0085263	1228	1029	1.5	0.0973359
FBtr0086342	492	293	0.999998	0.227892
FBtr0086343	495	296	2.19577e-06	4.95327e-07
FBtr0091847	1023	824	12.9551	1.04981
FBtr0072393	1393	1194	1239	69.2889
FBtr0343502	867	668	0	0
FBtr0343753	3569	3370	161.63	3.20249
FBtr0433525	3725	3526	0	0
FBtr0113895	961	762	1528	133.895
FBtr0345179	887	688	1.90912e-08	1.85286e-09
FBtr0334135	4703	4504	0	0
FBtr0334137	4561	4362	41.339	0.632807
FBtr0334141	5321	5122	0	0
FBtr0334139	4203	4004	0	0
FBtr0334140	5704	5505	0	0
FBtr0344148	4894	4695	0	0
FBtr0334142	5071	4872	0	0
FBtr0334138	5563	5364	0	0
FBtr0334136	3862	3663	176.661	3.22033
FBtr0085105	995	796	53	4.4459
FBtr0346720	2745	2546	0	0
FBtr0076089	442	243	0	0
FBtr0087500	1417	1218	273	14.9662
FBtr0073094	1694	1495	563.745	25.179
FBtr0073093	1577	1378	1131.26	54.8161
FBtr0343515	1092	893	45.3797	3.39318
FBtr0072451	975	776	155.62	13.3906
FBtr0071607	2252	2053	94	3.05728
FBtr0081516	4704	4505	18	0.266793
FBtr0300749	931	732	46.4579	4.23785
FBtr0346532	1185	986	54.9574	3.72174
FBtr0073076	880	681	708.585	69.4771
FBtr0089289	4677	4478	139.599	2.0816
FBtr0100448	4590	4391	23.195	0.352719
FBtr0089290	4681	4482	272.614	4.06137
FBtr0089288	4037	3838	1272.94	22.1462
FBtr0100447	4417	4218	0	0
FBtr0329933	4663	4464	1.09613	0.0163959
FBtr0336949	2826	2627	192.756	4.89941
FBtr0088786	1378	1179	901.127	51.0351
FBtr0088785	1869	1670	1764.72	70.5597
FBtr0303077	607	408	0	0
FBtr0339716	615	416	83.8669	13.4615
FBtr0085459	600	401	409.133	68.1267
FBtr0070973	1218	1019	7	0.458692
FBtr0089252	2767	2568	128.798	3.34896
FBtr0334488	2840	2641	64.7733	1.63766
FBtr0334489	2902	2703	20.0222	0.49461
FBtr0100600	3804	3605	290.623	5.38297
FBtr0300305	309	110	0	0
FBtr0077162	567	368	0	0
FBtr0072277	713	514	433	56.2499
FBtr0344898	1082	883	0	0
FBtr0086817	1175	976	0	0
FBtr0333271	5146	4947	47.1412	0.636291
FBtr0072639	5149	4950	45.8588	0.618606
FBtr0340000	824	625	234.572	25.0607
FBtr0087390	427	228	780.428	228.557
FBtr0070472	3021	2822	4.22797e-08	1.0004e-09
FBtr0331752	4499	4300	1341.13	20.8258
FBtr0070475	3174	2975	158.225	3.55127
FBtr0070474	3218	3019	63.2175	1.39821
FBtr0302185	2166	1967	14.2901	0.485095
FBtr0070471	4805	4606	543.414	7.87778
FBtr0112828	2903	2704	241.407	5.96129
FBtr0301966	3182	2983	0	0
FBtr0070468	3055	2856	50.6715	1.18468
FBtr0070476	2745	2546	0	0
FBtr0070470	3110	2911	0	0
FBtr0331751	4750	4551	35.4531	0.520169
FBtr0070469	4244	4045	2344.41	38.7001
FBtr0070467	2929	2730	0	0
FBtr0331753	5004	4805	163.907	2.27772
FBtr0070466	2847	2648	501.87	12.6552
FBtr0070473	3091	2892	0	0
FBtr0076265	1575	1376	1586	76.963
FBtr0331935	1030	831	166.977	13.4169
FBtr0088237	816	617	706.023	76.4066
FBtr0081705	1363	1164	0	0
FBtr0088524	1299	1100	1034	62.7661
FBtr0074540	843	644	250	25.921
FBtr0074494	1357	1158	9	0.518956
FBtr0085714	3349	3150	2934.44	62.203
