ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBtr0085105,85.48476112,93.19089981,83.12859117,40.98919315,33.89224586,45.0513133,0.002384676,-1.62032636,1.34E-07,0.325261876,2.622570629
FBtr0073120,2320.016656,2624.216083,3125.835338,1438.620706,1460.357064,1381.573608,1.74E-07,-1.318729328,9.78E-12,0.40088787,6.759320062
FBtr0085085,990.0328148,1211.481698,1226.897882,714.8115391,548.2569183,595.6784759,0.000137114,-1.273987005,7.71E-09,0.413515409,3.862918287
FBtr0339391,754.4527173,779.2345452,683.0566166,303.9198711,414.6815964,266.3033186,1.15E-05,-1.68608659,6.45E-10,0.310768764,4.940135825
FBtr0086613,94.43084077,99.13925512,104.1611263,45.98787524,47.84787651,36.04105064,0.000216516,-1.721712497,1.22E-08,0.303188619,3.664510593
FBtr0346714,531.7947349,594.8355307,609.9435184,116.9691609,62.80033792,63.07183862,8.81E-23,-4.092716505,4.95E-27,0.058609709,22.05497443
FBtr0100508,28.82625666,31.72456164,30.04647874,9.997364183,12.95879989,8.009122364,0.003215728,-2.215879395,1.81E-07,0.215255291,2.492720645
FBtr0304989,101.3889027,85.2597594,79.12239401,30.99182897,42.86372271,43.04903271,0.010798363,-1.703020298,6.07E-07,0.307142424,1.966642084
FBtr0304990,262.4183365,186.3817996,195.3021118,30.99182897,89.71476845,63.07183862,0.032659904,-2.601756366,1.84E-06,0.164737812,1.485985091
FBtr0100504,38.76634516,41.63848715,57.0883096,15.99578269,11.96196913,9.01026266,9.05E-05,-2.717070741,5.09E-09,0.152082837,4.043386836
FBtr0337020,1213.684806,1393.897927,1177.821967,171.9546639,125.6006758,139.1585011,1.33E-76,-4.493000372,7.46E-81,0.044409115,75.87719768
FBtr0332709,35.78431861,32.71595419,42.06507023,14.99604627,16.94612293,11.01254325,0.02147697,-1.954060806,1.21E-06,0.258088756,1.668026986
FBtr0083467,247.5082037,215.1321836,255.3950693,98.97390541,111.6450452,109.1242922,1.48E-07,-1.680141336,8.29E-12,0.312052065,6.831144955
FBtr0073974,64.61057526,71.38026369,57.0883096,17.99525553,16.94612293,21.02394621,9.46E-09,-2.566756612,5.32E-13,0.16878322,8.024097549
FBtr0084465,239.5561329,242.891175,207.3207033,106.9717968,99.68307606,118.1345549,6.79E-06,-1.564838236,3.82E-10,0.338015606,5.16820949
FBtr0080389,2948.23025,3534.314445,2847.404635,1988.475736,1405.531372,1463.667112,0.000351757,-1.358606931,1.98E-08,0.389958653,3.453757487
FBtr0076545,746.5006465,1036.005216,908.4052072,481.8729536,374.808366,323.3683155,4.22E-05,-1.716133242,2.37E-09,0.304363394,4.375039233
FBtr0082992,38.76634516,46.59544991,42.06507023,17.99525553,20.93344597,12.01368355,0.01941101,-1.897424656,1.09E-06,0.268422097,1.711951868
FBtr0300272,94.43084077,102.1134328,91.1409855,23.99367404,25.91759978,16.01824473,2.45E-14,-3.055755226,1.38E-18,0.120261334,13.61140082
FBtr0344758,80.51471687,51.55241266,134.207605,21.9942012,21.93027673,11.01254325,0.011252755,-3.272213284,6.32E-07,0.103506029,1.948741139
FBtr0084911,179.9156019,254.7878857,176.2726753,94.97495973,78.74963009,94.10718778,0.003708394,-1.714734556,2.08E-07,0.304658616,2.430814185
FBtr0307015,7113.127332,8808.522817,8101.532217,5555.535276,4293.350086,4091.660388,0.004570212,-1.133013225,2.57E-07,0.455962403,2.340063617
FBtr0075699,1612.282355,1690.3243,1785.762386,452.8805975,276.1221207,417.4755032,1.15E-24,-3.100847709,6.49E-29,0.116560614,23.93744653
