Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.493	0	0
FBgn0267873	257	86.606	0	0
FBgn0267896	719	548.346	0.001091	0.005
FBgn0260225	1197	1026.02	0.057912	0.497
FBgn0040928	1085	914.017	2.74662	21
FBgn0262789	532	361.424	0	0
FBgn0058461	391	220.528	1.18562	2.187
FBgn0042701	620	449.396	1.69693	6.379
FBgn0263493	352	181.553	0.00028	0
FBgn0265917	359	188.55	0	0
FBgn0262163	610	439.403	0	0
FBgn0085831	237	66.62	0	0
FBgn0267108	321	150.567	4.31453	5.434
FBgn0051032	770	599.32	8.77663	44
FBgn0266102	391	220.528	0.005057	0.009
FBgn0053867	526	355.431	0.819775	2.437
FBgn0267026	323	152.567	0	0
FBgn0267519	2689	2518.02	2112.28	44491.4
FBgn0058005	1227	1056.02	0.53658	4.74
FBgn0039979	803	632.301	6.99161	36.98
FBgn0053318	523	352.436	0.678396	2
FBgn0053805	440	269.481	0.006568	0.015
FBgn0267419	780	609.316	0	0
FBgn0267892	760	589.326	0.000275	0.001
FBgn0267902	582	411.408	0.000228	0.001
FBgn0262964	777	606.318	0.197167	1
FBgn0085790	1041	870.017	0.151379	1.102
FBgn0267879	601	430.405	0.000236	0.001
FBgn0085291	1130	959.017	0.102321	0.821
FBgn0263093	1190.95	1019.97	16.9394	144.528
FBgn0267952	1290	1119.02	0.106831	1
FBgn0030117	636	465.377	0.046058	0.179
FBgn0058182	291	120.582	1.02266	1.032
FBgn0052518	75	25.743	0	0
FBgn0027934	1345	1174.02	0	0
FBgn0085340	423	252.493	0	0
FBgn0263744	845	674.27	0.177297	1
FBgn0263210	221	50.656	3.59889	1.525
FBtr0346869	123	47.742	24.9134	9.95
FBgn0267427	697	526.355	0	0
FBgn0263975	1131	960.017	2.49049	20
FBgn0267869	420	249.496	0.000494	0.001
FBgn0037560	962.886	792.092	49.2012	326
FBgn0263212	220	49.661	0	0
FBgn0085732	1466.78	1295.8	57.1793	619.787
FBgn0267593	610	439.403	0	0
FBgn0058100	394	223.524	4.30281	8.045
FBgn0264888	465	294.47	0.405969	1
FBgn0037143	1446	1275.02	0	0
FBgn0262510	501	330.452	2.67671	7.399
FBgn0263771	276	105.595	0	0
FBgn0053315	421	250.495	0	0
FBgn0050029	480	309.46	0	0
FBgn0085791	1041	870.017	0.133219	0.97
FBgn0085804	252	81.609	0	0
FBgn0267876	766	595.323	0.000276	0.001
FBgn0267494	656	485.366	0	0
FBgn0085792	1211	1040.02	1.92191	16.72
FBgn0053013	2636	2465.02	0	0
FBgn0266211	1668	1497.02	0.958271	12
FBgn0265141	1303	1132.02	0	0
FBgn0051292	441.494	270.978	0.020038	0.046
FBgn0053294	1972.65	1801.67	2.32234	35
FBgn0000280	166	11.947	0	0
FBgn0262885	102	39.009	0	0
FBgn0011812	456	285.474	0	0
FBgn0265533	402.055	231.565	0.00042	0.001
FBgn0052496	778	607.317	2.00616	10.192
FBgn0052009	2998.75	2827.77	0.510183	12.068
FBtr0347033	1076	905.017	0	0
FBgn0262688	493	322.458	0.370732	1
FBgn0053222	541.117	370.536	2.16961	6.724
FBgn0266940	581	410.408	0	0
FBgn0262565	802	631.302	0	0
FBgn0263002	361	190.548	0	0
FBgn0084049	531	360.425	15.3937	46.411
FBgn0263211	352	181.553	1.47503	2.24
FBgn0267872	775	604.319	0.000552	0.003
FBgn0262031	330	159.564	31.0606	41.458
FBgn0267014	274	103.597	4.66465	4.042
FBgn0039987	184	20.078	0	0
FBgn0261640	810	639.298	0.563526	3.014
FBgn0052761	71	24.133	0	0
