target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	510	0	0
FBtr0300738	2350	2351	0	0
FBtr0300739	2172	2173	23.9691	2.0035
FBtr0300737	2184	2185	0.0309357	0.00257162
FBtr0300736	2338	2339	0	0
FBtr0078628	2467	2468	0	0
FBtr0300740	2479	2480	0	0
FBtr0078627	2301	2302	0	0
FBtr0300741	2313	2314	0	0
FBtr0072762	889	890	338.141	69.0092
FBtr0346821	1270	1271	21.2198	3.03246
FBtr0331460	900	901	0	0
FBtr0303848	5005	5006	117.232	4.25358
FBtr0086122	1465	1466	5	0.619491
FBtr0335147	3125	3126	0	0
FBtr0081459	3019	3020	426.405	25.6457
FBtr0305321	6523	6524	52.4953	1.46152
FBtr0083716	5665	5666	665.505	21.3341
FBtr0078184	1305	1306	5	0.695386
FBtr0081691	765	766	0	0
FBtr0085263	1228	1229	0	0
FBtr0086342	492	493	0	0
FBtr0086343	495	496	0	0
FBtr0091847	1023	1024	5.91432	1.04907
FBtr0072393	1393	1394	102.691	13.3804
FBtr0343502	867	868	0	0
FBtr0343753	3569	3570	63.0796	3.20937
FBtr0433525	3725	3726	0	0
FBtr0113895	961	962	65	12.2726
FBtr0345179	887	888	337	68.9312
FBtr0334135	4703	4704	0	0
FBtr0334137	4561	4562	17.6605	0.703147
FBtr0334141	5321	5322	0	0
FBtr0334139	4203	4204	0	0
FBtr0334140	5704	5705	0	0
FBtr0344148	4894	4895	0	0
FBtr0334142	5071	5072	0	0
FBtr0334138	5563	5564	0	0
FBtr0334136	3862	3863	69.3395	3.26028
FBtr0085105	995	996	47	8.57112
FBtr0346720	2745	2746	0	0
FBtr0076089	442	443	0	0
FBtr0087500	1417	1418	101	12.9373
FBtr0073094	1694	1695	41.4532	4.44209
FBtr0073093	1577	1578	779.547	89.7293
FBtr0343515	1092	1093	0	0
FBtr0072451	975	976	56	10.4217
FBtr0071607	2252	2253	50	4.03095
FBtr0081516	4704	4705	5	0.193023
FBtr0300749	931	932	16.7975	3.27362
FBtr0346532	1185	1186	3.88852	0.595524
FBtr0073076	880	881	320.314	66.0388
FBtr0089289	4677	4678	12.6071	0.489501
FBtr0100448	4590	4591	16.162	0.639422
FBtr0089290	4681	4682	0	0
FBtr0089288	4037	4038	327.383	14.7261
FBtr0100447	4417	4418	71.1055	2.92332
FBtr0329933	4663	4664	0	0
FBtr0336949	2826	2827	424.108	27.2489
FBtr0088786	1378	1379	670.59	88.3266
FBtr0088785	1869	1870	140.23	13.6206
FBtr0303077	607	608	0	0
FBtr0339716	615	616	0	0
FBtr0085459	600	601	194	58.6308
FBtr0070973	1218	1219	7	1.04302
FBtr0089252	2767	2768	54.9853	3.60811
