target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	338.35	0	0
FBtr0300738	2350	2179.27	0	0
FBtr0300739	2172	2001.27	38.9643	2.55461
FBtr0300737	2184	2013.27	0.0357235	0.00232817
FBtr0300736	2338	2167.27	0	0
FBtr0078628	2467	2296.27	0	0
FBtr0300740	2479	2308.27	0	0
FBtr0078627	2301	2130.27	0	0
FBtr0300741	2313	2142.27	0	0
FBtr0072762	889	718.271	352.237	64.3443
FBtr0346821	1270	1099.27	33.3073	3.97556
FBtr0331460	900	729.271	0	0
FBtr0303848	5005	4834.27	120.379	3.26725
FBtr0086122	1465	1294.27	9	0.912391
FBtr0335147	3125	2954.27	0	0
FBtr0081459	3019	2848.27	478.827	22.0578
FBtr0305321	6523	6352.27	0	0
FBtr0083716	5665	5494.27	637	15.2122
FBtr0078184	1305	1134.27	3	0.347031
FBtr0081691	765	594.271	0	0
FBtr0085263	1228	1057.27	1	0.124102
FBtr0086342	492	321.35	0	0
FBtr0086343	495	324.35	0	0
FBtr0091847	1023	852.271	4.31719	0.664642
FBtr0072393	1393	1222.27	683.551	73.3782
FBtr0343502	867	696.271	0	0
FBtr0343753	3569	3398.27	97.6931	3.77198
FBtr0433525	3725	3554.27	0	0
FBtr0113895	961	790.271	128.152	21.2771
FBtr0345179	887	716.271	286.848	52.5458
FBtr0334135	4703	4532.27	0	0
FBtr0334137	4561	4390.27	20.2536	0.605305
FBtr0334141	5321	5150.27	0	0
FBtr0334139	4203	4032.27	0	0
FBtr0334140	5704	5533.27	0	0
FBtr0344148	4894	4723.27	0	0
FBtr0334142	5071	4900.27	0	0
FBtr0334138	5563	5392.27	0	0
FBtr0334136	3862	3691.27	107.604	3.82487
FBtr0085105	995	824.271	24	3.82037
FBtr0346720	2745	2574.27	0	0
FBtr0076089	442	271.35	0	0
FBtr0087500	1417	1246.27	81	8.52779
FBtr0073094	1694	1523.27	71.0758	6.12221
FBtr0073093	1577	1406.27	833.924	77.8075
FBtr0343515	1092	921.271	0	0
FBtr0072451	975	804.271	54	8.80958
FBtr0071607	2252	2081.27	45	2.83692
FBtr0081516	4704	4533.27	3	0.0868307
FBtr0300749	931	760.271	16.5391	2.85435
FBtr0346532	1185	1014.27	0	0
FBtr0073076	880	709.271	326.461	60.3925
